stage,target_pct,n,repeat_min_used,repeat_max_used,bandwidth_gbs_median,bandwidth_gbs_iqr,avg_power_w_median,avg_power_w_iqr,avg_power_w_mean,avg_power_w_std
control_dram,50,4,1,4,17900.65930455034,0.2784313419033424,278.9642988640479,1.2086567237914778,278.87102677301505,0.6696868166293506
control_dram,75,4,1,4,26853.34337500966,0.03787516473676078,358.0060271759078,0.7994276147068149,357.9849357270374,0.8208643076334406
control_dram,100,4,1,4,36235.121932493756,11.678030583592772,440.46954377902523,1.5703872120688516,440.612359811841,1.386917573038153
control_l2,50,4,1,4,2176.8187655302936,0.09759444404153328,149.5082869480737,1.1118489855108464,149.42109986468597,1.2305401885511837
control_l2,75,4,1,4,3265.3617156137916,0.008729916714401043,163.43175471237288,1.8272465339546216,163.3673470900137,0.9802786609276748
control_l2,100,4,1,4,17502.341385703345,0.16686875517552835,354.9568224600256,0.8181725009359297,354.72652374644235,1.0073705498118297
dram,50,4,1,4,1553.9785194611281,0.012809232320705632,265.6974504298639,2.217387409220862,265.5958805282934,1.2952449308316296
dram,75,4,1,4,2327.2713042508344,0.0068166504574946885,339.04234828853566,2.45161492412484,338.64223404492435,1.8771982440775585
dram,100,4,1,4,3080.491634994588,0.07940807830573249,407.78728279884444,3.0506898657247916,407.28175480456025,2.304915504146513
l2,50,4,1,4,1667.1289538947053,0.05116051545655864,176.36505721696994,0.9376150649771091,176.29782596053968,0.9671108250399338
l2,75,4,1,4,2500.976321097747,0.029777759113130742,203.8169529056422,1.0118641670543127,203.91326174977706,0.6247761285595443
l2,100,4,1,4,7233.194846849773,2.9505825707547046,364.2073029664431,0.40298332903563505,364.3519762163005,0.4188539134363736
