sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780462827669086172,2026/06/03 05:00:27.690,84.59,84.59,,84.59,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:00:27.690, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 34, P0, 0"
1780462827803550025,2026/06/03 05:00:27.828,84.59,84.59,,84.59,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:00:27.828, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 34, P0, 0"
1780462827937308699,2026/06/03 05:00:27.958,87.35,87.35,,87.35,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:00:27.958, 87.35, [N/A], 87.35, 400.00, 1410, 1593, 34, P0, 0"
1780462828068474691,2026/06/03 05:00:28.087,103.98,103.98,,103.98,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:00:28.087, 103.98, [N/A], 103.98, 400.00, 1410, 1593, 34, P0, 0"
1780462828197311488,2026/06/03 05:00:28.216,104.59,104.59,,104.59,400.0,1410.0,1593.0,34.0,P0,90.0,average_instant,"2026/06/03 05:00:28.216, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 34, P0, 90"
1780462828326634007,2026/06/03 05:00:28.346,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,90.0,average_instant,"2026/06/03 05:00:28.346, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 90"
1780462828456726518,2026/06/03 05:00:28.476,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,90.0,average_instant,"2026/06/03 05:00:28.476, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 90"
1780462828585835491,2026/06/03 05:00:28.605,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,90.0,average_instant,"2026/06/03 05:00:28.605, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 90"
1780462828714257772,2026/06/03 05:00:28.733,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,90.0,average_instant,"2026/06/03 05:00:28.733, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 90"
1780462828842727653,2026/06/03 05:00:28.862,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,90.0,average_instant,"2026/06/03 05:00:28.862, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 90"
1780462828972641835,2026/06/03 05:00:28.992,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,90.0,average_instant,"2026/06/03 05:00:28.992, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 90"
1780462829101576781,2026/06/03 05:00:29.121,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.121, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462829231880812,2026/06/03 05:00:29.251,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.251, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462829359999443,2026/06/03 05:00:29.379,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.379, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462829488405912,2026/06/03 05:00:29.508,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.508, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462829617569268,2026/06/03 05:00:29.636,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.636, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462829745762170,2026/06/03 05:00:29.764,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.764, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462829874316011,2026/06/03 05:00:29.893,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:29.893, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462830002695920,2026/06/03 05:00:30.022,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.022, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462830131589467,2026/06/03 05:00:30.151,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.151, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462830260468510,2026/06/03 05:00:30.279,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.279, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462830388157013,2026/06/03 05:00:30.407,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.407, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462830518138716,2026/06/03 05:00:30.537,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.537, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462830646073000,2026/06/03 05:00:30.665,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.665, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462830774112477,2026/06/03 05:00:30.793,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.793, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462830902654237,2026/06/03 05:00:30.921,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:30.921, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831029980646,2026/06/03 05:00:31.049,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.049, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831158017599,2026/06/03 05:00:31.177,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.177, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831287227931,2026/06/03 05:00:31.306,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.306, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831415600511,2026/06/03 05:00:31.435,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.435, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462831545083013,2026/06/03 05:00:31.564,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.564, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831673348598,2026/06/03 05:00:31.693,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.693, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831801983992,2026/06/03 05:00:31.821,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.821, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462831930911973,2026/06/03 05:00:31.950,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:31.950, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462832059771255,2026/06/03 05:00:32.079,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.079, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462832190504674,2026/06/03 05:00:32.210,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.210, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462832321688597,2026/06/03 05:00:32.341,104.76,104.76,,104.76,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.341, 104.76, [N/A], 104.76, 400.00, 1410, 1593, 35, P0, 100"
1780462832451728938,2026/06/03 05:00:32.471,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.471, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462832581667047,2026/06/03 05:00:32.601,104.48,104.48,,104.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.601, 104.48, [N/A], 104.48, 400.00, 1410, 1593, 35, P0, 100"
1780462832712577204,2026/06/03 05:00:32.732,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.732, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462832842306895,2026/06/03 05:00:32.862,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.862, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462832972758255,2026/06/03 05:00:32.992,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:32.992, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462833100605389,2026/06/03 05:00:33.119,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.119, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462833228221726,2026/06/03 05:00:33.247,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.247, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462833356027797,2026/06/03 05:00:33.374,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.374, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462833483972399,2026/06/03 05:00:33.502,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.502, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462833611157829,2026/06/03 05:00:33.631,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.631, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462833741189510,2026/06/03 05:00:33.760,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.760, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462833869923795,2026/06/03 05:00:33.889,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:33.889, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462834000241169,2026/06/03 05:00:34.019,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.019, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462834127547797,2026/06/03 05:00:34.146,104.76,104.76,,104.76,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.146, 104.76, [N/A], 104.76, 400.00, 1410, 1593, 35, P0, 100"
1780462834256248265,2026/06/03 05:00:34.275,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.275, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462834384450138,2026/06/03 05:00:34.404,104.76,104.76,,104.76,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.404, 104.76, [N/A], 104.76, 400.00, 1410, 1593, 35, P0, 100"
1780462834513460488,2026/06/03 05:00:34.532,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.532, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462834642633085,2026/06/03 05:00:34.662,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.662, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
1780462834771026984,2026/06/03 05:00:34.790,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.790, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462834899969804,2026/06/03 05:00:34.918,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:34.918, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462835027539948,2026/06/03 05:00:35.046,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:35.046, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462835155350954,2026/06/03 05:00:35.174,104.86,104.86,,104.86,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:35.174, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 35, P0, 100"
1780462835283520500,2026/06/03 05:00:35.302,104.59,104.59,,104.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:00:35.302, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 35, P0, 100"
