sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463157840442495,2026/06/03 05:05:57.861,83.04,83.04,,83.04,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:05:57.861, 83.04, [N/A], 83.04, 400.00, 1410, 1593, 35, P0, 0"
1780463157972832135,2026/06/03 05:05:57.995,86.74,86.74,,86.74,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:05:57.995, 86.74, [N/A], 86.74, 400.00, 1410, 1593, 35, P0, 0"
1780463158113311760,2026/06/03 05:05:58.134,88.29,88.29,,88.29,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:05:58.134, 88.29, [N/A], 88.29, 400.00, 1410, 1593, 35, P0, 0"
1780463158244173664,2026/06/03 05:05:58.263,125.2,125.2,,125.2,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:05:58.263, 125.20, [N/A], 125.20, 400.00, 1410, 1593, 36, P0, 0"
1780463158373943017,2026/06/03 05:05:58.394,125.35,125.35,,125.35,400.0,1410.0,1593.0,37.0,P0,2.0,average_instant,"2026/06/03 05:05:58.394, 125.35, [N/A], 125.35, 400.00, 1410, 1593, 37, P0, 2"
1780463158503468078,2026/06/03 05:05:58.523,125.47,125.47,,125.47,400.0,1410.0,1593.0,37.0,P0,2.0,average_instant,"2026/06/03 05:05:58.523, 125.47, [N/A], 125.47, 400.00, 1410, 1593, 37, P0, 2"
1780463158632425272,2026/06/03 05:05:58.651,125.8,125.8,,125.8,400.0,1410.0,1593.0,37.0,P0,2.0,average_instant,"2026/06/03 05:05:58.651, 125.80, [N/A], 125.80, 400.00, 1410, 1593, 37, P0, 2"
1780463158760875459,2026/06/03 05:05:58.780,125.68,125.68,,125.68,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:05:58.780, 125.68, [N/A], 125.68, 400.00, 1410, 1593, 37, P0, 100"
1780463158892072199,2026/06/03 05:05:58.912,125.8,125.8,,125.8,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:05:58.912, 125.80, [N/A], 125.80, 400.00, 1410, 1593, 37, P0, 100"
1780463159021962586,2026/06/03 05:05:59.041,123.86,123.86,,123.86,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:05:59.041, 123.86, [N/A], 123.86, 400.00, 1410, 1593, 37, P0, 100"
