sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463516853581998,2026/06/03 05:11:56.874,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:11:56.874, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780463516985442132,2026/06/03 05:11:57.008,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:11:57.008, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780463517123297439,2026/06/03 05:11:57.143,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:11:57.143, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 0"
1780463517253945596,2026/06/03 05:11:57.273,141.63,141.63,,141.63,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:11:57.273, 141.63, [N/A], 141.63, 400.00, 1410, 1593, 37, P0, 0"
1780463517382550956,2026/06/03 05:11:57.402,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,41.0,average_instant,"2026/06/03 05:11:57.402, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 41"
1780463517511617619,2026/06/03 05:11:57.530,138.87,138.87,,138.87,400.0,1410.0,1593.0,38.0,P0,41.0,average_instant,"2026/06/03 05:11:57.530, 138.87, [N/A], 138.87, 400.00, 1410, 1593, 38, P0, 41"
1780463517639498603,2026/06/03 05:11:57.658,129.78,129.78,,129.78,400.0,1410.0,1593.0,38.0,P0,41.0,average_instant,"2026/06/03 05:11:57.658, 129.78, [N/A], 129.78, 400.00, 1410, 1593, 38, P0, 41"
1780463517767473092,2026/06/03 05:11:57.786,121.7,121.7,,121.7,400.0,1410.0,1593.0,37.0,P0,41.0,average_instant,"2026/06/03 05:11:57.786, 121.70, [N/A], 121.70, 400.00, 1410, 1593, 37, P0, 41"
1780463517894685868,2026/06/03 05:11:57.914,140.56,140.56,,140.56,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:11:57.914, 140.56, [N/A], 140.56, 400.00, 1410, 1593, 38, P0, 100"
1780463518023913799,2026/06/03 05:11:58.042,143.5,143.5,,143.5,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:11:58.042, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 38, P0, 100"
1780463518152431955,2026/06/03 05:11:58.171,142.71,142.71,,142.71,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:11:58.171, 142.71, [N/A], 142.71, 400.00, 1410, 1593, 38, P0, 100"
1780463518282214394,2026/06/03 05:11:58.301,131.33,131.33,,131.33,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:11:58.301, 131.33, [N/A], 131.33, 400.00, 1410, 1593, 38, P0, 100"
