sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464522921547684,2026/06/03 05:28:42.941,84.87,84.87,,84.87,400.0,1410.0,1593.0,38.0,P0,8.0,average_instant,"2026/06/03 05:28:42.941, 84.87, [N/A], 84.87, 400.00, 1410, 1593, 38, P0, 8"
1780464523053959870,2026/06/03 05:28:43.076,85.47,85.47,,85.47,400.0,1410.0,1593.0,37.0,P0,8.0,average_instant,"2026/06/03 05:28:43.076, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 37, P0, 8"
1780464523193865868,2026/06/03 05:28:43.213,87.96,87.96,,87.96,400.0,1410.0,1593.0,37.0,P0,8.0,average_instant,"2026/06/03 05:28:43.213, 87.96, [N/A], 87.96, 400.00, 1410, 1593, 37, P0, 8"
1780464523323805124,2026/06/03 05:28:43.342,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,8.0,average_instant,"2026/06/03 05:28:43.342, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 8"
1780464523451765416,2026/06/03 05:28:43.471,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,36.0,average_instant,"2026/06/03 05:28:43.471, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 36"
1780464523579594409,2026/06/03 05:28:43.599,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,36.0,average_instant,"2026/06/03 05:28:43.599, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 36"
1780464523709427508,2026/06/03 05:28:43.728,134.42,134.42,,134.42,400.0,1410.0,1593.0,39.0,P0,36.0,average_instant,"2026/06/03 05:28:43.728, 134.42, [N/A], 134.42, 400.00, 1410, 1593, 39, P0, 36"
1780464523838173440,2026/06/03 05:28:43.857,114.09,114.09,,114.09,400.0,1410.0,1593.0,38.0,P0,36.0,average_instant,"2026/06/03 05:28:43.857, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 38, P0, 36"
1780464523967257411,2026/06/03 05:28:43.987,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,36.0,average_instant,"2026/06/03 05:28:43.987, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 36"
1780464524096782399,2026/06/03 05:28:44.116,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,36.0,average_instant,"2026/06/03 05:28:44.116, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 36"
1780464524225303243,2026/06/03 05:28:44.245,138.4,138.4,,138.4,400.0,1410.0,1593.0,39.0,P0,36.0,average_instant,"2026/06/03 05:28:44.245, 138.40, [N/A], 138.40, 400.00, 1410, 1593, 39, P0, 36"
1780464524354935792,2026/06/03 05:28:44.374,129.18,129.18,,129.18,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:44.374, 129.18, [N/A], 129.18, 400.00, 1410, 1593, 39, P0, 100"
1780464524483889923,2026/06/03 05:28:44.503,119.01,119.01,,119.01,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:28:44.503, 119.01, [N/A], 119.01, 400.00, 1410, 1593, 38, P0, 100"
1780464524616090356,2026/06/03 05:28:44.635,142.9,142.9,,142.9,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:44.635, 142.90, [N/A], 142.90, 400.00, 1410, 1593, 39, P0, 100"
1780464524745113067,2026/06/03 05:28:44.764,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:44.764, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780464524874607941,2026/06/03 05:28:44.893,139.95,139.95,,139.95,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:44.893, 139.95, [N/A], 139.95, 400.00, 1410, 1593, 39, P0, 100"
1780464525002204264,2026/06/03 05:28:45.021,130.72,130.72,,130.72,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.021, 130.72, [N/A], 130.72, 400.00, 1410, 1593, 39, P0, 100"
1780464525130376715,2026/06/03 05:28:45.149,140.41,140.41,,140.41,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:28:45.149, 140.41, [N/A], 140.41, 400.00, 1410, 1593, 38, P0, 100"
1780464525258853762,2026/06/03 05:28:45.278,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.278, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
1780464525387741757,2026/06/03 05:28:45.407,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.407, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464525516869295,2026/06/03 05:28:45.536,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.536, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 100"
1780464525645204189,2026/06/03 05:28:45.664,123.32,123.32,,123.32,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.664, 123.32, [N/A], 123.32, 400.00, 1410, 1593, 39, P0, 100"
1780464525775237074,2026/06/03 05:28:45.794,128.9,128.9,,128.9,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.794, 128.90, [N/A], 128.90, 400.00, 1410, 1593, 39, P0, 100"
1780464525903836711,2026/06/03 05:28:45.923,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:45.923, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 100"
1780464526033354328,2026/06/03 05:28:46.053,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:46.053, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780464526165538529,2026/06/03 05:28:46.185,134.09,134.09,,134.09,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:46.185, 134.09, [N/A], 134.09, 400.00, 1410, 1593, 39, P0, 100"
1780464526294156430,2026/06/03 05:28:46.313,126.75,126.75,,126.75,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:28:46.313, 126.75, [N/A], 126.75, 400.00, 1410, 1593, 38, P0, 100"
1780464526423465567,2026/06/03 05:28:46.443,105.81,105.81,,105.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:46.443, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 39, P0, 100"
1780464526552950514,2026/06/03 05:28:46.572,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:28:46.572, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 100"
