sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464714790762738,2026/06/03 05:31:54.813,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:31:54.813, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780464714923668813,2026/06/03 05:31:54.949,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:31:54.949, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780464715061006035,2026/06/03 05:31:55.081,85.47,85.47,,85.47,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:31:55.081, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 36, P0, 0"
1780464715191246804,2026/06/03 05:31:55.210,142.71,142.71,,142.71,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:31:55.210, 142.71, [N/A], 142.71, 400.00, 1410, 1593, 38, P0, 0"
1780464715319845876,2026/06/03 05:31:55.339,143.65,143.65,,143.65,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:31:55.339, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 38, P0, 100"
1780464715449075442,2026/06/03 05:31:55.468,143.78,143.78,,143.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:31:55.468, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 39, P0, 100"
1780464715577738803,2026/06/03 05:31:55.597,130.11,130.11,,130.11,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:31:55.597, 130.11, [N/A], 130.11, 400.00, 1410, 1593, 38, P0, 100"
1780464715707382756,2026/06/03 05:31:55.727,119.67,119.67,,119.67,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:31:55.727, 119.67, [N/A], 119.67, 400.00, 1410, 1593, 38, P0, 100"
1780464715835493107,2026/06/03 05:31:55.854,142.43,142.43,,142.43,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:31:55.854, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 39, P0, 100"
1780464715963072409,2026/06/03 05:31:55.982,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:31:55.982, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
