sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464906221557751,2026/06/03 05:35:06.240,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:35:06.240, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780464906352862026,2026/06/03 05:35:06.376,85.47,85.47,,85.47,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:35:06.376, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 37, P0, 0"
1780464906490915655,2026/06/03 05:35:06.511,87.63,87.63,,87.63,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:35:06.511, 87.63, [N/A], 87.63, 400.00, 1410, 1593, 36, P0, 0"
1780464906622493643,2026/06/03 05:35:06.642,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:35:06.642, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 0"
1780464906751047423,2026/06/03 05:35:06.770,143.78,143.78,,143.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:06.770, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 39, P0, 100"
1780464906879513516,2026/06/03 05:35:06.898,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:06.898, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 100"
1780464907007108232,2026/06/03 05:35:07.026,134.42,134.42,,134.42,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:07.026, 134.42, [N/A], 134.42, 400.00, 1410, 1593, 39, P0, 100"
1780464907135289343,2026/06/03 05:35:07.155,114.09,114.09,,114.09,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:35:07.155, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 38, P0, 100"
1780464907271580815,2026/06/03 05:35:07.291,143.32,143.32,,143.32,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:07.291, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 39, P0, 100"
1780464907400437510,2026/06/03 05:35:07.419,143.78,143.78,,143.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:07.419, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 39, P0, 100"
1780464907529336279,2026/06/03 05:35:07.549,138.4,138.4,,138.4,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:07.549, 138.40, [N/A], 138.40, 400.00, 1410, 1593, 39, P0, 100"
1780464907661681087,2026/06/03 05:35:07.681,129.18,129.18,,129.18,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:07.681, 129.18, [N/A], 129.18, 400.00, 1410, 1593, 39, P0, 100"
1780464907791768352,2026/06/03 05:35:07.811,118.61,118.61,,118.61,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:35:07.811, 118.61, [N/A], 118.61, 400.00, 1410, 1593, 38, P0, 100"
1780464907920697345,2026/06/03 05:35:07.939,142.9,142.9,,142.9,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:07.939, 142.90, [N/A], 142.90, 400.00, 1410, 1593, 39, P0, 100"
1780464908048348133,2026/06/03 05:35:08.067,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:08.067, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464908176668309,2026/06/03 05:35:08.196,139.95,139.95,,139.95,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:35:08.196, 139.95, [N/A], 139.95, 400.00, 1410, 1593, 39, P0, 100"
