sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464743147225358,2026/06/03 05:32:23.168,84.26,84.26,,84.26,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:32:23.168, 84.26, [N/A], 84.26, 400.00, 1410, 1593, 36, P0, 0"
1780464743280000020,2026/06/03 05:32:23.305,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:32:23.305, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780464743416970361,2026/06/03 05:32:23.436,85.47,85.47,,85.47,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:32:23.436, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 36, P0, 0"
1780464743547806342,2026/06/03 05:32:23.567,139.34,139.34,,139.34,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:32:23.567, 139.34, [N/A], 139.34, 400.00, 1410, 1593, 38, P0, 0"
1780464743676512120,2026/06/03 05:32:23.696,140.14,140.14,,140.14,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:23.696, 140.14, [N/A], 140.14, 400.00, 1410, 1593, 38, P0, 100"
1780464743805272811,2026/06/03 05:32:23.825,140.56,140.56,,140.56,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:23.825, 140.56, [N/A], 140.56, 400.00, 1410, 1593, 38, P0, 100"
1780464743935710038,2026/06/03 05:32:23.955,141.02,141.02,,141.02,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:23.955, 141.02, [N/A], 141.02, 400.00, 1410, 1593, 38, P0, 100"
1780464744064356608,2026/06/03 05:32:24.083,109.5,109.5,,109.5,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:24.083, 109.50, [N/A], 109.50, 400.00, 1410, 1593, 38, P0, 100"
1780464744193699940,2026/06/03 05:32:24.213,139.62,139.62,,139.62,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:24.213, 139.62, [N/A], 139.62, 400.00, 1410, 1593, 38, P0, 100"
1780464744322762798,2026/06/03 05:32:24.342,140.41,140.41,,140.41,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:24.342, 140.41, [N/A], 140.41, 400.00, 1410, 1593, 39, P0, 100"
