sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464771481799019,2026/06/03 05:32:51.505,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:32:51.505, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780464771614948660,2026/06/03 05:32:51.641,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:32:51.641, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780464771752607802,2026/06/03 05:32:51.773,85.47,85.47,,85.47,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:32:51.773, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 36, P0, 0"
1780464771883958848,2026/06/03 05:32:51.903,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:32:51.903, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 0"
1780464772012698685,2026/06/03 05:32:52.031,143.92,143.92,,143.92,400.0,1410.0,1593.0,38.0,P0,13.0,average_instant,"2026/06/03 05:32:52.031, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 38, P0, 13"
1780464772140331893,2026/06/03 05:32:52.159,144.87,144.87,,144.87,400.0,1410.0,1593.0,38.0,P0,13.0,average_instant,"2026/06/03 05:32:52.159, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 38, P0, 13"
1780464772269673787,2026/06/03 05:32:52.288,134.7,134.7,,134.7,400.0,1410.0,1593.0,38.0,P0,13.0,average_instant,"2026/06/03 05:32:52.288, 134.70, [N/A], 134.70, 400.00, 1410, 1593, 38, P0, 13"
1780464772398137941,2026/06/03 05:32:52.417,131.94,131.94,,131.94,400.0,1410.0,1593.0,38.0,P0,13.0,average_instant,"2026/06/03 05:32:52.417, 131.94, [N/A], 131.94, 400.00, 1410, 1593, 38, P0, 13"
1780464772526843941,2026/06/03 05:32:52.546,143.78,143.78,,143.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:52.546, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 39, P0, 100"
1780464772656397072,2026/06/03 05:32:52.675,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:52.675, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780464772784388335,2026/06/03 05:32:52.804,140.74,140.74,,140.74,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:52.804, 140.74, [N/A], 140.74, 400.00, 1410, 1593, 39, P0, 100"
1780464772912874529,2026/06/03 05:32:52.932,128.24,128.24,,128.24,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:52.932, 128.24, [N/A], 128.24, 400.00, 1410, 1593, 38, P0, 100"
1780464773041321132,2026/06/03 05:32:53.060,138.26,138.26,,138.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.060, 138.26, [N/A], 138.26, 400.00, 1410, 1593, 39, P0, 100"
1780464773169224156,2026/06/03 05:32:53.189,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.189, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 100"
1780464773299308873,2026/06/03 05:32:53.319,142.56,142.56,,142.56,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.319, 142.56, [N/A], 142.56, 400.00, 1410, 1593, 39, P0, 100"
1780464773429022903,2026/06/03 05:32:53.448,140.56,140.56,,140.56,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.448, 140.56, [N/A], 140.56, 400.00, 1410, 1593, 39, P0, 100"
1780464773558151703,2026/06/03 05:32:53.577,125.2,125.2,,125.2,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:32:53.577, 125.20, [N/A], 125.20, 400.00, 1410, 1593, 38, P0, 100"
1780464773686930021,2026/06/03 05:32:53.706,143.78,143.78,,143.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.706, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 39, P0, 100"
1780464773815900101,2026/06/03 05:32:53.835,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.835, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464773945402777,2026/06/03 05:32:53.964,142.43,142.43,,142.43,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:53.964, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 39, P0, 100"
1780464774073478680,2026/06/03 05:32:54.093,138.4,138.4,,138.4,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:54.093, 138.40, [N/A], 138.40, 400.00, 1410, 1593, 39, P0, 100"
1780464774202665969,2026/06/03 05:32:54.221,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:54.221, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 100"
1780464774333178068,2026/06/03 05:32:54.352,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:32:54.352, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
