sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464415335040383,2026/06/03 05:26:55.355,84.26,84.26,,84.26,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:26:55.355, 84.26, [N/A], 84.26, 400.00, 1410, 1593, 36, P0, 0"
1780464415467761340,2026/06/03 05:26:55.493,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:26:55.493, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 0"
1780464415604632485,2026/06/03 05:26:55.624,88.89,88.89,,88.89,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:26:55.624, 88.89, [N/A], 88.89, 400.00, 1410, 1593, 36, P0, 0"
1780464415735262006,2026/06/03 05:26:55.754,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:26:55.754, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 0"
1780464415864746824,2026/06/03 05:26:55.885,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:26:55.885, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 47"
1780464415994595508,2026/06/03 05:26:56.013,145.2,145.2,,145.2,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:26:56.013, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 38, P0, 47"
1780464416122270067,2026/06/03 05:26:56.141,144.44,144.44,,144.44,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:26:56.141, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 38, P0, 47"
1780464416250472591,2026/06/03 05:26:56.269,131.05,131.05,,131.05,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:26:56.269, 131.05, [N/A], 131.05, 400.00, 1410, 1593, 38, P0, 47"
1780464416379295321,2026/06/03 05:26:56.398,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:26:56.398, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 47"
1780464416507870996,2026/06/03 05:26:56.527,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,47.0,average_instant,"2026/06/03 05:26:56.527, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 47"
1780464416637923691,2026/06/03 05:26:56.657,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,47.0,average_instant,"2026/06/03 05:26:56.657, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 47"
1780464416766069620,2026/06/03 05:26:56.786,119.01,119.01,,119.01,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:56.786, 119.01, [N/A], 119.01, 400.00, 1410, 1593, 38, P0, 100"
1780464416896373216,2026/06/03 05:26:56.916,136.85,136.85,,136.85,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:56.916, 136.85, [N/A], 136.85, 400.00, 1410, 1593, 38, P0, 100"
1780464417025853266,2026/06/03 05:26:57.045,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:57.045, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 100"
1780464417154309516,2026/06/03 05:26:57.173,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:57.173, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780464417283761686,2026/06/03 05:26:57.303,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:57.303, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
1780464417412808176,2026/06/03 05:26:57.432,115.85,115.85,,115.85,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:57.432, 115.85, [N/A], 115.85, 400.00, 1410, 1593, 38, P0, 100"
1780464417542361097,2026/06/03 05:26:57.562,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:57.562, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 100"
1780464417670920806,2026/06/03 05:26:57.690,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:57.690, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 100"
1780464417800165790,2026/06/03 05:26:57.819,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:57.819, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780464417929808878,2026/06/03 05:26:57.949,141.02,141.02,,141.02,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:57.949, 141.02, [N/A], 141.02, 400.00, 1410, 1593, 38, P0, 100"
1780464418058169273,2026/06/03 05:26:58.077,142.43,142.43,,142.43,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:58.077, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 38, P0, 100"
1780464418188881189,2026/06/03 05:26:58.208,143.92,143.92,,143.92,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:58.208, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 38, P0, 100"
1780464418317344615,2026/06/03 05:26:58.336,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:58.336, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780464418446376058,2026/06/03 05:26:58.466,139.8,139.8,,139.8,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:26:58.466, 139.80, [N/A], 139.80, 400.00, 1410, 1593, 39, P0, 100"
