sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780465016636583074,2026/06/03 05:36:56.657,84.59,84.59,,84.59,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:36:56.657, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 36, P0, 0"
1780465016769197195,2026/06/03 05:36:56.791,88.29,88.29,,88.29,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:36:56.791, 88.29, [N/A], 88.29, 400.00, 1410, 1593, 36, P0, 0"
1780465016908206829,2026/06/03 05:36:56.928,89.78,89.78,,89.78,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:36:56.928, 89.78, [N/A], 89.78, 400.00, 1410, 1593, 36, P0, 0"
1780465017038775674,2026/06/03 05:36:57.058,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:36:57.058, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 0"
1780465017168396194,2026/06/03 05:36:57.187,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.187, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780465017296455041,2026/06/03 05:36:57.315,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.315, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 100"
1780465017425549643,2026/06/03 05:36:57.444,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.444, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780465017553041576,2026/06/03 05:36:57.572,143.5,143.5,,143.5,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.572, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 39, P0, 100"
1780465017681435094,2026/06/03 05:36:57.700,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.700, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780465017808920694,2026/06/03 05:36:57.828,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.828, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 100"
1780465017936923994,2026/06/03 05:36:57.956,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:57.956, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780465018066811600,2026/06/03 05:36:58.086,109.17,109.17,,109.17,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:36:58.086, 109.17, [N/A], 109.17, 400.00, 1410, 1593, 38, P0, 100"
1780465018195621962,2026/06/03 05:36:58.214,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.214, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780465018323283962,2026/06/03 05:36:58.342,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.342, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 100"
1780465018452537961,2026/06/03 05:36:58.472,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.472, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780465018581390274,2026/06/03 05:36:58.599,129.78,129.78,,129.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.599, 129.78, [N/A], 129.78, 400.00, 1410, 1593, 39, P0, 100"
1780465018708093663,2026/06/03 05:36:58.727,143.32,143.32,,143.32,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.727, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 39, P0, 100"
1780465018836707177,2026/06/03 05:36:58.856,144.72,144.72,,144.72,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.856, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 39, P0, 100"
1780465018964890774,2026/06/03 05:36:58.984,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:58.984, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
1780465019093280479,2026/06/03 05:36:59.112,138.6,138.6,,138.6,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:59.112, 138.60, [N/A], 138.60, 400.00, 1410, 1593, 39, P0, 100"
1780465019221781225,2026/06/03 05:36:59.241,107.96,107.96,,107.96,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:59.241, 107.96, [N/A], 107.96, 400.00, 1410, 1593, 39, P0, 100"
1780465019350928450,2026/06/03 05:36:59.370,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:59.370, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780465019479844795,2026/06/03 05:36:59.498,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:59.498, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
1780465019607411699,2026/06/03 05:36:59.626,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:59.626, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780465019735181119,2026/06/03 05:36:59.754,132.54,132.54,,132.54,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:36:59.754, 132.54, [N/A], 132.54, 400.00, 1410, 1593, 38, P0, 100"
1780465019862752451,2026/06/03 05:36:59.883,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:36:59.883, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780465019992901959,2026/06/03 05:37:00.011,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.011, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
1780465020122063944,2026/06/03 05:37:00.141,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.141, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
1780465020249947561,2026/06/03 05:37:00.269,139.8,139.8,,139.8,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.269, 139.80, [N/A], 139.80, 400.00, 1410, 1593, 39, P0, 100"
1780465020377950105,2026/06/03 05:37:00.397,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.397, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
1780465020506548344,2026/06/03 05:37:00.525,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.525, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780465020634763499,2026/06/03 05:37:00.654,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.654, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780465020764573423,2026/06/03 05:37:00.784,134.09,134.09,,134.09,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.784, 134.09, [N/A], 134.09, 400.00, 1410, 1593, 39, P0, 100"
1780465020893216996,2026/06/03 05:37:00.912,141.35,141.35,,141.35,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:00.912, 141.35, [N/A], 141.35, 400.00, 1410, 1593, 39, P0, 100"
1780465021021850986,2026/06/03 05:37:01.041,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.041, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780465021150921343,2026/06/03 05:37:01.170,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.170, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
1780465021279838439,2026/06/03 05:37:01.299,141.5,141.5,,141.5,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.299, 141.50, [N/A], 141.50, 400.00, 1410, 1593, 39, P0, 100"
1780465021409430617,2026/06/03 05:37:01.429,118.73,118.73,,118.73,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.429, 118.73, [N/A], 118.73, 400.00, 1410, 1593, 39, P0, 100"
1780465021537849371,2026/06/03 05:37:01.557,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.557, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
1780465021667830878,2026/06/03 05:37:01.687,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.687, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
1780465021795588063,2026/06/03 05:37:01.815,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.815, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780465021924201864,2026/06/03 05:37:01.943,135.36,135.36,,135.36,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:01.943, 135.36, [N/A], 135.36, 400.00, 1410, 1593, 39, P0, 100"
1780465022053672971,2026/06/03 05:37:02.072,138.87,138.87,,138.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:02.072, 138.87, [N/A], 138.87, 400.00, 1410, 1593, 39, P0, 100"
1780465022182510932,2026/06/03 05:37:02.201,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:02.201, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
1780465022310877655,2026/06/03 05:37:02.329,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:37:02.329, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
