sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464470265304415,2026/06/03 05:27:50.286,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:27:50.286, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 0"
1780464470397654676,2026/06/03 05:27:50.420,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:27:50.420, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780464470536426304,2026/06/03 05:27:50.556,85.8,85.8,,85.8,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:27:50.556, 85.80, [N/A], 85.80, 400.00, 1410, 1593, 36, P0, 0"
1780464470667461401,2026/06/03 05:27:50.687,142.71,142.71,,142.71,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:27:50.687, 142.71, [N/A], 142.71, 400.00, 1410, 1593, 38, P0, 0"
1780464470796079800,2026/06/03 05:27:50.815,144.26,144.26,,144.26,400.0,1410.0,1593.0,38.0,P0,26.0,average_instant,"2026/06/03 05:27:50.815, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 38, P0, 26"
1780464470925308394,2026/06/03 05:27:50.945,144.87,144.87,,144.87,400.0,1410.0,1593.0,38.0,P0,26.0,average_instant,"2026/06/03 05:27:50.945, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 38, P0, 26"
1780464471054653511,2026/06/03 05:27:51.074,137.18,137.18,,137.18,400.0,1410.0,1593.0,38.0,P0,26.0,average_instant,"2026/06/03 05:27:51.074, 137.18, [N/A], 137.18, 400.00, 1410, 1593, 38, P0, 26"
1780464471184737710,2026/06/03 05:27:51.204,138.87,138.87,,138.87,400.0,1410.0,1593.0,38.0,P0,26.0,average_instant,"2026/06/03 05:27:51.204, 138.87, [N/A], 138.87, 400.00, 1410, 1593, 38, P0, 26"
1780464471315239546,2026/06/03 05:27:51.334,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,26.0,average_instant,"2026/06/03 05:27:51.334, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 26"
1780464471443173316,2026/06/03 05:27:51.462,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,26.0,average_instant,"2026/06/03 05:27:51.462, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 26"
