sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459201095557794,2026/06/03 04:00:01.116,83.04,83.04,,83.04,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 04:00:01.116, 83.04, [N/A], 83.04, 400.00, 1410, 1593, 35, P0, 0"
1780459201228324091,2026/06/03 04:00:01.254,84.26,84.26,,84.26,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 04:00:01.254, 84.26, [N/A], 84.26, 400.00, 1410, 1593, 35, P0, 0"
1780459201364850263,2026/06/03 04:00:01.385,87.35,87.35,,87.35,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 04:00:01.385, 87.35, [N/A], 87.35, 400.00, 1410, 1593, 35, P0, 0"
1780459201497969767,2026/06/03 04:00:01.517,142.71,142.71,,142.71,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:00:01.517, 142.71, [N/A], 142.71, 400.00, 1410, 1593, 36, P0, 0"
1780459201626647767,2026/06/03 04:00:01.646,143.32,143.32,,143.32,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:01.646, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 37, P0, 34"
1780459201755673938,2026/06/03 04:00:01.775,143.5,143.5,,143.5,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:01.775, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 37, P0, 34"
1780459201884588794,2026/06/03 04:00:01.904,141.35,141.35,,141.35,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:01.904, 141.35, [N/A], 141.35, 400.00, 1410, 1593, 37, P0, 34"
1780459202012956891,2026/06/03 04:00:02.032,141.16,141.16,,141.16,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:02.032, 141.16, [N/A], 141.16, 400.00, 1410, 1593, 37, P0, 34"
1780459202140451379,2026/06/03 04:00:02.160,143.32,143.32,,143.32,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:02.160, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 37, P0, 34"
1780459202269106970,2026/06/03 04:00:02.288,143.78,143.78,,143.78,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:02.288, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 37, P0, 34"
1780459202397947540,2026/06/03 04:00:02.417,141.63,141.63,,141.63,400.0,1410.0,1593.0,37.0,P0,34.0,average_instant,"2026/06/03 04:00:02.417, 141.63, [N/A], 141.63, 400.00, 1410, 1593, 37, P0, 34"
1780459202526169124,2026/06/03 04:00:02.545,122.92,122.92,,122.92,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 04:00:02.545, 122.92, [N/A], 122.92, 400.00, 1410, 1593, 37, P0, 100"
1780459202654811554,2026/06/03 04:00:02.674,143.17,143.17,,143.17,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 04:00:02.674, 143.17, [N/A], 143.17, 400.00, 1410, 1593, 37, P0, 100"
1780459202788004806,2026/06/03 04:00:02.807,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:02.807, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 100"
1780459202917354079,2026/06/03 04:00:02.937,141.63,141.63,,141.63,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:02.937, 141.63, [N/A], 141.63, 400.00, 1410, 1593, 38, P0, 100"
1780459203048110746,2026/06/03 04:00:03.067,130.11,130.11,,130.11,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 04:00:03.067, 130.11, [N/A], 130.11, 400.00, 1410, 1593, 37, P0, 100"
1780459203177057609,2026/06/03 04:00:03.196,135.36,135.36,,135.36,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 04:00:03.196, 135.36, [N/A], 135.36, 400.00, 1410, 1593, 37, P0, 100"
1780459203305314377,2026/06/03 04:00:03.323,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:03.323, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 100"
1780459203432399271,2026/06/03 04:00:03.452,142.1,142.1,,142.1,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:00:03.452, 142.10, [N/A], 142.10, 400.00, 1410, 1593, 38, P0, 100"
1780459203561534463,2026/06/03 04:00:03.580,141.63,141.63,,141.63,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 04:00:03.580, 141.63, [N/A], 141.63, 400.00, 1410, 1593, 37, P0, 100"
