sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459524953264953,2026/06/03 04:05:24.973,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:05:24.973, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780459525085445455,2026/06/03 04:05:25.108,87.02,87.02,,87.02,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:05:25.108, 87.02, [N/A], 87.02, 400.00, 1410, 1593, 36, P0, 0"
1780459525221399611,2026/06/03 04:05:25.241,89.18,89.18,,89.18,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:05:25.241, 89.18, [N/A], 89.18, 400.00, 1410, 1593, 36, P0, 0"
1780459525351373572,2026/06/03 04:05:25.371,143.65,143.65,,143.65,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 04:05:25.371, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 37, P0, 0"
1780459525480190566,2026/06/03 04:05:25.499,144.87,144.87,,144.87,400.0,1410.0,1593.0,38.0,P0,64.0,average_instant,"2026/06/03 04:05:25.499, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 38, P0, 64"
1780459525608925813,2026/06/03 04:05:25.629,144.87,144.87,,144.87,400.0,1410.0,1593.0,38.0,P0,64.0,average_instant,"2026/06/03 04:05:25.629, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 38, P0, 64"
1780459525739878190,2026/06/03 04:05:25.760,144.44,144.44,,144.44,400.0,1410.0,1593.0,38.0,P0,64.0,average_instant,"2026/06/03 04:05:25.760, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 38, P0, 64"
1780459525870012366,2026/06/03 04:05:25.890,143.65,143.65,,143.65,400.0,1410.0,1593.0,38.0,P0,64.0,average_instant,"2026/06/03 04:05:25.890, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 38, P0, 64"
1780459526001675068,2026/06/03 04:05:26.021,144.72,144.72,,144.72,400.0,1410.0,1593.0,38.0,P0,64.0,average_instant,"2026/06/03 04:05:26.021, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 38, P0, 64"
1780459526129834782,2026/06/03 04:05:26.149,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,64.0,average_instant,"2026/06/03 04:05:26.149, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 64"
1780459526258564303,2026/06/03 04:05:26.278,136.25,136.25,,136.25,400.0,1410.0,1593.0,38.0,P0,64.0,average_instant,"2026/06/03 04:05:26.278, 136.25, [N/A], 136.25, 400.00, 1410, 1593, 38, P0, 64"
1780459526387248490,2026/06/03 04:05:26.407,142.43,142.43,,142.43,400.0,1410.0,1593.0,38.0,P0,99.0,average_instant,"2026/06/03 04:05:26.407, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 38, P0, 99"
1780459526516884927,2026/06/03 04:05:26.536,144.72,144.72,,144.72,400.0,1410.0,1593.0,39.0,P0,99.0,average_instant,"2026/06/03 04:05:26.536, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 39, P0, 99"
1780459526645282557,2026/06/03 04:05:26.664,145.32,145.32,,145.32,400.0,1410.0,1593.0,39.0,P0,99.0,average_instant,"2026/06/03 04:05:26.664, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 39, P0, 99"
1780459526773821599,2026/06/03 04:05:26.793,141.96,141.96,,141.96,400.0,1410.0,1593.0,39.0,P0,99.0,average_instant,"2026/06/03 04:05:26.793, 141.96, [N/A], 141.96, 400.00, 1410, 1593, 39, P0, 99"
1780459526905581211,2026/06/03 04:05:26.924,130.39,130.39,,130.39,400.0,1410.0,1593.0,38.0,P0,99.0,average_instant,"2026/06/03 04:05:26.924, 130.39, [N/A], 130.39, 400.00, 1410, 1593, 38, P0, 99"
1780459527033147527,2026/06/03 04:05:27.052,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,99.0,average_instant,"2026/06/03 04:05:27.052, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 99"
1780459527161268484,2026/06/03 04:05:27.180,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,99.0,average_instant,"2026/06/03 04:05:27.180, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 99"
1780459527290501152,2026/06/03 04:05:27.310,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:27.310, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 100"
1780459527418975557,2026/06/03 04:05:27.438,125.2,125.2,,125.2,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:05:27.438, 125.20, [N/A], 125.20, 400.00, 1410, 1593, 38, P0, 100"
