sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459551269522418,2026/06/03 04:05:51.292,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:05:51.292, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780459551401541429,2026/06/03 04:05:51.424,88.2,88.2,,88.2,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:05:51.424, 88.20, [N/A], 88.20, 400.00, 1410, 1593, 36, P0, 0"
1780459551539467256,2026/06/03 04:05:51.560,90.11,90.11,,90.11,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 04:05:51.560, 90.11, [N/A], 90.11, 400.00, 1410, 1593, 36, P0, 0"
1780459551670862786,2026/06/03 04:05:51.690,139.2,139.2,,139.2,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 04:05:51.690, 139.20, [N/A], 139.20, 400.00, 1410, 1593, 38, P0, 0"
1780459551799161998,2026/06/03 04:05:51.818,145.2,145.2,,145.2,400.0,1410.0,1593.0,38.0,P0,74.0,average_instant,"2026/06/03 04:05:51.818, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 38, P0, 74"
1780459551929101005,2026/06/03 04:05:51.948,145.47,145.47,,145.47,400.0,1410.0,1593.0,38.0,P0,74.0,average_instant,"2026/06/03 04:05:51.948, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 38, P0, 74"
1780459552057571551,2026/06/03 04:05:52.077,142.1,142.1,,142.1,400.0,1410.0,1593.0,38.0,P0,74.0,average_instant,"2026/06/03 04:05:52.077, 142.10, [N/A], 142.10, 400.00, 1410, 1593, 38, P0, 74"
1780459552186724481,2026/06/03 04:05:52.206,121.17,121.17,,121.17,400.0,1410.0,1593.0,38.0,P0,74.0,average_instant,"2026/06/03 04:05:52.206, 121.17, [N/A], 121.17, 400.00, 1410, 1593, 38, P0, 74"
1780459552315437225,2026/06/03 04:05:52.334,145.32,145.32,,145.32,400.0,1410.0,1593.0,39.0,P0,74.0,average_instant,"2026/06/03 04:05:52.334, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 39, P0, 74"
1780459552442670719,2026/06/03 04:05:52.462,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,74.0,average_instant,"2026/06/03 04:05:52.462, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 74"
1780459552571928843,2026/06/03 04:05:52.591,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,74.0,average_instant,"2026/06/03 04:05:52.591, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 74"
1780459552700196515,2026/06/03 04:05:52.719,143.78,143.78,,143.78,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:52.719, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 39, P0, 100"
1780459552830983527,2026/06/03 04:05:52.851,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:52.851, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780459552961117549,2026/06/03 04:05:52.981,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:52.981, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459553090342825,2026/06/03 04:05:53.109,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.109, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780459553220185791,2026/06/03 04:05:53.239,141.96,141.96,,141.96,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.239, 141.96, [N/A], 141.96, 400.00, 1410, 1593, 39, P0, 100"
1780459553347642750,2026/06/03 04:05:53.367,144.72,144.72,,144.72,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.367, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 39, P0, 100"
1780459553477116486,2026/06/03 04:05:53.496,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.496, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780459553606103853,2026/06/03 04:05:53.626,142.29,142.29,,142.29,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.626, 142.29, [N/A], 142.29, 400.00, 1410, 1593, 39, P0, 100"
1780459553735686208,2026/06/03 04:05:53.755,120.89,120.89,,120.89,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.755, 120.89, [N/A], 120.89, 400.00, 1410, 1593, 39, P0, 100"
1780459553864909435,2026/06/03 04:05:53.884,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:53.884, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780459553994010265,2026/06/03 04:05:54.013,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.013, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459554124113679,2026/06/03 04:05:54.143,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.143, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780459554252656093,2026/06/03 04:05:54.271,126.08,126.08,,126.08,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:05:54.271, 126.08, [N/A], 126.08, 400.00, 1410, 1593, 38, P0, 100"
1780459554382657467,2026/06/03 04:05:54.402,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.402, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 100"
1780459554511494877,2026/06/03 04:05:54.531,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.531, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459554641351703,2026/06/03 04:05:54.660,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.660, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780459554769145142,2026/06/03 04:05:54.788,141.96,141.96,,141.96,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.788, 141.96, [N/A], 141.96, 400.00, 1410, 1593, 39, P0, 100"
1780459554897509875,2026/06/03 04:05:54.916,142.1,142.1,,142.1,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:54.916, 142.10, [N/A], 142.10, 400.00, 1410, 1593, 39, P0, 100"
1780459555026921542,2026/06/03 04:05:55.046,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.046, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780459555154817381,2026/06/03 04:05:55.174,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.174, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 100"
1780459555283299317,2026/06/03 04:05:55.303,142.43,142.43,,142.43,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.303, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 39, P0, 100"
1780459555411782294,2026/06/03 04:05:55.431,122.31,122.31,,122.31,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.431, 122.31, [N/A], 122.31, 400.00, 1410, 1593, 39, P0, 100"
1780459555539975452,2026/06/03 04:05:55.559,145.32,145.32,,145.32,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.559, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 39, P0, 100"
1780459555668232190,2026/06/03 04:05:55.687,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.687, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459555796193583,2026/06/03 04:05:55.815,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.815, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780459555923905464,2026/06/03 04:05:55.943,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:55.943, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 100"
1780459556052930843,2026/06/03 04:05:56.072,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.072, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 100"
1780459556182460351,2026/06/03 04:05:56.202,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.202, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459556311723014,2026/06/03 04:05:56.331,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.331, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780459556439837035,2026/06/03 04:05:56.459,142.43,142.43,,142.43,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.459, 142.43, [N/A], 142.43, 400.00, 1410, 1593, 39, P0, 100"
1780459556568867179,2026/06/03 04:05:56.588,145.05,145.05,,145.05,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.588, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 39, P0, 100"
1780459556699442529,2026/06/03 04:05:56.719,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.719, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780459556828670648,2026/06/03 04:05:56.848,142.29,142.29,,142.29,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:56.848, 142.29, [N/A], 142.29, 400.00, 1410, 1593, 39, P0, 100"
1780459556958169802,2026/06/03 04:05:56.977,126.42,126.42,,126.42,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 04:05:56.977, 126.42, [N/A], 126.42, 400.00, 1410, 1593, 38, P0, 100"
1780459557086399772,2026/06/03 04:05:57.105,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:57.105, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780459557215867153,2026/06/03 04:05:57.235,145.32,145.32,,145.32,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 04:05:57.235, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 39, P0, 100"
