sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780465545372948208,2026/06/03 05:45:45.399,61.21,61.21,,61.21,400.0,210.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 05:45:45.399, 61.21, [N/A], 61.21, 400.00, 210, 1593, 31, P0, 0"
1780465545512686489,2026/06/03 05:45:45.549,61.83,61.83,,61.83,400.0,210.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 05:45:45.549, 61.83, [N/A], 61.83, 400.00, 210, 1593, 31, P0, 0"
1780465545677223194,2026/06/03 05:45:45.697,68.57,68.57,,68.57,400.0,1155.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 05:45:45.697, 68.57, [N/A], 68.57, 400.00, 1155, 1593, 31, P0, 0"
1780465545810826230,2026/06/03 05:45:45.830,119.95,119.95,,119.95,400.0,1170.0,1593.0,32.0,P0,0.0,average_instant,"2026/06/03 05:45:45.830, 119.95, [N/A], 119.95, 400.00, 1170, 1593, 32, P0, 0"
1780465545940292344,2026/06/03 05:45:45.962,120.89,120.89,,120.89,400.0,1170.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 05:45:45.962, 120.89, [N/A], 120.89, 400.00, 1170, 1593, 33, P0, 0"
1780465546072495508,2026/06/03 05:45:46.091,121.17,121.17,,121.17,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 05:45:46.091, 121.17, [N/A], 121.17, 400.00, 1410, 1593, 34, P0, 0"
1780465546202170775,2026/06/03 05:45:46.222,181.32,181.32,,181.32,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:45:46.222, 181.32, [N/A], 181.32, 400.00, 1410, 1593, 35, P0, 100"
1780465546331934143,2026/06/03 05:45:46.352,182.19,182.19,,182.19,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:45:46.352, 182.19, [N/A], 182.19, 400.00, 1410, 1593, 35, P0, 100"
1780465546462433182,2026/06/03 05:45:46.482,182.19,182.19,,182.19,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:45:46.482, 182.19, [N/A], 182.19, 400.00, 1410, 1593, 35, P0, 100"
1780465546591513727,2026/06/03 05:45:46.610,174.24,174.24,,174.24,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:45:46.610, 174.24, [N/A], 174.24, 400.00, 1410, 1593, 36, P0, 100"
1780465546720025946,2026/06/03 05:45:46.741,154.7,154.7,,154.7,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:45:46.741, 154.70, [N/A], 154.70, 400.00, 1410, 1593, 36, P0, 100"
1780465546850916910,2026/06/03 05:45:46.871,154.87,154.87,,154.87,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:45:46.871, 154.87, [N/A], 154.87, 400.00, 1410, 1593, 36, P0, 100"
1780465546980681367,2026/06/03 05:45:47.000,169.34,169.34,,169.34,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:45:47.000, 169.34, [N/A], 169.34, 400.00, 1410, 1593, 36, P0, 100"
1780465547109511581,2026/06/03 05:45:47.128,179.76,179.76,,179.76,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:45:47.128, 179.76, [N/A], 179.76, 400.00, 1410, 1593, 36, P0, 100"
1780465547237896479,2026/06/03 05:45:47.257,181.59,181.59,,181.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:45:47.257, 181.59, [N/A], 181.59, 400.00, 1410, 1593, 37, P0, 100"
