sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780465551591156108,2026/06/03 05:45:51.612,84.87,84.87,,84.87,400.0,1410.0,1593.0,34.0,P0,6.0,average_instant,"2026/06/03 05:45:51.612, 84.87, [N/A], 84.87, 400.00, 1410, 1593, 34, P0, 6"
1780465551723829329,2026/06/03 05:45:51.751,89.18,89.18,,89.18,400.0,1410.0,1593.0,34.0,P0,6.0,average_instant,"2026/06/03 05:45:51.751, 89.18, [N/A], 89.18, 400.00, 1410, 1593, 34, P0, 6"
1780465551863716029,2026/06/03 05:45:51.883,91.05,91.05,,91.05,400.0,1410.0,1593.0,33.0,P0,6.0,average_instant,"2026/06/03 05:45:51.883, 91.05, [N/A], 91.05, 400.00, 1410, 1593, 33, P0, 6"
1780465551994415294,2026/06/03 05:45:52.013,171.48,171.48,,171.48,400.0,1410.0,1593.0,35.0,P0,1.0,average_instant,"2026/06/03 05:45:52.013, 171.48, [N/A], 171.48, 400.00, 1410, 1593, 35, P0, 1"
1780465552123668323,2026/06/03 05:45:52.143,168.07,168.07,,168.07,400.0,1410.0,1593.0,36.0,P0,1.0,average_instant,"2026/06/03 05:45:52.143, 168.07, [N/A], 168.07, 400.00, 1410, 1593, 36, P0, 1"
1780465552253146590,2026/06/03 05:45:52.272,165.31,165.31,,165.31,400.0,1410.0,1593.0,37.0,P0,1.0,average_instant,"2026/06/03 05:45:52.272, 165.31, [N/A], 165.31, 400.00, 1410, 1593, 37, P0, 1"
1780465552382482286,2026/06/03 05:45:52.402,158.57,158.57,,158.57,400.0,1410.0,1593.0,37.0,P0,1.0,average_instant,"2026/06/03 05:45:52.402, 158.57, [N/A], 158.57, 400.00, 1410, 1593, 37, P0, 1"
1780465552511142685,2026/06/03 05:45:52.530,148.23,148.23,,148.23,400.0,1410.0,1593.0,37.0,P0,1.0,average_instant,"2026/06/03 05:45:52.530, 148.23, [N/A], 148.23, 400.00, 1410, 1593, 37, P0, 1"
1780465552641041959,2026/06/03 05:45:52.660,145.47,145.47,,145.47,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:45:52.660, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 37, P0, 100"
1780465552769478502,2026/06/03 05:45:52.789,148.42,148.42,,148.42,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:45:52.789, 148.42, [N/A], 148.42, 400.00, 1410, 1593, 37, P0, 100"
