sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780459473330070291,2026/06/03 04:04:33.352,61.21,61.21,,61.21,400.0,210.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:04:33.352, 61.21, [N/A], 61.21, 400.00, 210, 1593, 31, P0, 0"
1780459473470557277,2026/06/03 04:04:33.500,61.5,61.5,,61.5,400.0,210.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:04:33.500, 61.50, [N/A], 61.50, 400.00, 210, 1593, 31, P0, 0"
1780459473636243621,2026/06/03 04:04:33.656,67.68,67.68,,67.68,400.0,1155.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:04:33.656, 67.68, [N/A], 67.68, 400.00, 1155, 1593, 31, P0, 0"
1780459473768231685,2026/06/03 04:04:33.788,101.16,101.16,,101.16,400.0,1155.0,1593.0,32.0,P0,3.0,average_instant,"2026/06/03 04:04:33.788, 101.16, [N/A], 101.16, 400.00, 1155, 1593, 32, P0, 3"
1780459473899410786,2026/06/03 04:04:33.920,102.1,102.1,,102.1,400.0,1410.0,1593.0,32.0,P0,3.0,average_instant,"2026/06/03 04:04:33.920, 102.10, [N/A], 102.10, 400.00, 1410, 1593, 32, P0, 3"
1780459474029939283,2026/06/03 04:04:34.050,146.88,146.88,,146.88,400.0,1410.0,1593.0,34.0,P0,3.0,average_instant,"2026/06/03 04:04:34.050, 146.88, [N/A], 146.88, 400.00, 1410, 1593, 34, P0, 3"
1780459474159111936,2026/06/03 04:04:34.179,144.26,144.26,,144.26,400.0,1410.0,1593.0,34.0,P0,3.0,average_instant,"2026/06/03 04:04:34.179, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 34, P0, 3"
1780459474290526274,2026/06/03 04:04:34.310,123.19,123.19,,123.19,400.0,1410.0,1593.0,34.0,P0,3.0,average_instant,"2026/06/03 04:04:34.310, 123.19, [N/A], 123.19, 400.00, 1410, 1593, 34, P0, 3"
1780459474419797151,2026/06/03 04:04:34.439,146.59,146.59,,146.59,400.0,1410.0,1593.0,34.0,P0,3.0,average_instant,"2026/06/03 04:04:34.439, 146.59, [N/A], 146.59, 400.00, 1410, 1593, 34, P0, 3"
1780459474549909111,2026/06/03 04:04:34.569,147.81,147.81,,147.81,400.0,1410.0,1593.0,35.0,P0,3.0,average_instant,"2026/06/03 04:04:34.569, 147.81, [N/A], 147.81, 400.00, 1410, 1593, 35, P0, 3"
1780459474678520651,2026/06/03 04:04:34.698,147.48,147.48,,147.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:34.698, 147.48, [N/A], 147.48, 400.00, 1410, 1593, 35, P0, 100"
1780459474806993145,2026/06/03 04:04:34.826,127.49,127.49,,127.49,400.0,1410.0,1593.0,34.0,P0,100.0,average_instant,"2026/06/03 04:04:34.826, 127.49, [N/A], 127.49, 400.00, 1410, 1593, 34, P0, 100"
1780459474936058329,2026/06/03 04:04:34.955,146.59,146.59,,146.59,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:34.955, 146.59, [N/A], 146.59, 400.00, 1410, 1593, 35, P0, 100"
1780459475064737210,2026/06/03 04:04:35.083,148.08,148.08,,148.08,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.083, 148.08, [N/A], 148.08, 400.00, 1410, 1593, 35, P0, 100"
1780459475195086784,2026/06/03 04:04:35.214,147.81,147.81,,147.81,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.214, 147.81, [N/A], 147.81, 400.00, 1410, 1593, 35, P0, 100"
1780459475324034202,2026/06/03 04:04:35.343,144.72,144.72,,144.72,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.343, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 35, P0, 100"
1780459475452520221,2026/06/03 04:04:35.471,144.72,144.72,,144.72,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.471, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 35, P0, 100"
1780459475582229829,2026/06/03 04:04:35.601,148.57,148.57,,148.57,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.601, 148.57, [N/A], 148.57, 400.00, 1410, 1593, 35, P0, 100"
1780459475710542346,2026/06/03 04:04:35.730,148.57,148.57,,148.57,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.730, 148.57, [N/A], 148.57, 400.00, 1410, 1593, 35, P0, 100"
1780459475840516251,2026/06/03 04:04:35.860,145.05,145.05,,145.05,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.860, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 35, P0, 100"
1780459475969692773,2026/06/03 04:04:35.989,147.2,147.2,,147.2,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:35.989, 147.20, [N/A], 147.20, 400.00, 1410, 1593, 35, P0, 100"
1780459476099243045,2026/06/03 04:04:36.119,148.42,148.42,,148.42,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:36.119, 148.42, [N/A], 148.42, 400.00, 1410, 1593, 35, P0, 100"
1780459476228410331,2026/06/03 04:04:36.247,148.08,148.08,,148.08,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:36.247, 148.08, [N/A], 148.08, 400.00, 1410, 1593, 35, P0, 100"
1780459476357179903,2026/06/03 04:04:36.376,148.08,148.08,,148.08,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:36.376, 148.08, [N/A], 148.08, 400.00, 1410, 1593, 35, P0, 100"
1780459476487491573,2026/06/03 04:04:36.507,146.88,146.88,,146.88,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:36.507, 146.88, [N/A], 146.88, 400.00, 1410, 1593, 35, P0, 100"
1780459476617413300,2026/06/03 04:04:36.637,148.08,148.08,,148.08,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:36.637, 148.08, [N/A], 148.08, 400.00, 1410, 1593, 35, P0, 100"
1780459476746922011,2026/06/03 04:04:36.767,148.08,148.08,,148.08,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:36.767, 148.08, [N/A], 148.08, 400.00, 1410, 1593, 36, P0, 100"
1780459476877035362,2026/06/03 04:04:36.896,144.72,144.72,,144.72,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:36.896, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 36, P0, 100"
1780459477007013120,2026/06/03 04:04:37.026,145.32,145.32,,145.32,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:37.026, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 35, P0, 100"
1780459477135767842,2026/06/03 04:04:37.155,147.81,147.81,,147.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:37.155, 147.81, [N/A], 147.81, 400.00, 1410, 1593, 36, P0, 100"
1780459477264843475,2026/06/03 04:04:37.284,148.75,148.75,,148.75,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:37.284, 148.75, [N/A], 148.75, 400.00, 1410, 1593, 36, P0, 100"
1780459477393191106,2026/06/03 04:04:37.412,145.2,145.2,,145.2,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:37.412, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 36, P0, 100"
1780459477521335402,2026/06/03 04:04:37.540,127.49,127.49,,127.49,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:37.540, 127.49, [N/A], 127.49, 400.00, 1410, 1593, 35, P0, 100"
1780459477651548032,2026/06/03 04:04:37.670,147.48,147.48,,147.48,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:37.670, 147.48, [N/A], 147.48, 400.00, 1410, 1593, 36, P0, 100"
1780459477779769719,2026/06/03 04:04:37.799,148.42,148.42,,148.42,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:37.799, 148.42, [N/A], 148.42, 400.00, 1410, 1593, 36, P0, 100"
1780459477909155453,2026/06/03 04:04:37.928,148.42,148.42,,148.42,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:37.928, 148.42, [N/A], 148.42, 400.00, 1410, 1593, 36, P0, 100"
1780459478037247236,2026/06/03 04:04:38.056,127.83,127.83,,127.83,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:38.056, 127.83, [N/A], 127.83, 400.00, 1410, 1593, 35, P0, 100"
1780459478165808734,2026/06/03 04:04:38.185,147.2,147.2,,147.2,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:38.185, 147.20, [N/A], 147.20, 400.00, 1410, 1593, 36, P0, 100"
1780459478294876809,2026/06/03 04:04:38.314,148.42,148.42,,148.42,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:38.314, 148.42, [N/A], 148.42, 400.00, 1410, 1593, 36, P0, 100"
1780459478423298081,2026/06/03 04:04:38.442,148.42,148.42,,148.42,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:38.442, 148.42, [N/A], 148.42, 400.00, 1410, 1593, 36, P0, 100"
1780459478552421715,2026/06/03 04:04:38.572,144.26,144.26,,144.26,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 04:04:38.572, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 35, P0, 100"
1780459478681896782,2026/06/03 04:04:38.701,145.66,145.66,,145.66,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:38.701, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 36, P0, 100"
1780459478810767764,2026/06/03 04:04:38.830,148.75,148.75,,148.75,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:38.830, 148.75, [N/A], 148.75, 400.00, 1410, 1593, 36, P0, 100"
1780459478940452191,2026/06/03 04:04:38.960,149.02,149.02,,149.02,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:38.960, 149.02, [N/A], 149.02, 400.00, 1410, 1593, 36, P0, 100"
1780459479068796244,2026/06/03 04:04:39.088,145.32,145.32,,145.32,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:39.088, 145.32, [N/A], 145.32, 400.00, 1410, 1593, 36, P0, 100"
1780459479198633497,2026/06/03 04:04:39.218,147.81,147.81,,147.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:39.218, 147.81, [N/A], 147.81, 400.00, 1410, 1593, 36, P0, 100"
1780459479327038133,2026/06/03 04:04:39.346,148.75,148.75,,148.75,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 04:04:39.346, 148.75, [N/A], 148.75, 400.00, 1410, 1593, 36, P0, 100"
