sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456477281364985,2026/06/03 03:14:37.301,60.88,60.88,,60.88,400.0,210.0,1593.0,30.0,P0,0.0,average_instant,"2026/06/03 03:14:37.301, 60.88, [N/A], 60.88, 400.00, 210, 1593, 30, P0, 0"
1780456477422000499,2026/06/03 03:14:37.451,61.5,61.5,,61.5,400.0,210.0,1593.0,30.0,P0,0.0,average_instant,"2026/06/03 03:14:37.451, 61.50, [N/A], 61.50, 400.00, 210, 1593, 30, P0, 0"
1780456477586935667,2026/06/03 03:14:37.608,69.78,69.78,,69.78,400.0,1155.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 03:14:37.608, 69.78, [N/A], 69.78, 400.00, 1155, 1593, 31, P0, 0"
1780456477719098721,2026/06/03 03:14:37.739,101.39,101.39,,101.39,400.0,1155.0,1593.0,31.0,P0,31.0,average_instant,"2026/06/03 03:14:37.739, 101.39, [N/A], 101.39, 400.00, 1155, 1593, 31, P0, 31"
1780456477850288425,2026/06/03 03:14:37.871,95.36,95.36,,95.36,400.0,1155.0,1593.0,32.0,P0,31.0,average_instant,"2026/06/03 03:14:37.871, 95.36, [N/A], 95.36, 400.00, 1155, 1593, 32, P0, 31"
1780456477980737561,2026/06/03 03:14:38.001,137.98,137.98,,137.98,400.0,1410.0,1593.0,33.0,P0,31.0,average_instant,"2026/06/03 03:14:38.001, 137.98, [N/A], 137.98, 400.00, 1410, 1593, 33, P0, 31"
1780456478112608935,2026/06/03 03:14:38.132,144.87,144.87,,144.87,400.0,1410.0,1593.0,33.0,P0,31.0,average_instant,"2026/06/03 03:14:38.132, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 33, P0, 31"
1780456478241937674,2026/06/03 03:14:38.262,142.56,142.56,,142.56,400.0,1410.0,1593.0,34.0,P0,31.0,average_instant,"2026/06/03 03:14:38.262, 142.56, [N/A], 142.56, 400.00, 1410, 1593, 34, P0, 31"
1780456478371519599,2026/06/03 03:14:38.391,146.26,146.26,,146.26,400.0,1410.0,1593.0,34.0,P0,31.0,average_instant,"2026/06/03 03:14:38.391, 146.26, [N/A], 146.26, 400.00, 1410, 1593, 34, P0, 31"
1780456478502305067,2026/06/03 03:14:38.522,92.87,92.87,,92.87,400.0,1410.0,1593.0,32.0,P0,31.0,average_instant,"2026/06/03 03:14:38.522, 92.87, [N/A], 92.87, 400.00, 1410, 1593, 32, P0, 31"
