sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456258242196737,2026/06/03 03:10:58.262,82.96,82.96,,82.96,400.0,1410.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 03:10:58.262, 82.96, [N/A], 82.96, 400.00, 1410, 1593, 33, P0, 0"
1780456258375836978,2026/06/03 03:10:58.400,86.66,86.66,,86.66,400.0,1410.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 03:10:58.400, 86.66, [N/A], 86.66, 400.00, 1410, 1593, 33, P0, 0"
1780456258512661897,2026/06/03 03:10:58.532,88.29,88.29,,88.29,400.0,1410.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 03:10:58.532, 88.29, [N/A], 88.29, 400.00, 1410, 1593, 33, P0, 0"
1780456258642602284,2026/06/03 03:10:58.662,149.96,149.96,,149.96,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:10:58.662, 149.96, [N/A], 149.96, 400.00, 1410, 1593, 36, P0, 0"
1780456258771845284,2026/06/03 03:10:58.791,179.43,179.43,,179.43,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 03:10:58.791, 179.43, [N/A], 179.43, 400.00, 1410, 1593, 37, P0, 99"
1780456258901559497,2026/06/03 03:10:58.921,177.0,177.0,,177.0,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 03:10:58.921, 177.00, [N/A], 177.00, 400.00, 1410, 1593, 37, P0, 99"
1780456259030524673,2026/06/03 03:10:59.050,183.74,183.74,,183.74,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 03:10:59.050, 183.74, [N/A], 183.74, 400.00, 1410, 1593, 37, P0, 99"
1780456259161145268,2026/06/03 03:10:59.180,180.38,180.38,,180.38,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 03:10:59.180, 180.38, [N/A], 180.38, 400.00, 1410, 1593, 37, P0, 99"
1780456259290492660,2026/06/03 03:10:59.310,184.07,184.07,,184.07,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 03:10:59.310, 184.07, [N/A], 184.07, 400.00, 1410, 1593, 38, P0, 100"
1780456259420515245,2026/06/03 03:10:59.441,166.25,166.25,,166.25,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 03:10:59.441, 166.25, [N/A], 166.25, 400.00, 1410, 1593, 38, P0, 100"
