sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456515255311397,2026/06/03 03:15:15.277,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,6.0,average_instant,"2026/06/03 03:15:15.277, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 6"
1780456515389013873,2026/06/03 03:15:15.414,83.65,83.65,,83.65,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:15:15.414, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 35, P0, 6"
1780456515524725531,2026/06/03 03:15:15.545,85.2,85.2,,85.2,400.0,1410.0,1593.0,35.0,P0,6.0,average_instant,"2026/06/03 03:15:15.545, 85.20, [N/A], 85.20, 400.00, 1410, 1593, 35, P0, 6"
1780456515656376995,2026/06/03 03:15:15.677,177.0,177.0,,177.0,400.0,1410.0,1593.0,38.0,P0,6.0,average_instant,"2026/06/03 03:15:15.677, 177.00, [N/A], 177.00, 400.00, 1410, 1593, 38, P0, 6"
1780456515786432323,2026/06/03 03:15:15.806,184.07,184.07,,184.07,400.0,1410.0,1593.0,39.0,P0,77.0,average_instant,"2026/06/03 03:15:15.806, 184.07, [N/A], 184.07, 400.00, 1410, 1593, 39, P0, 77"
1780456515915668694,2026/06/03 03:15:15.935,172.7,172.7,,172.7,400.0,1410.0,1593.0,39.0,P0,77.0,average_instant,"2026/06/03 03:15:15.935, 172.70, [N/A], 172.70, 400.00, 1410, 1593, 39, P0, 77"
1780456516045141373,2026/06/03 03:15:16.065,185.62,185.62,,185.62,400.0,1410.0,1593.0,39.0,P0,77.0,average_instant,"2026/06/03 03:15:16.065, 185.62, [N/A], 185.62, 400.00, 1410, 1593, 39, P0, 77"
1780456516175089804,2026/06/03 03:15:16.194,160.39,160.39,,160.39,400.0,1410.0,1593.0,40.0,P0,77.0,average_instant,"2026/06/03 03:15:16.194, 160.39, [N/A], 160.39, 400.00, 1410, 1593, 40, P0, 77"
1780456516303577537,2026/06/03 03:15:16.323,182.52,182.52,,182.52,400.0,1410.0,1593.0,40.0,P0,100.0,average_instant,"2026/06/03 03:15:16.323, 182.52, [N/A], 182.52, 400.00, 1410, 1593, 40, P0, 100"
1780456516433327820,2026/06/03 03:15:16.452,185.62,185.62,,185.62,400.0,1410.0,1593.0,40.0,P0,100.0,average_instant,"2026/06/03 03:15:16.452, 185.62, [N/A], 185.62, 400.00, 1410, 1593, 40, P0, 100"
