sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456529633045846,2026/06/03 03:15:29.653,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:15:29.653, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780456529765119052,2026/06/03 03:15:29.791,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:15:29.791, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780456529900941658,2026/06/03 03:15:29.921,87.63,87.63,,87.63,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:15:29.921, 87.63, [N/A], 87.63, 400.00, 1410, 1593, 36, P0, 0"
1780456530031522374,2026/06/03 03:15:30.051,180.38,180.38,,180.38,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 03:15:30.051, 180.38, [N/A], 180.38, 400.00, 1410, 1593, 38, P0, 0"
1780456530160528326,2026/06/03 03:15:30.180,184.68,184.68,,184.68,400.0,1410.0,1593.0,39.0,P0,32.0,average_instant,"2026/06/03 03:15:30.180, 184.68, [N/A], 184.68, 400.00, 1410, 1593, 39, P0, 32"
1780456530290616364,2026/06/03 03:15:30.310,161.33,161.33,,161.33,400.0,1410.0,1593.0,40.0,P0,32.0,average_instant,"2026/06/03 03:15:30.310, 161.33, [N/A], 161.33, 400.00, 1410, 1593, 40, P0, 32"
1780456530420710610,2026/06/03 03:15:30.440,182.86,182.86,,182.86,400.0,1410.0,1593.0,40.0,P0,32.0,average_instant,"2026/06/03 03:15:30.440, 182.86, [N/A], 182.86, 400.00, 1410, 1593, 40, P0, 32"
1780456530549585626,2026/06/03 03:15:30.568,171.33,171.33,,171.33,400.0,1410.0,1593.0,40.0,P0,32.0,average_instant,"2026/06/03 03:15:30.568, 171.33, [N/A], 171.33, 400.00, 1410, 1593, 40, P0, 32"
1780456530677743361,2026/06/03 03:15:30.697,184.35,184.35,,184.35,400.0,1410.0,1593.0,40.0,P0,32.0,average_instant,"2026/06/03 03:15:30.697, 184.35, [N/A], 184.35, 400.00, 1410, 1593, 40, P0, 32"
1780456530806733829,2026/06/03 03:15:30.826,184.26,184.26,,184.26,400.0,1410.0,1593.0,40.0,P0,32.0,average_instant,"2026/06/03 03:15:30.826, 184.26, [N/A], 184.26, 400.00, 1410, 1593, 40, P0, 32"
