sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780456347462776082,2026/06/03 03:12:27.482,84.26,84.26,,84.26,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:12:27.482, 84.26, [N/A], 84.26, 400.00, 1410, 1593, 36, P0, 0"
1780456347595253608,2026/06/03 03:12:27.617,87.02,87.02,,87.02,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:12:27.617, 87.02, [N/A], 87.02, 400.00, 1410, 1593, 36, P0, 0"
1780456347735853082,2026/06/03 03:12:27.756,90.11,90.11,,90.11,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:12:27.756, 90.11, [N/A], 90.11, 400.00, 1410, 1593, 36, P0, 0"
1780456347867640145,2026/06/03 03:12:27.887,85.47,85.47,,85.47,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 03:12:27.887, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 38, P0, 0"
1780456347996485171,2026/06/03 03:12:28.016,182.86,182.86,,182.86,400.0,1410.0,1593.0,39.0,P0,38.0,average_instant,"2026/06/03 03:12:28.016, 182.86, [N/A], 182.86, 400.00, 1410, 1593, 39, P0, 38"
1780456348125387549,2026/06/03 03:12:28.145,184.07,184.07,,184.07,400.0,1410.0,1593.0,40.0,P0,38.0,average_instant,"2026/06/03 03:12:28.145, 184.07, [N/A], 184.07, 400.00, 1410, 1593, 40, P0, 38"
1780456348255290800,2026/06/03 03:12:28.274,176.07,176.07,,176.07,400.0,1410.0,1593.0,40.0,P0,38.0,average_instant,"2026/06/03 03:12:28.274, 176.07, [N/A], 176.07, 400.00, 1410, 1593, 40, P0, 38"
1780456348384023465,2026/06/03 03:12:28.403,175.8,175.8,,175.8,400.0,1410.0,1593.0,40.0,P0,38.0,average_instant,"2026/06/03 03:12:28.403, 175.80, [N/A], 175.80, 400.00, 1410, 1593, 40, P0, 38"
1780456348517230577,2026/06/03 03:12:28.538,180.98,180.98,,180.98,400.0,1410.0,1593.0,40.0,P0,38.0,average_instant,"2026/06/03 03:12:28.538, 180.98, [N/A], 180.98, 400.00, 1410, 1593, 40, P0, 38"
1780456348647721839,2026/06/03 03:12:28.666,186.22,186.22,,186.22,400.0,1410.0,1593.0,40.0,P0,38.0,average_instant,"2026/06/03 03:12:28.666, 186.22, [N/A], 186.22, 400.00, 1410, 1593, 40, P0, 38"
1780456348775980771,2026/06/03 03:12:28.798,88.29,88.29,,88.29,400.0,1410.0,1593.0,38.0,P0,38.0,average_instant,"2026/06/03 03:12:28.798, 88.29, [N/A], 88.29, 400.00, 1410, 1593, 38, P0, 38"
