sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959206620725380,2026/06/08 22:53:26.680,87.45,87.45,,87.45,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 22:53:26.680, 87.45, [N/A], 87.45, 400.00, 1410, 1593, 51, P0, 0"
1780959206796830606,2026/06/08 22:53:27.026,88.7,88.7,,88.7,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 22:53:27.026, 88.70, [N/A], 88.70, 400.00, 1410, 1593, 50, P0, 0"
1780959207141805706,2026/06/08 22:53:27.218,89.29,89.29,,89.29,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 22:53:27.218, 89.29, [N/A], 89.29, 400.00, 1410, 1593, 50, P0, 0"
1780959207331724940,2026/06/08 22:53:27.406,151.87,151.87,,151.87,400.0,1410.0,1593.0,53.0,P0,2.0,average_instant,"2026/06/08 22:53:27.406, 151.87, [N/A], 151.87, 400.00, 1410, 1593, 53, P0, 2"
1780959207519540369,2026/06/08 22:53:27.594,152.15,152.15,,152.15,400.0,1410.0,1593.0,53.0,P0,88.0,average_instant,"2026/06/08 22:53:27.594, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 53, P0, 88"
1780959207706311997,2026/06/08 22:53:27.742,154.41,154.41,,154.41,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 22:53:27.742, 154.41, [N/A], 154.41, 400.00, 1410, 1593, 54, P0, 100"
1780959207854287048,2026/06/08 22:53:27.891,151.7,151.7,,151.7,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 22:53:27.891, 151.70, [N/A], 151.70, 400.00, 1410, 1593, 54, P0, 100"
1780959208003349181,2026/06/08 22:53:28.083,152.3,152.3,,152.3,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 22:53:28.083, 152.30, [N/A], 152.30, 400.00, 1410, 1593, 54, P0, 100"
1780959208196051531,2026/06/08 22:53:28.237,130.9,130.9,,130.9,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:53:28.237, 130.90, [N/A], 130.90, 400.00, 1410, 1593, 53, P0, 100"
1780959208349554803,2026/06/08 22:53:28.386,150.35,150.35,,150.35,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:53:28.386, 150.35, [N/A], 150.35, 400.00, 1410, 1593, 53, P0, 100"
