sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780958860965526353,2026/06/08 22:47:41.051,87.45,87.45,,87.45,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 22:47:41.051, 87.45, [N/A], 87.45, 400.00, 1410, 1593, 50, P0, 0"
1780958861173444992,2026/06/08 22:47:41.352,90.81,90.81,,90.81,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 22:47:41.352, 90.81, [N/A], 90.81, 400.00, 1410, 1593, 50, P0, 0"
1780958861467041154,2026/06/08 22:47:41.533,92.0,92.0,,92.0,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 22:47:41.533, 92.00, [N/A], 92.00, 400.00, 1410, 1593, 50, P0, 0"
1780958861649726742,2026/06/08 22:47:41.738,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,78.0,average_instant,"2026/06/08 22:47:41.738, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 78"
1780958861854767485,2026/06/08 22:47:41.894,153.06,153.06,,153.06,400.0,1410.0,1593.0,53.0,P0,78.0,average_instant,"2026/06/08 22:47:41.894, 153.06, [N/A], 153.06, 400.00, 1410, 1593, 53, P0, 78"
1780958862008268735,2026/06/08 22:47:42.071,153.98,153.98,,153.98,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:42.071, 153.98, [N/A], 153.98, 400.00, 1410, 1593, 53, P0, 100"
1780958862183580828,2026/06/08 22:47:42.203,151.11,151.11,,151.11,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:42.203, 151.11, [N/A], 151.11, 400.00, 1410, 1593, 53, P0, 100"
1780958862317828039,2026/06/08 22:47:42.378,151.43,151.43,,151.43,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:42.378, 151.43, [N/A], 151.43, 400.00, 1410, 1593, 53, P0, 100"
1780958862491859550,2026/06/08 22:47:42.550,131.22,131.22,,131.22,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:47:42.550, 131.22, [N/A], 131.22, 400.00, 1410, 1593, 52, P0, 100"
1780958862663131685,2026/06/08 22:47:42.701,152.47,152.47,,152.47,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:42.701, 152.47, [N/A], 152.47, 400.00, 1410, 1593, 53, P0, 100"
1780958862816162683,2026/06/08 22:47:42.871,153.06,153.06,,153.06,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:42.871, 153.06, [N/A], 153.06, 400.00, 1410, 1593, 53, P0, 100"
1780958862985137814,2026/06/08 22:47:43.058,153.66,153.66,,153.66,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:43.058, 153.66, [N/A], 153.66, 400.00, 1410, 1593, 53, P0, 100"
1780958863174217865,2026/06/08 22:47:43.258,151.43,151.43,,151.43,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:47:43.258, 151.43, [N/A], 151.43, 400.00, 1410, 1593, 53, P0, 100"
