sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780958959981179251,2026/06/08 22:49:20.028,86.58,86.58,,86.58,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:49:20.028, 86.58, [N/A], 86.58, 400.00, 1410, 1593, 49, P0, 0"
1780958960140813900,2026/06/08 22:49:20.327,90.16,90.16,,90.16,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:49:20.327, 90.16, [N/A], 90.16, 400.00, 1410, 1593, 48, P0, 0"
1780958960472862484,2026/06/08 22:49:20.521,91.4,91.4,,91.4,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:49:20.521, 91.40, [N/A], 91.40, 400.00, 1410, 1593, 48, P0, 0"
1780958960635505959,2026/06/08 22:49:20.722,150.19,150.19,,150.19,400.0,1410.0,1593.0,50.0,P0,2.0,average_instant,"2026/06/08 22:49:20.722, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 50, P0, 2"
1780958960837850513,2026/06/08 22:49:20.877,151.87,151.87,,151.87,400.0,1410.0,1593.0,51.0,P0,90.0,average_instant,"2026/06/08 22:49:20.877, 151.87, [N/A], 151.87, 400.00, 1410, 1593, 51, P0, 90"
1780958960992017221,2026/06/08 22:49:21.028,152.63,152.63,,152.63,400.0,1410.0,1593.0,52.0,P0,90.0,average_instant,"2026/06/08 22:49:21.028, 152.63, [N/A], 152.63, 400.00, 1410, 1593, 52, P0, 90"
1780958961142404122,2026/06/08 22:49:21.199,151.28,151.28,,151.28,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:21.199, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 52, P0, 100"
1780958961314212885,2026/06/08 22:49:21.375,150.35,150.35,,150.35,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:21.375, 150.35, [N/A], 150.35, 400.00, 1410, 1593, 52, P0, 100"
1780958961493485534,2026/06/08 22:49:21.533,150.95,150.95,,150.95,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:21.533, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 52, P0, 100"
1780958961647094531,2026/06/08 22:49:21.702,146.46,146.46,,146.46,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:49:21.702, 146.46, [N/A], 146.46, 400.00, 1410, 1593, 51, P0, 100"
1780958961817157751,2026/06/08 22:49:21.857,151.87,151.87,,151.87,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:21.857, 151.87, [N/A], 151.87, 400.00, 1410, 1593, 52, P0, 100"
1780958961973750254,2026/06/08 22:49:22.051,152.95,152.95,,152.95,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:22.051, 152.95, [N/A], 152.95, 400.00, 1410, 1593, 52, P0, 100"
1780958962165600617,2026/06/08 22:49:22.226,153.38,153.38,,153.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:22.226, 153.38, [N/A], 153.38, 400.00, 1410, 1593, 52, P0, 100"
1780958962341141928,2026/06/08 22:49:22.380,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:22.380, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780958962495826057,2026/06/08 22:49:22.536,150.95,150.95,,150.95,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:22.536, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 52, P0, 100"
1780958962650031285,2026/06/08 22:49:22.730,119.73,119.73,,119.73,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:49:22.730, 119.73, [N/A], 119.73, 400.00, 1410, 1593, 51, P0, 100"
1780958962843685703,2026/06/08 22:49:22.898,152.47,152.47,,152.47,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:22.898, 152.47, [N/A], 152.47, 400.00, 1410, 1593, 52, P0, 100"
1780958963013083031,2026/06/08 22:49:23.048,152.47,152.47,,152.47,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 22:49:23.048, 152.47, [N/A], 152.47, 400.00, 1410, 1593, 52, P0, 99"
1780958963161915868,2026/06/08 22:49:23.246,153.06,153.06,,153.06,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:23.246, 153.06, [N/A], 153.06, 400.00, 1410, 1593, 52, P0, 100"
1780958963366334497,2026/06/08 22:49:23.442,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:23.442, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780958963556074456,2026/06/08 22:49:23.592,137.69,137.69,,137.69,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:23.592, 137.69, [N/A], 137.69, 400.00, 1410, 1593, 52, P0, 100"
1780958963706573437,2026/06/08 22:49:23.745,129.25,129.25,,129.25,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:49:23.745, 129.25, [N/A], 129.25, 400.00, 1410, 1593, 51, P0, 100"
1780958963858450200,2026/06/08 22:49:23.877,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:23.877, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
1780958963989006771,2026/06/08 22:49:24.029,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:24.029, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
1780958964143288250,2026/06/08 22:49:24.202,153.38,153.38,,153.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:24.202, 153.38, [N/A], 153.38, 400.00, 1410, 1593, 52, P0, 100"
1780958964315204723,2026/06/08 22:49:24.390,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:24.390, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780958964504309621,2026/06/08 22:49:24.562,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:49:24.562, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780958964676335895,2026/06/08 22:49:24.695,129.71,129.71,,129.71,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:49:24.695, 129.71, [N/A], 129.71, 400.00, 1410, 1593, 51, P0, 100"
