sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959255127024344,2026/06/08 22:54:15.207,86.26,86.26,,86.26,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:54:15.207, 86.26, [N/A], 86.26, 400.00, 1410, 1593, 49, P0, 0"
1780959255321897737,2026/06/08 22:54:15.505,89.88,89.88,,89.88,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:54:15.505, 89.88, [N/A], 89.88, 400.00, 1410, 1593, 49, P0, 0"
1780959255621902576,2026/06/08 22:54:15.683,91.68,91.68,,91.68,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:54:15.683, 91.68, [N/A], 91.68, 400.00, 1410, 1593, 49, P0, 0"
1780959255800653967,2026/06/08 22:54:15.882,151.55,151.55,,151.55,400.0,1410.0,1593.0,51.0,P0,58.0,average_instant,"2026/06/08 22:54:15.882, 151.55, [N/A], 151.55, 400.00, 1410, 1593, 51, P0, 58"
1780959255999470648,2026/06/08 22:54:16.058,152.79,152.79,,152.79,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:16.058, 152.79, [N/A], 152.79, 400.00, 1410, 1593, 52, P0, 100"
1780959256173726370,2026/06/08 22:54:16.254,153.66,153.66,,153.66,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:16.254, 153.66, [N/A], 153.66, 400.00, 1410, 1593, 52, P0, 100"
1780959256369759435,2026/06/08 22:54:16.406,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:16.406, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780959256522056674,2026/06/08 22:54:16.607,151.11,151.11,,151.11,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:16.607, 151.11, [N/A], 151.11, 400.00, 1410, 1593, 52, P0, 100"
1780959256721882797,2026/06/08 22:54:16.782,121.26,121.26,,121.26,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:16.782, 121.26, [N/A], 121.26, 400.00, 1410, 1593, 52, P0, 100"
1780959256896264339,2026/06/08 22:54:16.937,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:16.937, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
1780959257052390546,2026/06/08 22:54:17.106,152.79,152.79,,152.79,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:17.106, 152.79, [N/A], 152.79, 400.00, 1410, 1593, 52, P0, 100"
1780959257221271977,2026/06/08 22:54:17.257,153.38,153.38,,153.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:17.257, 153.38, [N/A], 153.38, 400.00, 1410, 1593, 52, P0, 100"
1780959257372869736,2026/06/08 22:54:17.392,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:17.392, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780959257507517479,2026/06/08 22:54:17.545,151.11,151.11,,151.11,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:17.545, 151.11, [N/A], 151.11, 400.00, 1410, 1593, 52, P0, 100"
1780959257660472060,2026/06/08 22:54:17.723,132.42,132.42,,132.42,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:17.723, 132.42, [N/A], 132.42, 400.00, 1410, 1593, 52, P0, 100"
1780959257837551418,2026/06/08 22:54:17.876,151.55,151.55,,151.55,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:17.876, 151.55, [N/A], 151.55, 400.00, 1410, 1593, 52, P0, 100"
1780959257990915019,2026/06/08 22:54:18.050,152.63,152.63,,152.63,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 22:54:18.050, 152.63, [N/A], 152.63, 400.00, 1410, 1593, 52, P0, 99"
1780959258165862403,2026/06/08 22:54:18.231,152.79,152.79,,152.79,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:18.231, 152.79, [N/A], 152.79, 400.00, 1410, 1593, 52, P0, 100"
1780959258347032859,2026/06/08 22:54:18.405,151.7,151.7,,151.7,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:54:18.405, 151.70, [N/A], 151.70, 400.00, 1410, 1593, 52, P0, 100"
