sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780956389340256798,2026/06/08 22:06:29.408,86.58,86.58,,86.58,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 22:06:29.408, 86.58, [N/A], 86.58, 400.00, 1410, 1593, 50, P0, 0"
1780956389522963090,2026/06/08 22:06:29.672,89.29,89.29,,89.29,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:06:29.672, 89.29, [N/A], 89.29, 400.00, 1410, 1593, 49, P0, 0"
1780956389788465161,2026/06/08 22:06:29.847,91.07,91.07,,91.07,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:06:29.847, 91.07, [N/A], 91.07, 400.00, 1410, 1593, 49, P0, 0"
1780956389960102473,2026/06/08 22:06:30.034,150.19,150.19,,150.19,400.0,1410.0,1593.0,52.0,P0,40.0,average_instant,"2026/06/08 22:06:30.034, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 52, P0, 40"
1780956390147125733,2026/06/08 22:06:30.186,153.54,153.54,,153.54,400.0,1410.0,1593.0,52.0,P0,40.0,average_instant,"2026/06/08 22:06:30.186, 153.54, [N/A], 153.54, 400.00, 1410, 1593, 52, P0, 40"
1780956390298110186,2026/06/08 22:06:30.354,140.54,140.54,,140.54,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:30.354, 140.54, [N/A], 140.54, 400.00, 1410, 1593, 53, P0, 100"
1780956390467774554,2026/06/08 22:06:30.522,138.76,138.76,,138.76,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:30.522, 138.76, [N/A], 138.76, 400.00, 1410, 1593, 52, P0, 100"
1780956390634430967,2026/06/08 22:06:30.673,152.03,152.03,,152.03,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:30.673, 152.03, [N/A], 152.03, 400.00, 1410, 1593, 53, P0, 100"
1780956390786331333,2026/06/08 22:06:30.842,151.7,151.7,,151.7,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:30.842, 151.70, [N/A], 151.70, 400.00, 1410, 1593, 53, P0, 100"
1780956390956131371,2026/06/08 22:06:31.033,130.77,130.77,,130.77,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:31.033, 130.77, [N/A], 130.77, 400.00, 1410, 1593, 52, P0, 100"
1780956391143644131,2026/06/08 22:06:31.218,151.86,151.86,,151.86,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:31.218, 151.86, [N/A], 151.86, 400.00, 1410, 1593, 53, P0, 100"
1780956391329338938,2026/06/08 22:06:31.395,150.99,150.99,,150.99,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:31.395, 150.99, [N/A], 150.99, 400.00, 1410, 1593, 53, P0, 100"
1780956391506573640,2026/06/08 22:06:31.547,151.27,151.27,,151.27,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:31.547, 151.27, [N/A], 151.27, 400.00, 1410, 1593, 52, P0, 100"
1780956391662144272,2026/06/08 22:06:31.701,151.59,151.59,,151.59,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:31.701, 151.59, [N/A], 151.59, 400.00, 1410, 1593, 53, P0, 100"
1780956391813608417,2026/06/08 22:06:31.851,151.86,151.86,,151.86,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:31.851, 151.86, [N/A], 151.86, 400.00, 1410, 1593, 53, P0, 100"
1780956391965213082,2026/06/08 22:06:32.031,150.99,150.99,,150.99,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:32.031, 150.99, [N/A], 150.99, 400.00, 1410, 1593, 53, P0, 100"
1780956392143523085,2026/06/08 22:06:32.219,147.96,147.96,,147.96,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:32.219, 147.96, [N/A], 147.96, 400.00, 1410, 1593, 53, P0, 100"
1780956392332357308,2026/06/08 22:06:32.391,152.18,152.18,,152.18,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:32.391, 152.18, [N/A], 152.18, 400.00, 1410, 1593, 53, P0, 100"
1780956392504751861,2026/06/08 22:06:32.548,150.99,150.99,,150.99,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:32.548, 150.99, [N/A], 150.99, 400.00, 1410, 1593, 53, P0, 100"
1780956392659794623,2026/06/08 22:06:32.723,130.44,130.44,,130.44,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:32.723, 130.44, [N/A], 130.44, 400.00, 1410, 1593, 52, P0, 100"
1780956392838181306,2026/06/08 22:06:32.878,151.86,151.86,,151.86,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:32.878, 151.86, [N/A], 151.86, 400.00, 1410, 1593, 53, P0, 100"
1780956392991250534,2026/06/08 22:06:33.030,153.7,153.7,,153.7,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:33.030, 153.70, [N/A], 153.70, 400.00, 1410, 1593, 53, P0, 100"
1780956393142642679,2026/06/08 22:06:33.183,144.65,144.65,,144.65,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:33.183, 144.65, [N/A], 144.65, 400.00, 1410, 1593, 53, P0, 100"
1780956393295631217,2026/06/08 22:06:33.374,151.86,151.86,,151.86,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:33.374, 151.86, [N/A], 151.86, 400.00, 1410, 1593, 52, P0, 100"
1780956393488871368,2026/06/08 22:06:33.567,152.18,152.18,,152.18,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:33.567, 152.18, [N/A], 152.18, 400.00, 1410, 1593, 53, P0, 100"
1780956393681679057,2026/06/08 22:06:33.769,131.04,131.04,,131.04,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:33.769, 131.04, [N/A], 131.04, 400.00, 1410, 1593, 52, P0, 100"
1780956393884811816,2026/06/08 22:06:33.939,150.34,150.34,,150.34,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:33.939, 150.34, [N/A], 150.34, 400.00, 1410, 1593, 52, P0, 100"
1780956394053853763,2026/06/08 22:06:34.115,151.86,151.86,,151.86,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:34.115, 151.86, [N/A], 151.86, 400.00, 1410, 1593, 53, P0, 100"
1780956394228677630,2026/06/08 22:06:34.283,151.14,151.14,,151.14,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:34.283, 151.14, [N/A], 151.14, 400.00, 1410, 1593, 53, P0, 100"
1780956394395384193,2026/06/08 22:06:34.474,151.46,151.46,,151.46,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:34.474, 151.46, [N/A], 151.46, 400.00, 1410, 1593, 52, P0, 100"
1780956394589962796,2026/06/08 22:06:34.646,151.74,151.74,,151.74,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:34.646, 151.74, [N/A], 151.74, 400.00, 1410, 1593, 53, P0, 100"
1780956394759387383,2026/06/08 22:06:34.814,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:34.814, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
1780956394926673207,2026/06/08 22:06:34.965,133.43,133.43,,133.43,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:34.965, 133.43, [N/A], 133.43, 400.00, 1410, 1593, 52, P0, 100"
1780956395078723193,2026/06/08 22:06:35.154,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:35.154, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 100"
1780956395267679406,2026/06/08 22:06:35.306,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:06:35.306, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
1780956395419769782,2026/06/08 22:06:35.474,150.97,150.97,,150.97,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:35.474, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 52, P0, 100"
1780956395588307978,2026/06/08 22:06:35.625,150.97,150.97,,150.97,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:35.625, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 52, P0, 100"
1780956395739256492,2026/06/08 22:06:35.777,153.42,153.42,,153.42,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:35.777, 153.42, [N/A], 153.42, 400.00, 1410, 1593, 52, P0, 100"
1780956395893796862,2026/06/08 22:06:35.933,150.97,150.97,,150.97,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:35.933, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 52, P0, 100"
1780956396046486029,2026/06/08 22:06:36.103,129.45,129.45,,129.45,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:36.103, 129.45, [N/A], 129.45, 400.00, 1410, 1593, 52, P0, 100"
1780956396216555518,2026/06/08 22:06:36.271,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:36.271, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 100"
1780956396384589943,2026/06/08 22:06:36.443,152.22,152.22,,152.22,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:36.443, 152.22, [N/A], 152.22, 400.00, 1410, 1593, 52, P0, 100"
1780956396557043356,2026/06/08 22:06:36.594,131.31,131.31,,131.31,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:36.594, 131.31, [N/A], 131.31, 400.00, 1410, 1593, 52, P0, 100"
1780956396706455597,2026/06/08 22:06:36.806,88.0,88.0,,88.0,400.0,1410.0,1593.0,50.0,P0,100.0,average_instant,"2026/06/08 22:06:36.806, 88.00, [N/A], 88.00, 400.00, 1410, 1593, 50, P0, 100"
