sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780956472593857817,2026/06/08 22:07:52.637,86.58,86.58,,86.58,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:07:52.637, 86.58, [N/A], 86.58, 400.00, 1410, 1593, 49, P0, 0"
1780956472754526529,2026/06/08 22:07:52.901,91.07,91.07,,91.07,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:07:52.901, 91.07, [N/A], 91.07, 400.00, 1410, 1593, 49, P0, 0"
1780956473048722582,2026/06/08 22:07:53.103,91.4,91.4,,91.4,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 22:07:53.103, 91.40, [N/A], 91.40, 400.00, 1410, 1593, 49, P0, 0"
1780956473220482464,2026/06/08 22:07:53.295,150.95,150.95,,150.95,400.0,1410.0,1593.0,51.0,P0,5.0,average_instant,"2026/06/08 22:07:53.295, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 51, P0, 5"
1780956473410099588,2026/06/08 22:07:53.449,151.7,151.7,,151.7,400.0,1410.0,1593.0,52.0,P0,5.0,average_instant,"2026/06/08 22:07:53.449, 151.70, [N/A], 151.70, 400.00, 1410, 1593, 52, P0, 5"
1780956473562001784,2026/06/08 22:07:53.626,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:53.626, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780956473750067875,2026/06/08 22:07:53.790,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:53.790, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780956473905511857,2026/06/08 22:07:53.982,151.55,151.55,,151.55,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:53.982, 151.55, [N/A], 151.55, 400.00, 1410, 1593, 53, P0, 100"
1780956474095483332,2026/06/08 22:07:54.150,150.95,150.95,,150.95,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:54.150, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 53, P0, 100"
1780956474262470055,2026/06/08 22:07:54.301,117.36,117.36,,117.36,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:54.301, 117.36, [N/A], 117.36, 400.00, 1410, 1593, 52, P0, 100"
1780956474415309092,2026/06/08 22:07:54.436,151.43,151.43,,151.43,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:54.436, 151.43, [N/A], 151.43, 400.00, 1410, 1593, 52, P0, 100"
1780956474550466607,2026/06/08 22:07:54.607,153.98,153.98,,153.98,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:54.607, 153.98, [N/A], 153.98, 400.00, 1410, 1593, 53, P0, 100"
1780956474720954116,2026/06/08 22:07:54.740,150.95,150.95,,150.95,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:54.740, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 53, P0, 100"
1780956474854553559,2026/06/08 22:07:54.890,148.84,148.84,,148.84,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:54.890, 148.84, [N/A], 148.84, 400.00, 1410, 1593, 52, P0, 100"
1780956475003732780,2026/06/08 22:07:55.062,151.55,151.55,,151.55,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:55.062, 151.55, [N/A], 151.55, 400.00, 1410, 1593, 53, P0, 100"
1780956475179248728,2026/06/08 22:07:55.235,150.95,150.95,,150.95,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:55.235, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 53, P0, 100"
1780956475350903550,2026/06/08 22:07:55.406,130.3,130.3,,130.3,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:55.406, 130.30, [N/A], 130.30, 400.00, 1410, 1593, 52, P0, 100"
1780956475523234112,2026/06/08 22:07:55.543,151.11,151.11,,151.11,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:55.543, 151.11, [N/A], 151.11, 400.00, 1410, 1593, 52, P0, 100"
1780956475658746538,2026/06/08 22:07:55.715,153.66,153.66,,153.66,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:55.715, 153.66, [N/A], 153.66, 400.00, 1410, 1593, 53, P0, 100"
1780956475830871880,2026/06/08 22:07:55.894,139.21,139.21,,139.21,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:55.894, 139.21, [N/A], 139.21, 400.00, 1410, 1593, 53, P0, 100"
1780956476009950415,2026/06/08 22:07:56.087,140.99,140.99,,140.99,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:56.087, 140.99, [N/A], 140.99, 400.00, 1410, 1593, 52, P0, 100"
1780956476201843693,2026/06/08 22:07:56.286,152.15,152.15,,152.15,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 22:07:56.286, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 53, P0, 100"
1780956476404495151,2026/06/08 22:07:56.488,150.95,150.95,,150.95,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:56.488, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 52, P0, 100"
1780956476601995180,2026/06/08 22:07:56.645,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:56.645, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780956476758630614,2026/06/08 22:07:56.822,152.03,152.03,,152.03,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:56.822, 152.03, [N/A], 152.03, 400.00, 1410, 1593, 52, P0, 100"
1780956476937983049,2026/06/08 22:07:56.976,151.11,151.11,,151.11,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:56.976, 151.11, [N/A], 151.11, 400.00, 1410, 1593, 52, P0, 100"
1780956477090838116,2026/06/08 22:07:57.112,120.33,120.33,,120.33,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:57.112, 120.33, [N/A], 120.33, 400.00, 1410, 1593, 52, P0, 100"
1780956477224503069,2026/06/08 22:07:57.243,151.28,151.28,,151.28,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:57.243, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 52, P0, 100"
1780956477355479107,2026/06/08 22:07:57.414,153.82,153.82,,153.82,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:57.414, 153.82, [N/A], 153.82, 400.00, 1410, 1593, 52, P0, 100"
1780956477527273848,2026/06/08 22:07:57.546,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:57.546, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780956477661472322,2026/06/08 22:07:57.722,148.73,148.73,,148.73,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:57.722, 148.73, [N/A], 148.73, 400.00, 1410, 1593, 52, P0, 100"
1780956477835528027,2026/06/08 22:07:57.876,151.43,151.43,,151.43,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:57.876, 151.43, [N/A], 151.43, 400.00, 1410, 1593, 52, P0, 100"
1780956477992819123,2026/06/08 22:07:58.056,150.83,150.83,,150.83,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:58.056, 150.83, [N/A], 150.83, 400.00, 1410, 1593, 52, P0, 100"
1780956478172524029,2026/06/08 22:07:58.246,129.98,129.98,,129.98,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:58.246, 129.98, [N/A], 129.98, 400.00, 1410, 1593, 52, P0, 100"
1780956478359931399,2026/06/08 22:07:58.415,151.55,151.55,,151.55,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:58.415, 151.55, [N/A], 151.55, 400.00, 1410, 1593, 52, P0, 100"
1780956478529018066,2026/06/08 22:07:58.603,153.66,153.66,,153.66,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:58.603, 153.66, [N/A], 153.66, 400.00, 1410, 1593, 52, P0, 100"
1780956478719806652,2026/06/08 22:07:58.757,138.28,138.28,,138.28,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:58.757, 138.28, [N/A], 138.28, 400.00, 1410, 1593, 52, P0, 100"
1780956478871136617,2026/06/08 22:07:58.908,151.7,151.7,,151.7,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:58.908, 151.70, [N/A], 151.70, 400.00, 1410, 1593, 52, P0, 100"
1780956479022357041,2026/06/08 22:07:59.078,151.87,151.87,,151.87,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:59.078, 151.87, [N/A], 151.87, 400.00, 1410, 1593, 52, P0, 100"
1780956479202239507,2026/06/08 22:07:59.264,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:59.264, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780956479378101587,2026/06/08 22:07:59.454,150.35,150.35,,150.35,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:07:59.454, 150.35, [N/A], 150.35, 400.00, 1410, 1593, 52, P0, 100"
