sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780956416733390223,2026/06/08 22:06:56.810,86.76,86.76,,86.76,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:06:56.810, 86.76, [N/A], 86.76, 400.00, 1410, 1593, 48, P0, 0"
1780956416924784170,2026/06/08 22:06:57.070,90.99,90.99,,90.99,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:06:57.070, 90.99, [N/A], 90.99, 400.00, 1410, 1593, 48, P0, 0"
1780956417190081421,2026/06/08 22:06:57.249,90.99,90.99,,90.99,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:06:57.249, 90.99, [N/A], 90.99, 400.00, 1410, 1593, 48, P0, 0"
1780956417365309390,2026/06/08 22:06:57.423,151.27,151.27,,151.27,400.0,1410.0,1593.0,50.0,P0,9.0,average_instant,"2026/06/08 22:06:57.423, 151.27, [N/A], 151.27, 400.00, 1410, 1593, 50, P0, 9"
1780956417538534224,2026/06/08 22:06:57.594,150.07,150.07,,150.07,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:06:57.594, 150.07, [N/A], 150.07, 400.00, 1410, 1593, 51, P0, 100"
1780956417708019402,2026/06/08 22:06:57.786,150.07,150.07,,150.07,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:06:57.786, 150.07, [N/A], 150.07, 400.00, 1410, 1593, 51, P0, 100"
1780956417900451621,2026/06/08 22:06:57.945,151.27,151.27,,151.27,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:06:57.945, 151.27, [N/A], 151.27, 400.00, 1410, 1593, 51, P0, 100"
1780956418060990012,2026/06/08 22:06:58.119,152.46,152.46,,152.46,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:58.119, 152.46, [N/A], 152.46, 400.00, 1410, 1593, 52, P0, 100"
1780956418233726405,2026/06/08 22:06:58.272,150.34,150.34,,150.34,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:58.272, 150.34, [N/A], 150.34, 400.00, 1410, 1593, 52, P0, 100"
1780956418388008726,2026/06/08 22:06:58.463,131.95,131.95,,131.95,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:58.463, 131.95, [N/A], 131.95, 400.00, 1410, 1593, 52, P0, 100"
1780956418579084872,2026/06/08 22:06:58.617,152.46,152.46,,152.46,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:58.617, 152.46, [N/A], 152.46, 400.00, 1410, 1593, 52, P0, 100"
1780956418731987300,2026/06/08 22:06:58.807,150.34,150.34,,150.34,400.0,1410.0,1593.0,52.0,P0,98.0,average_instant,"2026/06/08 22:06:58.807, 150.34, [N/A], 150.34, 400.00, 1410, 1593, 52, P0, 98"
1780956418923035656,2026/06/08 22:06:58.982,130.11,130.11,,130.11,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:06:58.982, 130.11, [N/A], 130.11, 400.00, 1410, 1593, 51, P0, 100"
1780956419096836852,2026/06/08 22:06:59.175,152.18,152.18,,152.18,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:59.175, 152.18, [N/A], 152.18, 400.00, 1410, 1593, 52, P0, 100"
1780956419293186658,2026/06/08 22:06:59.337,150.34,150.34,,150.34,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:06:59.337, 150.34, [N/A], 150.34, 400.00, 1410, 1593, 52, P0, 100"
