sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780956500017671893,2026/06/08 22:08:20.057,85.66,85.66,,85.66,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:08:20.057, 85.66, [N/A], 85.66, 400.00, 1410, 1593, 48, P0, 0"
1780956500173650727,2026/06/08 22:08:20.319,87.45,87.45,,87.45,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:08:20.319, 87.45, [N/A], 87.45, 400.00, 1410, 1593, 48, P0, 0"
1780956500462883871,2026/06/08 22:08:20.520,87.77,87.77,,87.77,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 22:08:20.520, 87.77, [N/A], 87.77, 400.00, 1410, 1593, 48, P0, 0"
1780956500637951919,2026/06/08 22:08:20.714,150.35,150.35,,150.35,400.0,1410.0,1593.0,50.0,P0,1.0,average_instant,"2026/06/08 22:08:20.714, 150.35, [N/A], 150.35, 400.00, 1410, 1593, 50, P0, 1"
1780956500826813862,2026/06/08 22:08:20.866,152.3,152.3,,152.3,400.0,1410.0,1593.0,51.0,P0,81.0,average_instant,"2026/06/08 22:08:20.866, 152.30, [N/A], 152.30, 400.00, 1410, 1593, 51, P0, 81"
1780956500979087978,2026/06/08 22:08:21.054,139.03,139.03,,139.03,400.0,1410.0,1593.0,51.0,P0,81.0,average_instant,"2026/06/08 22:08:21.054, 139.03, [N/A], 139.03, 400.00, 1410, 1593, 51, P0, 81"
1780956501168717552,2026/06/08 22:08:21.243,151.55,151.55,,151.55,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:21.243, 151.55, [N/A], 151.55, 400.00, 1410, 1593, 51, P0, 100"
1780956501360144399,2026/06/08 22:08:21.415,152.47,152.47,,152.47,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:21.415, 152.47, [N/A], 152.47, 400.00, 1410, 1593, 52, P0, 100"
1780956501528288554,2026/06/08 22:08:21.587,150.19,150.19,,150.19,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:21.587, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 52, P0, 100"
1780956501701007208,2026/06/08 22:08:21.736,151.28,151.28,,151.28,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:21.736, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 51, P0, 100"
1780956501847699474,2026/06/08 22:08:21.907,152.3,152.3,,152.3,400.0,1410.0,1593.0,52.0,P0,98.0,average_instant,"2026/06/08 22:08:21.907, 152.30, [N/A], 152.30, 400.00, 1410, 1593, 52, P0, 98"
1780956502021667479,2026/06/08 22:08:22.062,150.19,150.19,,150.19,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:22.062, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 52, P0, 100"
1780956502174374817,2026/06/08 22:08:22.252,140.99,140.99,,140.99,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:22.252, 140.99, [N/A], 140.99, 400.00, 1410, 1593, 51, P0, 100"
1780956502365203553,2026/06/08 22:08:22.446,152.63,152.63,,152.63,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:22.446, 152.63, [N/A], 152.63, 400.00, 1410, 1593, 52, P0, 100"
1780956502559832755,2026/06/08 22:08:22.634,150.19,150.19,,150.19,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:22.634, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 52, P0, 100"
1780956502745927863,2026/06/08 22:08:22.803,129.71,129.71,,129.71,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:22.803, 129.71, [N/A], 129.71, 400.00, 1410, 1593, 51, P0, 100"
1780956502915541161,2026/06/08 22:08:22.975,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:22.975, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
1780956503087640703,2026/06/08 22:08:23.143,150.19,150.19,,150.19,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:23.143, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 52, P0, 100"
1780956503254686876,2026/06/08 22:08:23.294,150.19,150.19,,150.19,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:23.294, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 51, P0, 100"
1780956503406161391,2026/06/08 22:08:23.445,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:23.445, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
1780956503556885674,2026/06/08 22:08:23.593,152.63,152.63,,152.63,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:23.593, 152.63, [N/A], 152.63, 400.00, 1410, 1593, 52, P0, 100"
1780956503705643105,2026/06/08 22:08:23.782,150.03,150.03,,150.03,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:23.782, 150.03, [N/A], 150.03, 400.00, 1410, 1593, 52, P0, 100"
1780956503895140538,2026/06/08 22:08:23.954,150.95,150.95,,150.95,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:23.954, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 51, P0, 100"
1780956504066602169,2026/06/08 22:08:24.105,151.87,151.87,,151.87,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:24.105, 151.87, [N/A], 151.87, 400.00, 1410, 1593, 52, P0, 100"
1780956504217107822,2026/06/08 22:08:24.256,150.03,150.03,,150.03,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:24.256, 150.03, [N/A], 150.03, 400.00, 1410, 1593, 52, P0, 100"
1780956504366826814,2026/06/08 22:08:24.443,128.19,128.19,,128.19,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:24.443, 128.19, [N/A], 128.19, 400.00, 1410, 1593, 51, P0, 100"
1780956504555502706,2026/06/08 22:08:24.610,151.87,151.87,,151.87,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:24.610, 151.87, [N/A], 151.87, 400.00, 1410, 1593, 52, P0, 100"
1780956504723253871,2026/06/08 22:08:24.799,150.95,150.95,,150.95,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:24.799, 150.95, [N/A], 150.95, 400.00, 1410, 1593, 52, P0, 100"
1780956504912610844,2026/06/08 22:08:24.934,150.19,150.19,,150.19,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:24.934, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 51, P0, 100"
1780956505045905456,2026/06/08 22:08:25.102,150.83,150.83,,150.83,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:25.102, 150.83, [N/A], 150.83, 400.00, 1410, 1593, 52, P0, 100"
1780956505216724126,2026/06/08 22:08:25.274,152.3,152.3,,152.3,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:25.274, 152.30, [N/A], 152.30, 400.00, 1410, 1593, 52, P0, 100"
1780956505386798064,2026/06/08 22:08:25.442,150.35,150.35,,150.35,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:25.442, 150.35, [N/A], 150.35, 400.00, 1410, 1593, 52, P0, 100"
1780956505555542181,2026/06/08 22:08:25.618,117.36,117.36,,117.36,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:25.618, 117.36, [N/A], 117.36, 400.00, 1410, 1593, 51, P0, 100"
1780956505731019449,2026/06/08 22:08:25.787,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:25.787, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
1780956505902653830,2026/06/08 22:08:25.958,150.19,150.19,,150.19,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:25.958, 150.19, [N/A], 150.19, 400.00, 1410, 1593, 52, P0, 100"
1780956506070630225,2026/06/08 22:08:26.127,131.22,131.22,,131.22,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 22:08:26.127, 131.22, [N/A], 131.22, 400.00, 1410, 1593, 51, P0, 100"
1780956506238308420,2026/06/08 22:08:26.259,152.03,152.03,,152.03,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:26.259, 152.03, [N/A], 152.03, 400.00, 1410, 1593, 52, P0, 100"
1780956506372168282,2026/06/08 22:08:26.434,152.15,152.15,,152.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 22:08:26.434, 152.15, [N/A], 152.15, 400.00, 1410, 1593, 52, P0, 100"
