sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780961070879990236,2026/06/08 23:24:30.901,87.39,87.39,,87.39,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 23:24:30.901, 87.39, [N/A], 87.39, 400.00, 1410, 1593, 51, P0, 0"
1780961071018125374,2026/06/08 23:24:31.096,91.05,91.05,,91.05,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 23:24:31.096, 91.05, [N/A], 91.05, 400.00, 1410, 1593, 51, P0, 0"
1780961071368539289,2026/06/08 23:24:31.405,91.37,91.37,,91.37,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:24:31.405, 91.37, [N/A], 91.37, 400.00, 1410, 1593, 50, P0, 0"
1780961071522530578,2026/06/08 23:24:31.590,151.12,151.12,,151.12,400.0,1410.0,1593.0,53.0,P0,0.0,average_instant,"2026/06/08 23:24:31.590, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 53, P0, 0"
1780961071706727778,2026/06/08 23:24:31.745,152.65,152.65,,152.65,400.0,1410.0,1593.0,53.0,P0,91.0,average_instant,"2026/06/08 23:24:31.745, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 53, P0, 91"
1780961071859977297,2026/06/08 23:24:31.914,152.98,152.98,,152.98,400.0,1410.0,1593.0,54.0,P0,91.0,average_instant,"2026/06/08 23:24:31.914, 152.98, [N/A], 152.98, 400.00, 1410, 1593, 54, P0, 91"
1780961072028741596,2026/06/08 23:24:32.069,152.65,152.65,,152.65,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:24:32.069, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 54, P0, 100"
1780961072183675878,2026/06/08 23:24:32.258,152.38,152.38,,152.38,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:24:32.258, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 54, P0, 100"
1780961072373087169,2026/06/08 23:24:32.393,144.8,144.8,,144.8,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:24:32.393, 144.80, [N/A], 144.80, 400.00, 1410, 1593, 53, P0, 100"
1780961072508767552,2026/06/08 23:24:32.545,147.52,147.52,,147.52,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:24:32.545, 147.52, [N/A], 147.52, 400.00, 1410, 1593, 53, P0, 100"
1780961072666750209,2026/06/08 23:24:32.709,152.38,152.38,,152.38,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:24:32.709, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 54, P0, 100"
1780961072824162806,2026/06/08 23:24:32.899,153.1,153.1,,153.1,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:24:32.899, 153.10, [N/A], 153.10, 400.00, 1410, 1593, 54, P0, 100"
1780961073016072622,2026/06/08 23:24:33.071,155.54,155.54,,155.54,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:24:33.071, 155.54, [N/A], 155.54, 400.00, 1410, 1593, 54, P0, 100"
1780961073188562629,2026/06/08 23:24:33.242,152.38,152.38,,152.38,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:24:33.242, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 54, P0, 100"
