sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780961119390242566,2026/06/08 23:25:19.466,86.47,86.47,,86.47,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:25:19.466, 86.47, [N/A], 86.47, 400.00, 1410, 1593, 49, P0, 0"
1780961119580662438,2026/06/08 23:25:19.706,91.05,91.05,,91.05,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:25:19.706, 91.05, [N/A], 91.05, 400.00, 1410, 1593, 49, P0, 0"
1780961119822995704,2026/06/08 23:25:19.861,88.59,88.59,,88.59,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:25:19.861, 88.59, [N/A], 88.59, 400.00, 1410, 1593, 49, P0, 0"
1780961119978991298,2026/06/08 23:25:20.019,149.5,149.5,,149.5,400.0,1410.0,1593.0,51.0,P0,3.0,average_instant,"2026/06/08 23:25:20.019, 149.50, [N/A], 149.50, 400.00, 1410, 1593, 51, P0, 3"
1780961120133368998,2026/06/08 23:25:20.213,152.49,152.49,,152.49,400.0,1410.0,1593.0,52.0,P0,3.0,average_instant,"2026/06/08 23:25:20.213, 152.49, [N/A], 152.49, 400.00, 1410, 1593, 52, P0, 3"
1780961120327162817,2026/06/08 23:25:20.402,153.58,153.58,,153.58,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:25:20.402, 153.58, [N/A], 153.58, 400.00, 1410, 1593, 52, P0, 100"
1780961120516097986,2026/06/08 23:25:20.553,153.42,153.42,,153.42,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:25:20.553, 153.42, [N/A], 153.42, 400.00, 1410, 1593, 52, P0, 100"
1780961120667357770,2026/06/08 23:25:20.705,150.97,150.97,,150.97,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:25:20.705, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 52, P0, 100"
1780961120819009514,2026/06/08 23:25:20.883,130.19,130.19,,130.19,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:25:20.883, 130.19, [N/A], 130.19, 400.00, 1410, 1593, 52, P0, 100"
1780961120996968891,2026/06/08 23:25:21.055,137.49,137.49,,137.49,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:25:21.055, 137.49, [N/A], 137.49, 400.00, 1410, 1593, 52, P0, 100"
1780961121170720820,2026/06/08 23:25:21.209,153.25,153.25,,153.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:25:21.209, 153.25, [N/A], 153.25, 400.00, 1410, 1593, 52, P0, 100"
