sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960874822960362,2026/06/08 23:21:14.861,87.48,87.48,,87.48,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 23:21:14.861, 87.48, [N/A], 87.48, 400.00, 1410, 1593, 51, P0, 0"
1780960874978525368,2026/06/08 23:21:15.130,89.34,89.34,,89.34,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 23:21:15.130, 89.34, [N/A], 89.34, 400.00, 1410, 1593, 51, P0, 0"
1780960875248342855,2026/06/08 23:21:15.307,92.67,92.67,,92.67,400.0,1410.0,1593.0,50.0,P0,1.0,average_instant,"2026/06/08 23:21:15.307, 92.67, [N/A], 92.67, 400.00, 1410, 1593, 50, P0, 1"
1780960875418919732,2026/06/08 23:21:15.475,152.65,152.65,,152.65,400.0,1410.0,1593.0,53.0,P0,1.0,average_instant,"2026/06/08 23:21:15.475, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 53, P0, 1"
1780960875586643832,2026/06/08 23:21:15.625,153.25,153.25,,153.25,400.0,1410.0,1593.0,53.0,P0,1.0,average_instant,"2026/06/08 23:21:15.625, 153.25, [N/A], 153.25, 400.00, 1410, 1593, 53, P0, 1"
1780960875736229596,2026/06/08 23:21:15.811,154.18,154.18,,154.18,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:21:15.811, 154.18, [N/A], 154.18, 400.00, 1410, 1593, 54, P0, 100"
1780960875922648884,2026/06/08 23:21:16.006,151.77,151.77,,151.77,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:21:16.006, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 54, P0, 100"
1780960876119400064,2026/06/08 23:21:16.198,152.05,152.05,,152.05,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:21:16.198, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 54, P0, 100"
1780960876310241611,2026/06/08 23:21:16.330,134.44,134.44,,134.44,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:21:16.330, 134.44, [N/A], 134.44, 400.00, 1410, 1593, 53, P0, 100"
1780960876443037331,2026/06/08 23:21:16.463,152.49,152.49,,152.49,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:21:16.463, 152.49, [N/A], 152.49, 400.00, 1410, 1593, 53, P0, 100"
1780960876573880486,2026/06/08 23:21:16.634,153.74,153.74,,153.74,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:21:16.634, 153.74, [N/A], 153.74, 400.00, 1410, 1593, 54, P0, 100"
