sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960610980570432,2026/06/08 23:16:51.040,86.88,86.88,,86.88,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:16:51.040, 86.88, [N/A], 86.88, 400.00, 1410, 1593, 49, P0, 0"
1780960611156240096,2026/06/08 23:16:51.314,90.72,90.72,,90.72,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:16:51.314, 90.72, [N/A], 90.72, 400.00, 1410, 1593, 49, P0, 0"
1780960611432403328,2026/06/08 23:16:51.518,91.97,91.97,,91.97,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:16:51.518, 91.97, [N/A], 91.97, 400.00, 1410, 1593, 49, P0, 0"
1780960611633698034,2026/06/08 23:16:51.710,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:16:51.710, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 0"
1780960611824617430,2026/06/08 23:16:51.878,150.37,150.37,,150.37,400.0,1410.0,1593.0,52.0,P0,57.0,average_instant,"2026/06/08 23:16:51.878, 150.37, [N/A], 150.37, 400.00, 1410, 1593, 52, P0, 57"
1780960611994005931,2026/06/08 23:16:52.033,150.7,150.7,,150.7,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:52.033, 150.70, [N/A], 150.70, 400.00, 1410, 1593, 52, P0, 100"
1780960612147261028,2026/06/08 23:16:52.167,150.7,150.7,,150.7,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:52.167, 150.70, [N/A], 150.70, 400.00, 1410, 1593, 52, P0, 100"
1780960612282938429,2026/06/08 23:16:52.321,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:52.321, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 100"
1780960612436449017,2026/06/08 23:16:52.490,150.7,150.7,,150.7,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:52.490, 150.70, [N/A], 150.70, 400.00, 1410, 1593, 52, P0, 100"
1780960612606023208,2026/06/08 23:16:52.682,140.4,140.4,,140.4,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:52.682, 140.40, [N/A], 140.40, 400.00, 1410, 1593, 52, P0, 100"
1780960612797503474,2026/06/08 23:16:52.859,151.9,151.9,,151.9,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:52.859, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 52, P0, 100"
1780960612973686879,2026/06/08 23:16:53.058,150.97,150.97,,150.97,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 23:16:53.058, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 52, P0, 99"
1780960613171946889,2026/06/08 23:16:53.213,130.38,130.38,,130.38,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 23:16:53.213, 130.38, [N/A], 130.38, 400.00, 1410, 1593, 52, P0, 99"
1780960613332018171,2026/06/08 23:16:53.369,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 23:16:53.369, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 99"
1780960613486632371,2026/06/08 23:16:53.507,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:53.507, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 100"
