sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960777171940267,2026/06/08 23:19:37.261,87.39,87.39,,87.39,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:19:37.261, 87.39, [N/A], 87.39, 400.00, 1410, 1593, 50, P0, 0"
1780960777378145419,2026/06/08 23:19:37.496,90.12,90.12,,90.12,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:19:37.496, 90.12, [N/A], 90.12, 400.00, 1410, 1593, 50, P0, 0"
1780960777611397125,2026/06/08 23:19:37.671,90.12,90.12,,90.12,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:19:37.671, 90.12, [N/A], 90.12, 400.00, 1410, 1593, 50, P0, 0"
1780960777786703793,2026/06/08 23:19:37.824,150.85,150.85,,150.85,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:19:37.824, 150.85, [N/A], 150.85, 400.00, 1410, 1593, 52, P0, 0"
1780960777938761434,2026/06/08 23:19:37.958,154.02,154.02,,154.02,400.0,1410.0,1593.0,53.0,P0,63.0,average_instant,"2026/06/08 23:19:37.958, 154.02, [N/A], 154.02, 400.00, 1410, 1593, 53, P0, 63"
1780960778071237185,2026/06/08 23:19:38.091,151.12,151.12,,151.12,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:38.091, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 53, P0, 100"
1780960778204300176,2026/06/08 23:19:38.245,138.42,138.42,,138.42,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:19:38.245, 138.42, [N/A], 138.42, 400.00, 1410, 1593, 52, P0, 100"
1780960778360105604,2026/06/08 23:19:38.400,152.05,152.05,,152.05,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:38.400, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 53, P0, 100"
1780960778514094659,2026/06/08 23:19:38.533,152.49,152.49,,152.49,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:38.533, 152.49, [N/A], 152.49, 400.00, 1410, 1593, 53, P0, 100"
1780960778646602400,2026/06/08 23:19:38.702,151.45,151.45,,151.45,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:38.702, 151.45, [N/A], 151.45, 400.00, 1410, 1593, 53, P0, 100"
1780960778816584857,2026/06/08 23:19:38.858,151.29,151.29,,151.29,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:38.858, 151.29, [N/A], 151.29, 400.00, 1410, 1593, 53, P0, 100"
1780960778972101275,2026/06/08 23:19:39.009,152.38,152.38,,152.38,400.0,1410.0,1593.0,53.0,P0,99.0,average_instant,"2026/06/08 23:19:39.009, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 53, P0, 99"
1780960779124448215,2026/06/08 23:19:39.161,151.62,151.62,,151.62,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:39.161, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 53, P0, 100"
1780960779274672123,2026/06/08 23:19:39.312,151.62,151.62,,151.62,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:39.312, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 53, P0, 100"
1780960779430025760,2026/06/08 23:19:39.468,151.9,151.9,,151.9,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:39.468, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 53, P0, 100"
1780960779584006524,2026/06/08 23:19:39.602,152.38,152.38,,152.38,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:39.602, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 53, P0, 100"
1780960779715579503,2026/06/08 23:19:39.754,154.62,154.62,,154.62,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:19:39.754, 154.62, [N/A], 154.62, 400.00, 1410, 1593, 53, P0, 100"
