sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960638324223933,2026/06/08 23:17:18.379,86.19,86.19,,86.19,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:17:18.379, 86.19, [N/A], 86.19, 400.00, 1410, 1593, 48, P0, 0"
1780960638503084653,2026/06/08 23:17:18.605,87.39,87.39,,87.39,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:17:18.605, 87.39, [N/A], 87.39, 400.00, 1410, 1593, 48, P0, 0"
1780960638758150610,2026/06/08 23:17:18.815,91.37,91.37,,91.37,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:17:18.815, 91.37, [N/A], 91.37, 400.00, 1410, 1593, 48, P0, 0"
1780960638934508754,2026/06/08 23:17:18.973,151.12,151.12,,151.12,400.0,1410.0,1593.0,50.0,P0,38.0,average_instant,"2026/06/08 23:17:18.973, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 50, P0, 38"
1780960639088431212,2026/06/08 23:17:19.142,152.05,152.05,,152.05,400.0,1410.0,1593.0,51.0,P0,38.0,average_instant,"2026/06/08 23:17:19.142, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 51, P0, 38"
1780960639257526421,2026/06/08 23:17:19.334,149.92,149.92,,149.92,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:17:19.334, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 51, P0, 100"
1780960639450126999,2026/06/08 23:17:19.489,150.7,150.7,,150.7,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:17:19.489, 150.70, [N/A], 150.70, 400.00, 1410, 1593, 51, P0, 100"
1780960639605821010,2026/06/08 23:17:19.662,152.38,152.38,,152.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:17:19.662, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 52, P0, 100"
1780960639778689297,2026/06/08 23:17:19.814,150.25,150.25,,150.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:17:19.814, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 52, P0, 100"
1780960639928364376,2026/06/08 23:17:19.948,150.53,150.53,,150.53,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:17:19.948, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 51, P0, 100"
1780960640062251513,2026/06/08 23:17:20.098,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:17:20.098, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 100"
1780960640212572473,2026/06/08 23:17:20.270,152.22,152.22,,152.22,400.0,1410.0,1593.0,52.0,P0,98.0,average_instant,"2026/06/08 23:17:20.270, 152.22, [N/A], 152.22, 400.00, 1410, 1593, 52, P0, 98"
1780960640385669101,2026/06/08 23:17:20.423,150.25,150.25,,150.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:17:20.423, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 52, P0, 100"
1780960640537311854,2026/06/08 23:17:20.598,150.25,150.25,,150.25,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:17:20.598, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 51, P0, 100"
