sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960721468034191,2026/06/08 23:18:41.550,85.95,85.95,,85.95,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:18:41.550, 85.95, [N/A], 85.95, 400.00, 1410, 1593, 49, P0, 0"
1780960721659869735,2026/06/08 23:18:41.787,92.07,92.07,,92.07,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:18:41.787, 92.07, [N/A], 92.07, 400.00, 1410, 1593, 48, P0, 0"
1780960721901413530,2026/06/08 23:18:41.978,86.28,86.28,,86.28,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:18:41.978, 86.28, [N/A], 86.28, 400.00, 1410, 1593, 48, P0, 0"
1780960722089417316,2026/06/08 23:18:42.124,151.12,151.12,,151.12,400.0,1410.0,1593.0,51.0,P0,1.0,average_instant,"2026/06/08 23:18:42.124, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 51, P0, 1"
1780960722238863112,2026/06/08 23:18:42.278,153.13,153.13,,153.13,400.0,1410.0,1593.0,51.0,P0,72.0,average_instant,"2026/06/08 23:18:42.278, 153.13, [N/A], 153.13, 400.00, 1410, 1593, 51, P0, 72"
1780960722391648496,2026/06/08 23:18:42.434,150.25,150.25,,150.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:42.434, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 52, P0, 100"
1780960722547102555,2026/06/08 23:18:42.585,148.88,148.88,,148.88,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:18:42.585, 148.88, [N/A], 148.88, 400.00, 1410, 1593, 51, P0, 100"
1780960722700963110,2026/06/08 23:18:42.754,152.21,152.21,,152.21,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:42.754, 152.21, [N/A], 152.21, 400.00, 1410, 1593, 52, P0, 100"
1780960722867260921,2026/06/08 23:18:42.922,150.68,150.68,,150.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:42.922, 150.68, [N/A], 150.68, 400.00, 1410, 1593, 52, P0, 100"
1780960723035164665,2026/06/08 23:18:43.114,129.72,129.72,,129.72,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:18:43.114, 129.72, [N/A], 129.72, 400.00, 1410, 1593, 51, P0, 100"
1780960723226863899,2026/06/08 23:18:43.269,152.65,152.65,,152.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:43.269, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 52, P0, 100"
1780960723384735352,2026/06/08 23:18:43.443,153.58,153.58,,153.58,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:43.443, 153.58, [N/A], 153.58, 400.00, 1410, 1593, 52, P0, 100"
1780960723556086814,2026/06/08 23:18:43.576,140.04,140.04,,140.04,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:43.576, 140.04, [N/A], 140.04, 400.00, 1410, 1593, 52, P0, 100"
1780960723688322275,2026/06/08 23:18:43.728,146.15,146.15,,146.15,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:43.728, 146.15, [N/A], 146.15, 400.00, 1410, 1593, 52, P0, 100"
1780960723840043976,2026/06/08 23:18:43.914,153.25,153.25,,153.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:43.914, 153.25, [N/A], 153.25, 400.00, 1410, 1593, 52, P0, 100"
1780960724028107202,2026/06/08 23:18:44.069,150.85,150.85,,150.85,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:44.069, 150.85, [N/A], 150.85, 400.00, 1410, 1593, 52, P0, 100"
1780960724181127106,2026/06/08 23:18:44.221,130.05,130.05,,130.05,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:44.221, 130.05, [N/A], 130.05, 400.00, 1410, 1593, 52, P0, 100"
1780960724332188726,2026/06/08 23:18:44.390,152.81,152.81,,152.81,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:44.390, 152.81, [N/A], 152.81, 400.00, 1410, 1593, 52, P0, 100"
1780960724503674787,2026/06/08 23:18:44.545,153.41,153.41,,153.41,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:44.545, 153.41, [N/A], 153.41, 400.00, 1410, 1593, 52, P0, 100"
1780960724657590083,2026/06/08 23:18:44.697,146.0,146.0,,146.0,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:44.697, 146.00, [N/A], 146.00, 400.00, 1410, 1593, 52, P0, 100"
1780960724811408098,2026/06/08 23:18:44.890,152.65,152.65,,152.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:44.890, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 52, P0, 100"
1780960725002753691,2026/06/08 23:18:45.041,153.25,153.25,,153.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:45.041, 153.25, [N/A], 153.25, 400.00, 1410, 1593, 52, P0, 100"
1780960725154092191,2026/06/08 23:18:45.193,150.85,150.85,,150.85,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:45.193, 150.85, [N/A], 150.85, 400.00, 1410, 1593, 52, P0, 100"
1780960725306175773,2026/06/08 23:18:45.366,130.05,130.05,,130.05,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:45.366, 130.05, [N/A], 130.05, 400.00, 1410, 1593, 52, P0, 100"
1780960725479157478,2026/06/08 23:18:45.538,152.81,152.81,,152.81,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:45.538, 152.81, [N/A], 152.81, 400.00, 1410, 1593, 52, P0, 100"
1780960725651794982,2026/06/08 23:18:45.710,150.85,150.85,,150.85,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:18:45.710, 150.85, [N/A], 150.85, 400.00, 1410, 1593, 52, P0, 100"
