sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960583620032919,2026/06/08 23:16:23.743,93.5,93.5,,93.5,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:16:23.743, 93.50, [N/A], 93.50, 400.00, 1410, 1593, 49, P0, 0"
1780960583857522342,2026/06/08 23:16:23.950,88.92,88.92,,88.92,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:16:23.950, 88.92, [N/A], 88.92, 400.00, 1410, 1593, 48, P0, 0"
1780960584063292759,2026/06/08 23:16:24.100,87.12,87.12,,87.12,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:16:24.100, 87.12, [N/A], 87.12, 400.00, 1410, 1593, 48, P0, 0"
1780960584216562248,2026/06/08 23:16:24.290,149.92,149.92,,149.92,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 23:16:24.290, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 51, P0, 0"
1780960584402795254,2026/06/08 23:16:24.462,152.05,152.05,,152.05,400.0,1410.0,1593.0,51.0,P0,70.0,average_instant,"2026/06/08 23:16:24.462, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 51, P0, 70"
1780960584577053436,2026/06/08 23:16:24.595,149.92,149.92,,149.92,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:24.595, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 52, P0, 100"
1780960584706497695,2026/06/08 23:16:24.762,132.31,132.31,,132.31,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:24.762, 132.31, [N/A], 132.31, 400.00, 1410, 1593, 51, P0, 100"
1780960584878013441,2026/06/08 23:16:24.934,152.38,152.38,,152.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:24.934, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 52, P0, 100"
1780960585047243852,2026/06/08 23:16:25.082,150.7,150.7,,150.7,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:25.082, 150.70, [N/A], 150.70, 400.00, 1410, 1593, 52, P0, 100"
1780960585194658968,2026/06/08 23:16:25.232,129.91,129.91,,129.91,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:25.232, 129.91, [N/A], 129.91, 400.00, 1410, 1593, 51, P0, 100"
1780960585343910178,2026/06/08 23:16:25.426,152.05,152.05,,152.05,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:25.426, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 52, P0, 100"
1780960585541665179,2026/06/08 23:16:25.580,152.05,152.05,,152.05,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:25.580, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 52, P0, 100"
1780960585693703654,2026/06/08 23:16:25.731,150.25,150.25,,150.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:25.731, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 52, P0, 100"
1780960585843703366,2026/06/08 23:16:25.861,117.28,117.28,,117.28,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:25.861, 117.28, [N/A], 117.28, 400.00, 1410, 1593, 52, P0, 100"
1780960585972613353,2026/06/08 23:16:26.008,152.21,152.21,,152.21,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:26.008, 152.21, [N/A], 152.21, 400.00, 1410, 1593, 52, P0, 100"
1780960586121715473,2026/06/08 23:16:26.139,151.93,151.93,,151.93,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:26.139, 151.93, [N/A], 151.93, 400.00, 1410, 1593, 52, P0, 100"
1780960586251573002,2026/06/08 23:16:26.292,150.09,150.09,,150.09,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:26.292, 150.09, [N/A], 150.09, 400.00, 1410, 1593, 52, P0, 100"
1780960586405620342,2026/06/08 23:16:26.424,150.25,150.25,,150.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:26.424, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 52, P0, 100"
1780960586537114105,2026/06/08 23:16:26.598,152.05,152.05,,152.05,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:26.598, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 52, P0, 100"
1780960586712361229,2026/06/08 23:16:26.766,149.77,149.77,,149.77,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:26.766, 149.77, [N/A], 149.77, 400.00, 1410, 1593, 52, P0, 100"
1780960586878861074,2026/06/08 23:16:26.918,126.27,126.27,,126.27,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:26.918, 126.27, [N/A], 126.27, 400.00, 1410, 1593, 51, P0, 100"
1780960587030855170,2026/06/08 23:16:27.110,152.22,152.22,,152.22,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:27.110, 152.22, [N/A], 152.22, 400.00, 1410, 1593, 52, P0, 100"
1780960587227257008,2026/06/08 23:16:27.290,152.98,152.98,,152.98,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:27.290, 152.98, [N/A], 152.98, 400.00, 1410, 1593, 52, P0, 100"
1780960587403334943,2026/06/08 23:16:27.478,132.64,132.64,,132.64,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:27.478, 132.64, [N/A], 132.64, 400.00, 1410, 1593, 51, P0, 100"
1780960587595319592,2026/06/08 23:16:27.655,151.9,151.9,,151.9,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:27.655, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 52, P0, 100"
1780960587770538475,2026/06/08 23:16:27.846,149.92,149.92,,149.92,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:27.846, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 52, P0, 100"
1780960587961265141,2026/06/08 23:16:28.039,128.86,128.86,,128.86,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:28.039, 128.86, [N/A], 128.86, 400.00, 1410, 1593, 51, P0, 100"
1780960588155599074,2026/06/08 23:16:28.195,151.61,151.61,,151.61,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:28.195, 151.61, [N/A], 151.61, 400.00, 1410, 1593, 52, P0, 100"
1780960588309415844,2026/06/08 23:16:28.369,153.13,153.13,,153.13,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:28.369, 153.13, [N/A], 153.13, 400.00, 1410, 1593, 52, P0, 100"
1780960588482819603,2026/06/08 23:16:28.522,134.91,134.91,,134.91,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:28.522, 134.91, [N/A], 134.91, 400.00, 1410, 1593, 52, P0, 100"
1780960588637382904,2026/06/08 23:16:28.677,147.8,147.8,,147.8,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:28.677, 147.80, [N/A], 147.80, 400.00, 1410, 1593, 52, P0, 100"
1780960588790020241,2026/06/08 23:16:28.826,152.38,152.38,,152.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:28.826, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 52, P0, 100"
1780960588939830472,2026/06/08 23:16:28.979,149.92,149.92,,149.92,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:28.979, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 52, P0, 100"
1780960589092131048,2026/06/08 23:16:29.150,128.99,128.99,,128.99,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:29.150, 128.99, [N/A], 128.99, 400.00, 1410, 1593, 51, P0, 100"
1780960589269982087,2026/06/08 23:16:29.289,151.45,151.45,,151.45,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:29.289, 151.45, [N/A], 151.45, 400.00, 1410, 1593, 52, P0, 100"
1780960589402202521,2026/06/08 23:16:29.441,152.98,152.98,,152.98,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:29.441, 152.98, [N/A], 152.98, 400.00, 1410, 1593, 52, P0, 100"
1780960589555677790,2026/06/08 23:16:29.593,149.92,149.92,,149.92,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:29.593, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 52, P0, 100"
1780960589707402665,2026/06/08 23:16:29.762,145.4,145.4,,145.4,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:29.762, 145.40, [N/A], 145.40, 400.00, 1410, 1593, 51, P0, 100"
1780960589876002715,2026/06/08 23:16:29.913,151.77,151.77,,151.77,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:29.913, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 52, P0, 100"
1780960590026980708,2026/06/08 23:16:30.090,150.09,150.09,,150.09,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:30.090, 150.09, [N/A], 150.09, 400.00, 1410, 1593, 52, P0, 100"
1780960590205146257,2026/06/08 23:16:30.278,129.32,129.32,,129.32,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:16:30.278, 129.32, [N/A], 129.32, 400.00, 1410, 1593, 51, P0, 100"
1780960590391011263,2026/06/08 23:16:30.429,152.05,152.05,,152.05,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:30.429, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 52, P0, 100"
1780960590542759678,2026/06/08 23:16:30.562,152.65,152.65,,152.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:30.562, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 52, P0, 100"
1780960590676238095,2026/06/08 23:16:30.734,146.0,146.0,,146.0,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:16:30.734, 146.00, [N/A], 146.00, 400.00, 1410, 1593, 52, P0, 100"
1780960590847819621,2026/06/08 23:16:30.877,94.97,94.97,,94.97,400.0,1410.0,1593.0,50.0,P0,100.0,average_instant,"2026/06/08 23:16:30.877, 94.97, [N/A], 94.97, 400.00, 1410, 1593, 50, P0, 100"
