sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780960666727563328,2026/06/08 23:17:46.806,88.32,88.32,,88.32,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:17:46.806, 88.32, [N/A], 88.32, 400.00, 1410, 1593, 50, P0, 0"
1780960666920588676,2026/06/08 23:17:47.109,86.79,86.79,,86.79,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:17:47.109, 86.79, [N/A], 86.79, 400.00, 1410, 1593, 50, P0, 0"
1780960667226544226,2026/06/08 23:17:47.267,90.44,90.44,,90.44,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:17:47.267, 90.44, [N/A], 90.44, 400.00, 1410, 1593, 49, P0, 0"
1780960667381064244,2026/06/08 23:17:47.458,152.22,152.22,,152.22,400.0,1410.0,1593.0,52.0,P0,3.0,average_instant,"2026/06/08 23:17:47.458, 152.22, [N/A], 152.22, 400.00, 1410, 1593, 52, P0, 3"
1780960667573965122,2026/06/08 23:17:47.613,150.7,150.7,,150.7,400.0,1410.0,1593.0,53.0,P0,98.0,average_instant,"2026/06/08 23:17:47.613, 150.70, [N/A], 150.70, 400.00, 1410, 1593, 53, P0, 98"
1780960667727468739,2026/06/08 23:17:47.764,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:17:47.764, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
1780960667877714188,2026/06/08 23:17:47.897,130.06,130.06,,130.06,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:17:47.897, 130.06, [N/A], 130.06, 400.00, 1410, 1593, 53, P0, 100"
1780960668010714192,2026/06/08 23:17:48.066,153.1,153.1,,153.1,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:17:48.066, 153.10, [N/A], 153.10, 400.00, 1410, 1593, 53, P0, 100"
1780960668179824400,2026/06/08 23:17:48.220,151.45,151.45,,151.45,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:17:48.220, 151.45, [N/A], 151.45, 400.00, 1410, 1593, 53, P0, 100"
1780960668334594729,2026/06/08 23:17:48.375,137.49,137.49,,137.49,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:17:48.375, 137.49, [N/A], 137.49, 400.00, 1410, 1593, 52, P0, 100"
