sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959654805160851,2026/06/08 23:00:54.847,87.21,87.21,,87.21,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:00:54.847, 87.21, [N/A], 87.21, 400.00, 1410, 1593, 50, P0, 0"
1780959654967313105,2026/06/08 23:00:55.157,89.94,89.94,,89.94,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:00:55.157, 89.94, [N/A], 89.94, 400.00, 1410, 1593, 50, P0, 0"
1780959655273482680,2026/06/08 23:00:55.316,92.34,92.34,,92.34,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:00:55.316, 92.34, [N/A], 92.34, 400.00, 1410, 1593, 49, P0, 0"
1780959655430672994,2026/06/08 23:00:55.469,151.12,151.12,,151.12,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:00:55.469, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 52, P0, 0"
1780959655581936468,2026/06/08 23:00:55.620,151.77,151.77,,151.77,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:00:55.620, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 52, P0, 0"
1780959655733146011,2026/06/08 23:00:55.773,151.01,151.01,,151.01,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:55.773, 151.01, [N/A], 151.01, 400.00, 1410, 1593, 53, P0, 100"
1780959655885324567,2026/06/08 23:00:55.942,130.65,130.65,,130.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:55.942, 130.65, [N/A], 130.65, 400.00, 1410, 1593, 52, P0, 100"
1780959656054038624,2026/06/08 23:00:56.130,151.61,151.61,,151.61,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:56.130, 151.61, [N/A], 151.61, 400.00, 1410, 1593, 53, P0, 100"
1780959656242840691,2026/06/08 23:00:56.281,151.28,151.28,,151.28,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:56.281, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 53, P0, 100"
1780959656394679835,2026/06/08 23:00:56.432,151.28,151.28,,151.28,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:56.432, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 53, P0, 100"
1780959656544027214,2026/06/08 23:00:56.581,151.61,151.61,,151.61,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:56.581, 151.61, [N/A], 151.61, 400.00, 1410, 1593, 53, P0, 100"
1780959656698310324,2026/06/08 23:00:56.774,154.5,154.5,,154.5,400.0,1410.0,1593.0,53.0,P0,99.0,average_instant,"2026/06/08 23:00:56.774, 154.50, [N/A], 154.50, 400.00, 1410, 1593, 53, P0, 99"
1780959656888425883,2026/06/08 23:00:56.932,151.12,151.12,,151.12,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:56.932, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 53, P0, 100"
1780959657044902376,2026/06/08 23:00:57.085,147.68,147.68,,147.68,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:57.085, 147.68, [N/A], 147.68, 400.00, 1410, 1593, 52, P0, 100"
1780959657198543415,2026/06/08 23:00:57.254,151.77,151.77,,151.77,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:57.254, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 53, P0, 100"
1780959657368206003,2026/06/08 23:00:57.422,151.28,151.28,,151.28,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:57.422, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 53, P0, 100"
1780959657534649856,2026/06/08 23:00:57.577,130.65,130.65,,130.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:57.577, 130.65, [N/A], 130.65, 400.00, 1410, 1593, 52, P0, 100"
1780959657690720739,2026/06/08 23:00:57.729,151.12,151.12,,151.12,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:57.729, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 53, P0, 100"
1780959657842587964,2026/06/08 23:00:57.898,153.74,153.74,,153.74,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:57.898, 153.74, [N/A], 153.74, 400.00, 1410, 1593, 53, P0, 100"
1780959658011519242,2026/06/08 23:00:58.070,145.08,145.08,,145.08,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:58.070, 145.08, [N/A], 145.08, 400.00, 1410, 1593, 53, P0, 100"
1780959658183758156,2026/06/08 23:00:58.258,135.18,135.18,,135.18,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:58.258, 135.18, [N/A], 135.18, 400.00, 1410, 1593, 53, P0, 100"
1780959658371233369,2026/06/08 23:00:58.427,152.05,152.05,,152.05,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:58.427, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 53, P0, 100"
1780959658539912247,2026/06/08 23:00:58.577,151.12,151.12,,151.12,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:58.577, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 53, P0, 100"
1780959658690327358,2026/06/08 23:00:58.766,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:58.766, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959658880482357,2026/06/08 23:00:58.922,151.62,151.62,,151.62,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:58.922, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 53, P0, 100"
1780959659034601996,2026/06/08 23:00:59.076,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:59.076, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
1780959659189801457,2026/06/08 23:00:59.247,151.29,151.29,,151.29,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:59.247, 151.29, [N/A], 151.29, 400.00, 1410, 1593, 52, P0, 100"
1780959659360712799,2026/06/08 23:00:59.397,151.29,151.29,,151.29,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:59.397, 151.29, [N/A], 151.29, 400.00, 1410, 1593, 52, P0, 100"
1780959659510406329,2026/06/08 23:00:59.531,151.9,151.9,,151.9,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:59.531, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 53, P0, 100"
1780959659642924336,2026/06/08 23:00:59.681,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:00:59.681, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
1780959659793544088,2026/06/08 23:00:59.813,133.43,133.43,,133.43,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:59.813, 133.43, [N/A], 133.43, 400.00, 1410, 1593, 52, P0, 100"
1780959659925697305,2026/06/08 23:00:59.966,147.65,147.65,,147.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:00:59.966, 147.65, [N/A], 147.65, 400.00, 1410, 1593, 52, P0, 100"
1780959660077832690,2026/06/08 23:01:00.117,152.22,152.22,,152.22,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:00.117, 152.22, [N/A], 152.22, 400.00, 1410, 1593, 53, P0, 100"
1780959660228302762,2026/06/08 23:01:00.286,150.81,150.81,,150.81,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:00.286, 150.81, [N/A], 150.81, 400.00, 1410, 1593, 53, P0, 100"
1780959660398914513,2026/06/08 23:01:00.482,150.81,150.81,,150.81,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:00.482, 150.81, [N/A], 150.81, 400.00, 1410, 1593, 52, P0, 100"
1780959660595644355,2026/06/08 23:01:00.651,151.74,151.74,,151.74,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:00.651, 151.74, [N/A], 151.74, 400.00, 1410, 1593, 53, P0, 100"
1780959660763475780,2026/06/08 23:01:00.800,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:00.800, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
1780959660912007978,2026/06/08 23:01:00.949,145.52,145.52,,145.52,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:00.949, 145.52, [N/A], 145.52, 400.00, 1410, 1593, 52, P0, 100"
1780959661059515724,2026/06/08 23:01:01.098,151.62,151.62,,151.62,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:01.098, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 52, P0, 100"
1780959661210033897,2026/06/08 23:01:01.286,151.9,151.9,,151.9,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:01.286, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 53, P0, 100"
1780959661397037009,2026/06/08 23:01:01.437,150.97,150.97,,150.97,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:01.437, 150.97, [N/A], 150.97, 400.00, 1410, 1593, 53, P0, 100"
