sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959738081117663,2026/06/08 23:02:18.158,87.12,87.12,,87.12,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:02:18.158, 87.12, [N/A], 87.12, 400.00, 1410, 1593, 50, P0, 0"
1780959738273540076,2026/06/08 23:02:18.400,90.12,90.12,,90.12,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:02:18.400, 90.12, [N/A], 90.12, 400.00, 1410, 1593, 50, P0, 0"
1780959738517767659,2026/06/08 23:02:18.558,90.72,90.72,,90.72,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:02:18.558, 90.72, [N/A], 90.72, 400.00, 1410, 1593, 50, P0, 0"
1780959738675136374,2026/06/08 23:02:18.694,151.28,151.28,,151.28,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:02:18.694, 151.28, [N/A], 151.28, 400.00, 1410, 1593, 52, P0, 0"
1780959738808808313,2026/06/08 23:02:18.862,152.05,152.05,,152.05,400.0,1410.0,1593.0,53.0,P0,47.0,average_instant,"2026/06/08 23:02:18.862, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 53, P0, 47"
1780959738975278525,2026/06/08 23:02:19.012,151.45,151.45,,151.45,400.0,1410.0,1593.0,53.0,P0,47.0,average_instant,"2026/06/08 23:02:19.012, 151.45, [N/A], 151.45, 400.00, 1410, 1593, 53, P0, 47"
1780959739124413434,2026/06/08 23:02:19.198,147.8,147.8,,147.8,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:19.198, 147.80, [N/A], 147.80, 400.00, 1410, 1593, 53, P0, 100"
1780959739313044719,2026/06/08 23:02:19.348,152.05,152.05,,152.05,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:19.348, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 53, P0, 100"
1780959739462458209,2026/06/08 23:02:19.503,151.45,151.45,,151.45,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:19.503, 151.45, [N/A], 151.45, 400.00, 1410, 1593, 53, P0, 100"
1780959739618007270,2026/06/08 23:02:19.659,151.77,151.77,,151.77,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:19.659, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 53, P0, 100"
1780959739774699774,2026/06/08 23:02:19.813,151.77,151.77,,151.77,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:19.813, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 53, P0, 100"
1780959739927288769,2026/06/08 23:02:19.967,152.54,152.54,,152.54,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:19.967, 152.54, [N/A], 152.54, 400.00, 1410, 1593, 53, P0, 100"
1780959740078781162,2026/06/08 23:02:20.118,151.77,151.77,,151.77,400.0,1410.0,1593.0,53.0,P0,98.0,average_instant,"2026/06/08 23:02:20.118, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 53, P0, 98"
1780959740230119856,2026/06/08 23:02:20.269,149.92,149.92,,149.92,400.0,1410.0,1593.0,53.0,P0,98.0,average_instant,"2026/06/08 23:02:20.269, 149.92, [N/A], 149.92, 400.00, 1410, 1593, 53, P0, 98"
1780959740381603569,2026/06/08 23:02:20.459,152.38,152.38,,152.38,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:20.459, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 53, P0, 100"
1780959740571679227,2026/06/08 23:02:20.647,153.41,153.41,,153.41,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:20.647, 153.41, [N/A], 153.41, 400.00, 1410, 1593, 53, P0, 100"
1780959740759792551,2026/06/08 23:02:20.823,132.04,132.04,,132.04,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:20.823, 132.04, [N/A], 132.04, 400.00, 1410, 1593, 53, P0, 100"
1780959740935297011,2026/06/08 23:02:21.010,152.38,152.38,,152.38,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:21.010, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 53, P0, 100"
1780959741122517314,2026/06/08 23:02:21.207,151.77,151.77,,151.77,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:21.207, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 53, P0, 100"
1780959741324487625,2026/06/08 23:02:21.379,151.77,151.77,,151.77,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:21.379, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 53, P0, 100"
1780959741493114522,2026/06/08 23:02:21.550,152.05,152.05,,152.05,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:21.550, 152.05, [N/A], 152.05, 400.00, 1410, 1593, 53, P0, 100"
1780959741663488352,2026/06/08 23:02:21.683,152.65,152.65,,152.65,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:02:21.683, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 53, P0, 100"
