sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959820187348237,2026/06/08 23:03:40.246,87.39,87.39,,87.39,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:03:40.246, 87.39, [N/A], 87.39, 400.00, 1410, 1593, 50, P0, 0"
1780959820363815888,2026/06/08 23:03:40.511,92.25,92.25,,92.25,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:03:40.511, 92.25, [N/A], 92.25, 400.00, 1410, 1593, 50, P0, 0"
1780959820627396548,2026/06/08 23:03:40.704,108.93,108.93,,108.93,400.0,1410.0,1593.0,50.0,P0,0.0,average_instant,"2026/06/08 23:03:40.704, 108.93, [N/A], 108.93, 400.00, 1410, 1593, 50, P0, 0"
1780959820819702130,2026/06/08 23:03:40.875,151.29,151.29,,151.29,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:03:40.875, 151.29, [N/A], 151.29, 400.00, 1410, 1593, 52, P0, 0"
1780959820991416122,2026/06/08 23:03:41.047,152.82,152.82,,152.82,400.0,1410.0,1593.0,53.0,P0,97.0,average_instant,"2026/06/08 23:03:41.047, 152.82, [N/A], 152.82, 400.00, 1410, 1593, 53, P0, 97"
1780959821162587353,2026/06/08 23:03:41.203,131.91,131.91,,131.91,400.0,1410.0,1593.0,53.0,P0,97.0,average_instant,"2026/06/08 23:03:41.203, 131.91, [N/A], 131.91, 400.00, 1410, 1593, 53, P0, 97"
1780959821318148884,2026/06/08 23:03:41.375,150.37,150.37,,150.37,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:41.375, 150.37, [N/A], 150.37, 400.00, 1410, 1593, 53, P0, 100"
1780959821490521458,2026/06/08 23:03:41.529,152.49,152.49,,152.49,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:41.529, 152.49, [N/A], 152.49, 400.00, 1410, 1593, 53, P0, 100"
1780959821645510068,2026/06/08 23:03:41.727,151.62,151.62,,151.62,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:41.727, 151.62, [N/A], 151.62, 400.00, 1410, 1593, 53, P0, 100"
1780959821838541451,2026/06/08 23:03:41.895,130.98,130.98,,130.98,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:41.895, 130.98, [N/A], 130.98, 400.00, 1410, 1593, 53, P0, 100"
1780959822009303771,2026/06/08 23:03:42.075,152.49,152.49,,152.49,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:42.075, 152.49, [N/A], 152.49, 400.00, 1410, 1593, 53, P0, 100"
