sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959709573133939,2026/06/08 23:01:49.612,86.47,86.47,,86.47,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:01:49.612, 86.47, [N/A], 86.47, 400.00, 1410, 1593, 49, P0, 0"
1780959709730241343,2026/06/08 23:01:49.910,88.92,88.92,,88.92,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:01:49.910, 88.92, [N/A], 88.92, 400.00, 1410, 1593, 49, P0, 0"
1780959710027722909,2026/06/08 23:01:50.125,91.97,91.97,,91.97,400.0,1410.0,1593.0,49.0,P0,0.0,average_instant,"2026/06/08 23:01:50.125, 91.97, [N/A], 91.97, 400.00, 1410, 1593, 49, P0, 0"
1780959710237698746,2026/06/08 23:01:50.322,102.88,102.88,,102.88,400.0,1140.0,1593.0,50.0,P0,2.0,average_instant,"2026/06/08 23:01:50.322, 102.88, [N/A], 102.88, 400.00, 1140, 1593, 50, P0, 2"
1780959710439753158,2026/06/08 23:01:50.495,150.25,150.25,,150.25,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:50.495, 150.25, [N/A], 150.25, 400.00, 1410, 1593, 52, P0, 100"
1780959710609927968,2026/06/08 23:01:50.666,151.12,151.12,,151.12,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:50.666, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 52, P0, 100"
1780959710779551616,2026/06/08 23:01:50.817,125.34,125.34,,125.34,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:50.817, 125.34, [N/A], 125.34, 400.00, 1410, 1593, 52, P0, 100"
1780959710932112552,2026/06/08 23:01:50.969,153.25,153.25,,153.25,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:50.969, 153.25, [N/A], 153.25, 400.00, 1410, 1593, 53, P0, 100"
1780959711081802702,2026/06/08 23:01:51.138,151.12,151.12,,151.12,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:51.138, 151.12, [N/A], 151.12, 400.00, 1410, 1593, 53, P0, 100"
1780959711254613597,2026/06/08 23:01:51.291,130.98,130.98,,130.98,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:51.291, 130.98, [N/A], 130.98, 400.00, 1410, 1593, 52, P0, 100"
1780959711408054194,2026/06/08 23:01:51.444,152.98,152.98,,152.98,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:01:51.444, 152.98, [N/A], 152.98, 400.00, 1410, 1593, 53, P0, 100"
