sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959791783480389,2026/06/08 23:03:11.842,88.92,88.92,,88.92,400.0,1410.0,1593.0,53.0,P0,30.0,average_instant,"2026/06/08 23:03:11.842, 88.92, [N/A], 88.92, 400.00, 1410, 1593, 53, P0, 30"
1780959791954241569,2026/06/08 23:03:12.094,92.84,92.84,,92.84,400.0,1410.0,1593.0,51.0,P0,30.0,average_instant,"2026/06/08 23:03:12.094, 92.84, [N/A], 92.84, 400.00, 1410, 1593, 51, P0, 30"
1780959792208730912,2026/06/08 23:03:12.252,91.97,91.97,,91.97,400.0,1410.0,1593.0,51.0,P0,0.0,average_instant,"2026/06/08 23:03:12.252, 91.97, [N/A], 91.97, 400.00, 1410, 1593, 51, P0, 0"
1780959792371304457,2026/06/08 23:03:12.431,115.03,115.03,,115.03,400.0,1410.0,1593.0,52.0,P0,0.0,average_instant,"2026/06/08 23:03:12.431, 115.03, [N/A], 115.03, 400.00, 1410, 1593, 52, P0, 0"
1780959792546798886,2026/06/08 23:03:12.603,153.74,153.74,,153.74,400.0,1410.0,1593.0,53.0,P0,2.0,average_instant,"2026/06/08 23:03:12.603, 153.74, [N/A], 153.74, 400.00, 1410, 1593, 53, P0, 2"
1780959792717360716,2026/06/08 23:03:12.753,152.38,152.38,,152.38,400.0,1410.0,1593.0,53.0,P0,2.0,average_instant,"2026/06/08 23:03:12.753, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 53, P0, 2"
1780959792866352644,2026/06/08 23:03:12.921,131.58,131.58,,131.58,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:12.921, 131.58, [N/A], 131.58, 400.00, 1410, 1593, 53, P0, 100"
1780959793034886331,2026/06/08 23:03:13.053,152.38,152.38,,152.38,400.0,1410.0,1593.0,53.0,P0,100.0,average_instant,"2026/06/08 23:03:13.053, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 53, P0, 100"
1780959793164713482,2026/06/08 23:03:13.218,153.58,153.58,,153.58,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:03:13.218, 153.58, [N/A], 153.58, 400.00, 1410, 1593, 54, P0, 100"
1780959793330471433,2026/06/08 23:03:13.368,151.9,151.9,,151.9,400.0,1410.0,1593.0,54.0,P0,100.0,average_instant,"2026/06/08 23:03:13.368, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 54, P0, 100"
