sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780959682185448607,2026/06/08 23:01:22.264,86.1,86.1,,86.1,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:01:22.264, 86.10, [N/A], 86.10, 400.00, 1410, 1593, 48, P0, 0"
1780959682380428025,2026/06/08 23:01:22.530,89.34,89.34,,89.34,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:01:22.530, 89.34, [N/A], 89.34, 400.00, 1410, 1593, 48, P0, 0"
1780959682647749803,2026/06/08 23:01:22.707,87.54,87.54,,87.54,400.0,1410.0,1593.0,48.0,P0,0.0,average_instant,"2026/06/08 23:01:22.707, 87.54, [N/A], 87.54, 400.00, 1410, 1593, 48, P0, 0"
1780959682823881974,2026/06/08 23:01:22.898,151.46,151.46,,151.46,400.0,1410.0,1593.0,51.0,P0,31.0,average_instant,"2026/06/08 23:01:22.898, 151.46, [N/A], 151.46, 400.00, 1410, 1593, 51, P0, 31"
1780959683013761293,2026/06/08 23:01:23.034,152.06,152.06,,152.06,400.0,1410.0,1593.0,51.0,P0,31.0,average_instant,"2026/06/08 23:01:23.034, 152.06, [N/A], 152.06, 400.00, 1410, 1593, 51, P0, 31"
1780959683153264493,2026/06/08 23:01:23.193,150.22,150.22,,150.22,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:23.193, 150.22, [N/A], 150.22, 400.00, 1410, 1593, 51, P0, 100"
1780959683309617117,2026/06/08 23:01:23.386,122.95,122.95,,122.95,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:23.386, 122.95, [N/A], 122.95, 400.00, 1410, 1593, 51, P0, 100"
1780959683502704801,2026/06/08 23:01:23.540,152.33,152.33,,152.33,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:23.540, 152.33, [N/A], 152.33, 400.00, 1410, 1593, 52, P0, 100"
1780959683654519865,2026/06/08 23:01:23.692,150.22,150.22,,150.22,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:23.692, 150.22, [N/A], 150.22, 400.00, 1410, 1593, 52, P0, 100"
1780959683806000699,2026/06/08 23:01:23.882,131.77,131.77,,131.77,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:23.882, 131.77, [N/A], 131.77, 400.00, 1410, 1593, 51, P0, 100"
1780959683994086244,2026/06/08 23:01:24.032,152.06,152.06,,152.06,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 23:01:24.032, 152.06, [N/A], 152.06, 400.00, 1410, 1593, 52, P0, 99"
1780959684145375767,2026/06/08 23:01:24.198,150.22,150.22,,150.22,400.0,1410.0,1593.0,52.0,P0,99.0,average_instant,"2026/06/08 23:01:24.198, 150.22, [N/A], 150.22, 400.00, 1410, 1593, 52, P0, 99"
1780959684311248749,2026/06/08 23:01:24.390,150.54,150.54,,150.54,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:24.390, 150.54, [N/A], 150.54, 400.00, 1410, 1593, 52, P0, 100"
1780959684527152347,2026/06/08 23:01:24.576,152.06,152.06,,152.06,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:24.576, 152.06, [N/A], 152.06, 400.00, 1410, 1593, 52, P0, 100"
1780959684691655216,2026/06/08 23:01:24.728,153.42,153.42,,153.42,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:24.728, 153.42, [N/A], 153.42, 400.00, 1410, 1593, 52, P0, 100"
1780959684840474955,2026/06/08 23:01:24.918,134.17,134.17,,134.17,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:24.918, 134.17, [N/A], 134.17, 400.00, 1410, 1593, 52, P0, 100"
1780959685032314237,2026/06/08 23:01:25.071,149.33,149.33,,149.33,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:25.071, 149.33, [N/A], 149.33, 400.00, 1410, 1593, 52, P0, 100"
1780959685185787414,2026/06/08 23:01:25.204,152.38,152.38,,152.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:25.204, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 52, P0, 100"
1780959685316036677,2026/06/08 23:01:25.352,150.37,150.37,,150.37,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:25.352, 150.37, [N/A], 150.37, 400.00, 1410, 1593, 52, P0, 100"
1780959685465778367,2026/06/08 23:01:25.522,129.59,129.59,,129.59,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:25.522, 129.59, [N/A], 129.59, 400.00, 1410, 1593, 51, P0, 100"
1780959685635957437,2026/06/08 23:01:25.672,151.9,151.9,,151.9,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:25.672, 151.90, [N/A], 151.90, 400.00, 1410, 1593, 52, P0, 100"
1780959685785571097,2026/06/08 23:01:25.822,153.42,153.42,,153.42,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:25.822, 153.42, [N/A], 153.42, 400.00, 1410, 1593, 52, P0, 100"
1780959685935133577,2026/06/08 23:01:25.990,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:25.990, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959686103212083,2026/06/08 23:01:26.158,147.8,147.8,,147.8,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:26.158, 147.80, [N/A], 147.80, 400.00, 1410, 1593, 52, P0, 100"
1780959686273318613,2026/06/08 23:01:26.308,152.98,152.98,,152.98,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:26.308, 152.98, [N/A], 152.98, 400.00, 1410, 1593, 52, P0, 100"
1780959686423382984,2026/06/08 23:01:26.485,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:26.485, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959686598983854,2026/06/08 23:01:26.617,129.59,129.59,,129.59,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:26.617, 129.59, [N/A], 129.59, 400.00, 1410, 1593, 51, P0, 100"
1780959686732643153,2026/06/08 23:01:26.786,151.77,151.77,,151.77,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:26.786, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 52, P0, 100"
1780959686898946146,2026/06/08 23:01:26.957,153.1,153.1,,153.1,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:26.957, 153.10, [N/A], 153.10, 400.00, 1410, 1593, 52, P0, 100"
1780959687071049689,2026/06/08 23:01:27.108,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:27.108, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959687219619187,2026/06/08 23:01:27.238,146.0,146.0,,146.0,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:27.238, 146.00, [N/A], 146.00, 400.00, 1410, 1593, 52, P0, 100"
1780959687351322853,2026/06/08 23:01:27.426,152.98,152.98,,152.98,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:27.426, 152.98, [N/A], 152.98, 400.00, 1410, 1593, 52, P0, 100"
1780959687538903577,2026/06/08 23:01:27.574,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:27.574, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959687686471303,2026/06/08 23:01:27.704,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:27.704, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959687816275885,2026/06/08 23:01:27.870,151.77,151.77,,151.77,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:27.870, 151.77, [N/A], 151.77, 400.00, 1410, 1593, 52, P0, 100"
1780959687983720699,2026/06/08 23:01:28.003,152.65,152.65,,152.65,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:28.003, 152.65, [N/A], 152.65, 400.00, 1410, 1593, 52, P0, 100"
1780959688115231264,2026/06/08 23:01:28.174,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:28.174, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959688289914533,2026/06/08 23:01:28.308,145.85,145.85,,145.85,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:28.308, 145.85, [N/A], 145.85, 400.00, 1410, 1593, 51, P0, 100"
1780959688423149181,2026/06/08 23:01:28.478,152.38,152.38,,152.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:28.478, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 52, P0, 100"
1780959688591472777,2026/06/08 23:01:28.627,150.85,150.85,,150.85,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:28.627, 150.85, [N/A], 150.85, 400.00, 1410, 1593, 52, P0, 100"
1780959688740413686,2026/06/08 23:01:28.794,150.37,150.37,,150.37,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:28.794, 150.37, [N/A], 150.37, 400.00, 1410, 1593, 52, P0, 100"
1780959688906407258,2026/06/08 23:01:28.924,151.45,151.45,,151.45,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:28.924, 151.45, [N/A], 151.45, 400.00, 1410, 1593, 52, P0, 100"
1780959689037315732,2026/06/08 23:01:29.090,152.38,152.38,,152.38,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:29.090, 152.38, [N/A], 152.38, 400.00, 1410, 1593, 52, P0, 100"
1780959689204763696,2026/06/08 23:01:29.258,150.53,150.53,,150.53,400.0,1410.0,1593.0,52.0,P0,100.0,average_instant,"2026/06/08 23:01:29.258, 150.53, [N/A], 150.53, 400.00, 1410, 1593, 52, P0, 100"
1780959689370524608,2026/06/08 23:01:29.388,149.65,149.65,,149.65,400.0,1410.0,1593.0,51.0,P0,100.0,average_instant,"2026/06/08 23:01:29.388, 149.65, [N/A], 149.65, 400.00, 1410, 1593, 51, P0, 100"
1780959689500108109,2026/06/08 23:01:29.583,92.25,92.25,,92.25,400.0,1410.0,1593.0,49.0,P0,90.0,average_instant,"2026/06/08 23:01:29.583, 92.25, [N/A], 92.25, 400.00, 1410, 1593, 49, P0, 90"
