sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780462704623151508,2026/06/03 04:58:24.645,60.88,60.88,,60.88,400.0,210.0,1593.0,30.0,P0,0.0,average_instant,"2026/06/03 04:58:24.645, 60.88, [N/A], 60.88, 400.00, 210, 1593, 30, P0, 0"
1780462704763910836,2026/06/03 04:58:24.793,61.5,61.5,,61.5,400.0,210.0,1593.0,30.0,P0,0.0,average_instant,"2026/06/03 04:58:24.793, 61.50, [N/A], 61.50, 400.00, 210, 1593, 30, P0, 0"
1780462704928800641,2026/06/03 04:58:24.949,68.57,68.57,,68.57,400.0,1155.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:58:24.949, 68.57, [N/A], 68.57, 400.00, 1155, 1593, 31, P0, 0"
1780462705064053674,2026/06/03 04:58:25.084,75.03,75.03,,75.03,400.0,1155.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:58:25.084, 75.03, [N/A], 75.03, 400.00, 1155, 1593, 31, P0, 0"
1780462705194956799,2026/06/03 04:58:25.215,96.58,96.58,,96.58,400.0,1410.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:58:25.215, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 31, P0, 0"
1780462705325658374,2026/06/03 04:58:25.345,96.85,96.85,,96.85,400.0,1410.0,1593.0,31.0,P0,0.0,average_instant,"2026/06/03 04:58:25.345, 96.85, [N/A], 96.85, 400.00, 1410, 1593, 31, P0, 0"
1780462705454632970,2026/06/03 04:58:25.474,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,0.0,average_instant,"2026/06/03 04:58:25.474, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 0"
1780462705585084620,2026/06/03 04:58:25.604,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,0.0,average_instant,"2026/06/03 04:58:25.604, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 0"
1780462705713305856,2026/06/03 04:58:25.732,97.08,97.08,,97.08,400.0,1410.0,1593.0,32.0,P0,0.0,average_instant,"2026/06/03 04:58:25.732, 97.08, [N/A], 97.08, 400.00, 1410, 1593, 32, P0, 0"
1780462705841704733,2026/06/03 04:58:25.861,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,0.0,average_instant,"2026/06/03 04:58:25.861, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 0"
1780462705969856409,2026/06/03 04:58:25.989,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:25.989, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462706100136470,2026/06/03 04:58:26.120,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.120, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462706230270360,2026/06/03 04:58:26.251,97.42,97.42,,97.42,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.251, 97.42, [N/A], 97.42, 400.00, 1410, 1593, 32, P0, 100"
1780462706359834217,2026/06/03 04:58:26.379,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.379, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462706489033478,2026/06/03 04:58:26.508,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.508, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462706618079680,2026/06/03 04:58:26.638,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.638, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462706747548516,2026/06/03 04:58:26.767,97.52,97.52,,97.52,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.767, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 32, P0, 100"
1780462706878930449,2026/06/03 04:58:26.898,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:26.898, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462707008117551,2026/06/03 04:58:27.027,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.027, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462707137546326,2026/06/03 04:58:27.157,97.52,97.52,,97.52,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.157, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 32, P0, 100"
1780462707266447484,2026/06/03 04:58:27.286,97.18,97.18,,97.18,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.286, 97.18, [N/A], 97.18, 400.00, 1410, 1593, 32, P0, 100"
1780462707395692368,2026/06/03 04:58:27.415,97.52,97.52,,97.52,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.415, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 32, P0, 100"
1780462707524332413,2026/06/03 04:58:27.544,97.42,97.42,,97.42,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.544, 97.42, [N/A], 97.42, 400.00, 1410, 1593, 32, P0, 100"
1780462707652775054,2026/06/03 04:58:27.672,97.52,97.52,,97.52,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.672, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 32, P0, 100"
1780462707781959145,2026/06/03 04:58:27.801,97.52,97.52,,97.52,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.801, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 32, P0, 100"
1780462707910800338,2026/06/03 04:58:27.930,97.52,97.52,,97.52,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:27.930, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 32, P0, 100"
1780462708040681884,2026/06/03 04:58:28.060,97.42,97.42,,97.42,400.0,1410.0,1593.0,32.0,P0,100.0,average_instant,"2026/06/03 04:58:28.060, 97.42, [N/A], 97.42, 400.00, 1410, 1593, 32, P0, 100"
