sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780462370260059997,2026/06/03 04:52:50.281,84.17,84.17,,84.17,400.0,1410.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 04:52:50.281, 84.17, [N/A], 84.17, 400.00, 1410, 1593, 33, P0, 0"
1780462370393866509,2026/06/03 04:52:50.420,89.18,89.18,,89.18,400.0,1410.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 04:52:50.420, 89.18, [N/A], 89.18, 400.00, 1410, 1593, 33, P0, 0"
1780462370530792972,2026/06/03 04:52:50.551,91.05,91.05,,91.05,400.0,1410.0,1593.0,33.0,P0,0.0,average_instant,"2026/06/03 04:52:50.551, 91.05, [N/A], 91.05, 400.00, 1410, 1593, 33, P0, 0"
1780462370662345835,2026/06/03 04:52:50.682,97.52,97.52,,97.52,400.0,1410.0,1593.0,34.0,P0,0.0,average_instant,"2026/06/03 04:52:50.682, 97.52, [N/A], 97.52, 400.00, 1410, 1593, 34, P0, 0"
1780462370791833743,2026/06/03 04:52:50.811,98.12,98.12,,98.12,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:50.811, 98.12, [N/A], 98.12, 400.00, 1410, 1593, 34, P0, 65"
1780462370921425527,2026/06/03 04:52:50.941,98.4,98.4,,98.4,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:50.941, 98.40, [N/A], 98.40, 400.00, 1410, 1593, 34, P0, 65"
1780462371050514621,2026/06/03 04:52:51.070,98.4,98.4,,98.4,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:51.070, 98.40, [N/A], 98.40, 400.00, 1410, 1593, 34, P0, 65"
1780462371179980544,2026/06/03 04:52:51.199,98.3,98.3,,98.3,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:51.199, 98.30, [N/A], 98.30, 400.00, 1410, 1593, 34, P0, 65"
1780462371309931381,2026/06/03 04:52:51.329,98.3,98.3,,98.3,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:51.329, 98.30, [N/A], 98.30, 400.00, 1410, 1593, 34, P0, 65"
1780462371439077291,2026/06/03 04:52:51.458,98.4,98.4,,98.4,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:51.458, 98.40, [N/A], 98.40, 400.00, 1410, 1593, 34, P0, 65"
1780462371567142442,2026/06/03 04:52:51.586,98.4,98.4,,98.4,400.0,1410.0,1593.0,34.0,P0,65.0,average_instant,"2026/06/03 04:52:51.586, 98.40, [N/A], 98.40, 400.00, 1410, 1593, 34, P0, 65"
