sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780462891268047079,2026/06/03 05:01:31.287,85.8,85.8,,85.8,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:01:31.287, 85.80, [N/A], 85.80, 400.00, 1410, 1593, 35, P0, 0"
1780462891400771055,2026/06/03 05:01:31.424,89.42,89.42,,89.42,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:01:31.424, 89.42, [N/A], 89.42, 400.00, 1410, 1593, 35, P0, 0"
1780462891543444142,2026/06/03 05:01:31.579,89.51,89.51,,89.51,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:01:31.579, 89.51, [N/A], 89.51, 400.00, 1410, 1593, 35, P0, 0"
1780462891689929394,2026/06/03 05:01:31.709,111.05,111.05,,111.05,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:01:31.709, 111.05, [N/A], 111.05, 400.00, 1410, 1593, 35, P0, 0"
1780462891820279576,2026/06/03 05:01:31.840,111.66,111.66,,111.66,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:01:31.840, 111.66, [N/A], 111.66, 400.00, 1410, 1593, 35, P0, 0"
1780462891949156099,2026/06/03 05:01:31.968,111.66,111.66,,111.66,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:01:31.968, 111.66, [N/A], 111.66, 400.00, 1410, 1593, 36, P0, 0"
1780462892078113231,2026/06/03 05:01:32.097,111.94,111.94,,111.94,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:01:32.097, 111.94, [N/A], 111.94, 400.00, 1410, 1593, 36, P0, 0"
1780462892206241042,2026/06/03 05:01:32.225,111.94,111.94,,111.94,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:01:32.225, 111.94, [N/A], 111.94, 400.00, 1410, 1593, 36, P0, 100"
1780462892334869057,2026/06/03 05:01:32.354,111.94,111.94,,111.94,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:01:32.354, 111.94, [N/A], 111.94, 400.00, 1410, 1593, 36, P0, 100"
1780462892464489021,2026/06/03 05:01:32.484,111.94,111.94,,111.94,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:01:32.484, 111.94, [N/A], 111.94, 400.00, 1410, 1593, 36, P0, 100"
