sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780462931722223306,2026/06/03 05:02:11.743,83.31,83.31,,83.31,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:02:11.743, 83.31, [N/A], 83.31, 400.00, 1410, 1593, 35, P0, 0"
1780462931901057280,2026/06/03 05:02:11.923,86.41,86.41,,86.41,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:02:11.923, 86.41, [N/A], 86.41, 400.00, 1410, 1593, 35, P0, 0"
1780462932048360307,2026/06/03 05:02:12.067,84.59,84.59,,84.59,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:02:12.067, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 35, P0, 0"
1780462932177279797,2026/06/03 05:02:12.197,96.25,96.25,,96.25,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:02:12.197, 96.25, [N/A], 96.25, 400.00, 1410, 1593, 35, P0, 0"
1780462932305789825,2026/06/03 05:02:12.325,96.58,96.58,,96.58,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:02:12.325, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 36, P0, 0"
1780462932434566905,2026/06/03 05:02:12.453,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:02:12.453, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 0"
1780462932563714127,2026/06/03 05:02:12.582,96.58,96.58,,96.58,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:02:12.582, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 36, P0, 0"
1780462932691405558,2026/06/03 05:02:12.711,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:12.711, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462932819924239,2026/06/03 05:02:12.839,96.48,96.48,,96.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:12.839, 96.48, [N/A], 96.48, 400.00, 1410, 1593, 35, P0, 100"
1780462932948804700,2026/06/03 05:02:12.968,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:12.968, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462933078649890,2026/06/03 05:02:13.098,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.098, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462933207889961,2026/06/03 05:02:13.227,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.227, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462933336668034,2026/06/03 05:02:13.357,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.357, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462933467037242,2026/06/03 05:02:13.486,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.486, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462933598475118,2026/06/03 05:02:13.617,96.58,96.58,,96.58,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.617, 96.58, [N/A], 96.58, 400.00, 1410, 1593, 35, P0, 100"
1780462933726836648,2026/06/03 05:02:13.746,96.48,96.48,,96.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.746, 96.48, [N/A], 96.48, 400.00, 1410, 1593, 35, P0, 100"
1780462933855816586,2026/06/03 05:02:13.875,96.48,96.48,,96.48,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:13.875, 96.48, [N/A], 96.48, 400.00, 1410, 1593, 35, P0, 100"
1780462933984714143,2026/06/03 05:02:14.004,96.15,96.15,,96.15,400.0,1410.0,1593.0,35.0,P0,100.0,average_instant,"2026/06/03 05:02:14.004, 96.15, [N/A], 96.15, 400.00, 1410, 1593, 35, P0, 100"
