sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463323774493096,2026/06/03 05:08:43.794,85.2,85.2,,85.2,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:08:43.794, 85.20, [N/A], 85.20, 400.00, 1410, 1593, 35, P0, 0"
1780463323906603895,2026/06/03 05:08:43.928,85.2,85.2,,85.2,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:08:43.928, 85.20, [N/A], 85.20, 400.00, 1410, 1593, 35, P0, 0"
1780463324042066126,2026/06/03 05:08:44.062,87.02,87.02,,87.02,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:08:44.062, 87.02, [N/A], 87.02, 400.00, 1410, 1593, 35, P0, 0"
1780463324172741476,2026/06/03 05:08:44.192,119.21,119.21,,119.21,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:08:44.192, 119.21, [N/A], 119.21, 400.00, 1410, 1593, 36, P0, 0"
1780463324300832733,2026/06/03 05:08:44.320,119.67,119.67,,119.67,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:44.320, 119.67, [N/A], 119.67, 400.00, 1410, 1593, 36, P0, 61"
1780463324430702451,2026/06/03 05:08:44.450,119.83,119.83,,119.83,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:44.450, 119.83, [N/A], 119.83, 400.00, 1410, 1593, 36, P0, 61"
1780463324560055620,2026/06/03 05:08:44.579,119.95,119.95,,119.95,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:44.579, 119.95, [N/A], 119.95, 400.00, 1410, 1593, 36, P0, 61"
1780463324688888011,2026/06/03 05:08:44.708,119.83,119.83,,119.83,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:44.708, 119.83, [N/A], 119.83, 400.00, 1410, 1593, 36, P0, 61"
1780463324817840346,2026/06/03 05:08:44.837,119.95,119.95,,119.95,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:44.837, 119.95, [N/A], 119.95, 400.00, 1410, 1593, 36, P0, 61"
1780463324946355823,2026/06/03 05:08:44.965,119.95,119.95,,119.95,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:44.965, 119.95, [N/A], 119.95, 400.00, 1410, 1593, 36, P0, 61"
1780463325075025200,2026/06/03 05:08:45.094,119.34,119.34,,119.34,400.0,1410.0,1593.0,36.0,P0,61.0,average_instant,"2026/06/03 05:08:45.094, 119.34, [N/A], 119.34, 400.00, 1410, 1593, 36, P0, 61"
1780463325204492214,2026/06/03 05:08:45.224,119.83,119.83,,119.83,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.224, 119.83, [N/A], 119.83, 400.00, 1410, 1593, 36, P0, 100"
1780463325332794480,2026/06/03 05:08:45.352,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.352, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463325461148220,2026/06/03 05:08:45.480,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.480, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463325589357607,2026/06/03 05:08:45.608,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.608, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463325717755938,2026/06/03 05:08:45.737,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.737, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463325846113861,2026/06/03 05:08:45.865,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.865, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463325974303860,2026/06/03 05:08:45.993,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:45.993, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463326103003619,2026/06/03 05:08:46.123,94.42,94.42,,94.42,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.123, 94.42, [N/A], 94.42, 400.00, 1410, 1593, 36, P0, 100"
1780463326232427204,2026/06/03 05:08:46.252,119.95,119.95,,119.95,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.252, 119.95, [N/A], 119.95, 400.00, 1410, 1593, 36, P0, 100"
1780463326361776478,2026/06/03 05:08:46.381,120.16,120.16,,120.16,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.381, 120.16, [N/A], 120.16, 400.00, 1410, 1593, 36, P0, 100"
1780463326491509595,2026/06/03 05:08:46.511,120.16,120.16,,120.16,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.511, 120.16, [N/A], 120.16, 400.00, 1410, 1593, 36, P0, 100"
1780463326620060743,2026/06/03 05:08:46.639,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.639, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463326748667047,2026/06/03 05:08:46.768,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.768, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463326877413945,2026/06/03 05:08:46.896,120.16,120.16,,120.16,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:46.896, 120.16, [N/A], 120.16, 400.00, 1410, 1593, 36, P0, 100"
1780463327006146085,2026/06/03 05:08:47.025,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:47.025, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
1780463327134463905,2026/06/03 05:08:47.153,96.25,96.25,,96.25,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:47.153, 96.25, [N/A], 96.25, 400.00, 1410, 1593, 36, P0, 100"
1780463327262375349,2026/06/03 05:08:47.282,120.28,120.28,,120.28,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:08:47.282, 120.28, [N/A], 120.28, 400.00, 1410, 1593, 36, P0, 100"
