sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463544215830899,2026/06/03 05:12:24.238,84.59,84.59,,84.59,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:12:24.238, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 36, P0, 0"
1780463544347946943,2026/06/03 05:12:24.370,90.45,90.45,,90.45,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:12:24.370, 90.45, [N/A], 90.45, 400.00, 1410, 1593, 36, P0, 0"
1780463544490482110,2026/06/03 05:12:24.510,90.02,90.02,,90.02,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:12:24.510, 90.02, [N/A], 90.02, 400.00, 1410, 1593, 36, P0, 0"
1780463544620575881,2026/06/03 05:12:24.640,105.19,105.19,,105.19,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:12:24.640, 105.19, [N/A], 105.19, 400.00, 1410, 1593, 37, P0, 0"
1780463544750022870,2026/06/03 05:12:24.769,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,32.0,average_instant,"2026/06/03 05:12:24.769, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 32"
1780463544878362910,2026/06/03 05:12:24.897,106.14,106.14,,106.14,400.0,1410.0,1593.0,37.0,P0,32.0,average_instant,"2026/06/03 05:12:24.897, 106.14, [N/A], 106.14, 400.00, 1410, 1593, 37, P0, 32"
1780463545006133830,2026/06/03 05:12:25.025,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,32.0,average_instant,"2026/06/03 05:12:25.025, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 32"
1780463545133920286,2026/06/03 05:12:25.153,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.153, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463545266529009,2026/06/03 05:12:25.285,106.14,106.14,,106.14,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.285, 106.14, [N/A], 106.14, 400.00, 1410, 1593, 37, P0, 100"
1780463545394720700,2026/06/03 05:12:25.413,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.413, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463545521947900,2026/06/03 05:12:25.541,105.7,105.7,,105.7,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.541, 105.70, [N/A], 105.70, 400.00, 1410, 1593, 37, P0, 100"
1780463545649734959,2026/06/03 05:12:25.668,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.668, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463545777813160,2026/06/03 05:12:25.796,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.796, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463545907829503,2026/06/03 05:12:25.927,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:25.927, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463546036139683,2026/06/03 05:12:26.055,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:26.055, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463546166406725,2026/06/03 05:12:26.186,105.7,105.7,,105.7,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:26.186, 105.70, [N/A], 105.70, 400.00, 1410, 1593, 37, P0, 100"
1780463546295694594,2026/06/03 05:12:26.316,105.81,105.81,,105.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:12:26.316, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 37, P0, 100"
1780463546425791321,2026/06/03 05:12:26.445,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:26.445, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463546554360347,2026/06/03 05:12:26.574,99.94,99.94,,99.94,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:26.574, 99.94, [N/A], 99.94, 400.00, 1410, 1593, 36, P0, 100"
1780463546683705891,2026/06/03 05:12:26.703,105.7,105.7,,105.7,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:26.703, 105.70, [N/A], 105.70, 400.00, 1410, 1593, 36, P0, 100"
1780463546814644034,2026/06/03 05:12:26.834,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:26.834, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463546942980530,2026/06/03 05:12:26.962,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:26.962, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547071668721,2026/06/03 05:12:27.090,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.090, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547200286411,2026/06/03 05:12:27.219,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.219, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547329014244,2026/06/03 05:12:27.348,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.348, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547458338287,2026/06/03 05:12:27.478,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.478, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547587141964,2026/06/03 05:12:27.607,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.607, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547716501041,2026/06/03 05:12:27.736,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.736, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547845510822,2026/06/03 05:12:27.865,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.865, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463547974071067,2026/06/03 05:12:27.993,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:27.993, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463548103800225,2026/06/03 05:12:28.123,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:28.123, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463548232755362,2026/06/03 05:12:28.252,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:28.252, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
1780463548362480474,2026/06/03 05:12:28.382,105.81,105.81,,105.81,400.0,1410.0,1593.0,36.0,P0,100.0,average_instant,"2026/06/03 05:12:28.382, 105.81, [N/A], 105.81, 400.00, 1410, 1593, 36, P0, 100"
