sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464359642310707,2026/06/03 05:25:59.665,83.65,83.65,,83.65,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:25:59.665, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 35, P0, 0"
1780464359774836340,2026/06/03 05:25:59.797,83.65,83.65,,83.65,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:25:59.797, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 35, P0, 0"
1780464359910356932,2026/06/03 05:25:59.930,84.26,84.26,,84.26,400.0,1410.0,1593.0,35.0,P0,0.0,average_instant,"2026/06/03 05:25:59.930, 84.26, [N/A], 84.26, 400.00, 1410, 1593, 35, P0, 0"
1780464360040936113,2026/06/03 05:26:00.060,138.74,138.74,,138.74,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:26:00.060, 138.74, [N/A], 138.74, 400.00, 1410, 1593, 37, P0, 0"
1780464360170469555,2026/06/03 05:26:00.190,139.47,139.47,,139.47,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:26:00.190, 139.47, [N/A], 139.47, 400.00, 1410, 1593, 37, P0, 0"
1780464360299584115,2026/06/03 05:26:00.318,139.47,139.47,,139.47,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:26:00.318, 139.47, [N/A], 139.47, 400.00, 1410, 1593, 37, P0, 0"
1780464360426950389,2026/06/03 05:26:00.446,140.14,140.14,,140.14,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:26:00.446, 140.14, [N/A], 140.14, 400.00, 1410, 1593, 37, P0, 0"
1780464360554960852,2026/06/03 05:26:00.574,104.15,104.15,,104.15,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:26:00.574, 104.15, [N/A], 104.15, 400.00, 1410, 1593, 37, P0, 0"
1780464360683722270,2026/06/03 05:26:00.703,139.01,139.01,,139.01,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:00.703, 139.01, [N/A], 139.01, 400.00, 1410, 1593, 37, P0, 100"
1780464360811824458,2026/06/03 05:26:00.831,139.62,139.62,,139.62,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:00.831, 139.62, [N/A], 139.62, 400.00, 1410, 1593, 37, P0, 100"
1780464360941791150,2026/06/03 05:26:00.961,139.95,139.95,,139.95,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:00.961, 139.95, [N/A], 139.95, 400.00, 1410, 1593, 37, P0, 100"
1780464361070870840,2026/06/03 05:26:01.090,139.95,139.95,,139.95,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.090, 139.95, [N/A], 139.95, 400.00, 1410, 1593, 37, P0, 100"
1780464361199541694,2026/06/03 05:26:01.218,103.54,103.54,,103.54,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.218, 103.54, [N/A], 103.54, 400.00, 1410, 1593, 37, P0, 100"
1780464361328589473,2026/06/03 05:26:01.348,139.47,139.47,,139.47,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.348, 139.47, [N/A], 139.47, 400.00, 1410, 1593, 37, P0, 100"
1780464361457109186,2026/06/03 05:26:01.477,139.95,139.95,,139.95,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.477, 139.95, [N/A], 139.95, 400.00, 1410, 1593, 37, P0, 100"
1780464361586609720,2026/06/03 05:26:01.606,139.8,139.8,,139.8,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:01.606, 139.80, [N/A], 139.80, 400.00, 1410, 1593, 38, P0, 100"
1780464361715151808,2026/06/03 05:26:01.734,140.28,140.28,,140.28,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.734, 140.28, [N/A], 140.28, 400.00, 1410, 1593, 37, P0, 100"
1780464361843827633,2026/06/03 05:26:01.863,139.2,139.2,,139.2,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.863, 139.20, [N/A], 139.20, 400.00, 1410, 1593, 37, P0, 100"
1780464361973466595,2026/06/03 05:26:01.993,139.47,139.47,,139.47,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:01.993, 139.47, [N/A], 139.47, 400.00, 1410, 1593, 37, P0, 100"
1780464362102608608,2026/06/03 05:26:02.122,139.62,139.62,,139.62,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:02.122, 139.62, [N/A], 139.62, 400.00, 1410, 1593, 38, P0, 100"
1780464362232242813,2026/06/03 05:26:02.251,140.28,140.28,,140.28,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:02.251, 140.28, [N/A], 140.28, 400.00, 1410, 1593, 38, P0, 100"
1780464362361601157,2026/06/03 05:26:02.381,104.86,104.86,,104.86,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:02.381, 104.86, [N/A], 104.86, 400.00, 1410, 1593, 37, P0, 100"
1780464362491793147,2026/06/03 05:26:02.511,139.2,139.2,,139.2,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:02.511, 139.20, [N/A], 139.20, 400.00, 1410, 1593, 37, P0, 100"
1780464362620741031,2026/06/03 05:26:02.640,139.47,139.47,,139.47,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:02.640, 139.47, [N/A], 139.47, 400.00, 1410, 1593, 37, P0, 100"
1780464362750406525,2026/06/03 05:26:02.771,139.8,139.8,,139.8,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:02.771, 139.80, [N/A], 139.80, 400.00, 1410, 1593, 38, P0, 100"
1780464362881536104,2026/06/03 05:26:02.901,140.14,140.14,,140.14,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:02.901, 140.14, [N/A], 140.14, 400.00, 1410, 1593, 37, P0, 100"
1780464363011313400,2026/06/03 05:26:03.030,104.59,104.59,,104.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:03.030, 104.59, [N/A], 104.59, 400.00, 1410, 1593, 37, P0, 100"
1780464363140053283,2026/06/03 05:26:03.159,139.47,139.47,,139.47,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:03.159, 139.47, [N/A], 139.47, 400.00, 1410, 1593, 37, P0, 100"
1780464363270386505,2026/06/03 05:26:03.289,139.62,139.62,,139.62,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:03.289, 139.62, [N/A], 139.62, 400.00, 1410, 1593, 38, P0, 100"
1780464363399245765,2026/06/03 05:26:03.418,139.8,139.8,,139.8,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:26:03.418, 139.80, [N/A], 139.80, 400.00, 1410, 1593, 38, P0, 100"
1780464363527186006,2026/06/03 05:26:03.546,140.28,140.28,,140.28,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:03.546, 140.28, [N/A], 140.28, 400.00, 1410, 1593, 37, P0, 100"
1780464363655620747,2026/06/03 05:26:03.675,139.2,139.2,,139.2,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:26:03.675, 139.20, [N/A], 139.20, 400.00, 1410, 1593, 37, P0, 100"
