sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463656606255413,2026/06/03 05:14:16.627,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:14:16.627, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780463656739920643,2026/06/03 05:14:16.770,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:14:16.770, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780463656882493963,2026/06/03 05:14:16.902,86.74,86.74,,86.74,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:14:16.902, 86.74, [N/A], 86.74, 400.00, 1410, 1593, 36, P0, 0"
1780463657014756613,2026/06/03 05:14:17.034,143.04,143.04,,143.04,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:14:17.034, 143.04, [N/A], 143.04, 400.00, 1410, 1593, 37, P0, 0"
1780463657143385737,2026/06/03 05:14:17.162,143.5,143.5,,143.5,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:14:17.162, 143.50, [N/A], 143.50, 400.00, 1410, 1593, 38, P0, 47"
1780463657272857352,2026/06/03 05:14:17.292,144.59,144.59,,144.59,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:14:17.292, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 38, P0, 47"
1780463657400908026,2026/06/03 05:14:17.420,134.28,134.28,,134.28,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:14:17.420, 134.28, [N/A], 134.28, 400.00, 1410, 1593, 38, P0, 47"
1780463657530132242,2026/06/03 05:14:17.550,132.54,132.54,,132.54,400.0,1410.0,1593.0,38.0,P0,47.0,average_instant,"2026/06/03 05:14:17.550, 132.54, [N/A], 132.54, 400.00, 1410, 1593, 38, P0, 47"
1780463657660838428,2026/06/03 05:14:17.680,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:14:17.680, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 100"
1780463657789519979,2026/06/03 05:14:17.808,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:14:17.808, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 100"
