sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463726465172382,2026/06/03 05:15:26.486,89.78,89.78,,89.78,400.0,1410.0,1593.0,37.0,P0,64.0,average_instant,"2026/06/03 05:15:26.486, 89.78, [N/A], 89.78, 400.00, 1410, 1593, 37, P0, 64"
1780463726599540931,2026/06/03 05:15:26.623,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,64.0,average_instant,"2026/06/03 05:15:26.623, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 64"
1780463726735934645,2026/06/03 05:15:26.755,90.11,90.11,,90.11,400.0,1410.0,1593.0,36.0,P0,64.0,average_instant,"2026/06/03 05:15:26.755, 90.11, [N/A], 90.11, 400.00, 1410, 1593, 36, P0, 64"
1780463726865622661,2026/06/03 05:15:26.885,117.19,117.19,,117.19,400.0,1410.0,1593.0,37.0,P0,64.0,average_instant,"2026/06/03 05:15:26.885, 117.19, [N/A], 117.19, 400.00, 1410, 1593, 37, P0, 64"
1780463726993876635,2026/06/03 05:15:27.012,121.82,121.82,,121.82,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.012, 121.82, [N/A], 121.82, 400.00, 1410, 1593, 37, P0, 100"
1780463727122027486,2026/06/03 05:15:27.141,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.141, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463727250601371,2026/06/03 05:15:27.270,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.270, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463727381468684,2026/06/03 05:15:27.400,121.97,121.97,,121.97,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.400, 121.97, [N/A], 121.97, 400.00, 1410, 1593, 37, P0, 100"
1780463727509919361,2026/06/03 05:15:27.529,122.44,122.44,,122.44,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.529, 122.44, [N/A], 122.44, 400.00, 1410, 1593, 37, P0, 100"
1780463727637807905,2026/06/03 05:15:27.657,121.17,121.17,,121.17,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.657, 121.17, [N/A], 121.17, 400.00, 1410, 1593, 37, P0, 100"
1780463727766960528,2026/06/03 05:15:27.786,121.7,121.7,,121.7,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.786, 121.70, [N/A], 121.70, 400.00, 1410, 1593, 37, P0, 100"
1780463727896063076,2026/06/03 05:15:27.915,121.97,121.97,,121.97,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:27.915, 121.97, [N/A], 121.97, 400.00, 1410, 1593, 37, P0, 100"
1780463728025142593,2026/06/03 05:15:28.044,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.044, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463728153632249,2026/06/03 05:15:28.173,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.173, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463728282615338,2026/06/03 05:15:28.302,122.31,122.31,,122.31,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.302, 122.31, [N/A], 122.31, 400.00, 1410, 1593, 37, P0, 100"
1780463728410780093,2026/06/03 05:15:28.430,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.430, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463728538625396,2026/06/03 05:15:28.558,118.4,118.4,,118.4,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.558, 118.40, [N/A], 118.40, 400.00, 1410, 1593, 37, P0, 100"
1780463728667471205,2026/06/03 05:15:28.686,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.686, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463728796156899,2026/06/03 05:15:28.816,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.816, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
1780463728925929128,2026/06/03 05:15:28.945,122.1,122.1,,122.1,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:28.945, 122.10, [N/A], 122.10, 400.00, 1410, 1593, 37, P0, 100"
