sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463758846995188,2026/06/03 05:15:58.866,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:15:58.866, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780463758979117451,2026/06/03 05:15:59.001,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:15:59.001, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 0"
1780463759116840153,2026/06/03 05:15:59.137,89.78,89.78,,89.78,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:15:59.137, 89.78, [N/A], 89.78, 400.00, 1410, 1593, 36, P0, 0"
1780463759247437554,2026/06/03 05:15:59.267,134.9,134.9,,134.9,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:15:59.267, 134.90, [N/A], 134.90, 400.00, 1410, 1593, 37, P0, 0"
1780463759377001777,2026/06/03 05:15:59.396,143.04,143.04,,143.04,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:15:59.396, 143.04, [N/A], 143.04, 400.00, 1410, 1593, 38, P0, 100"
1780463759505497856,2026/06/03 05:15:59.524,143.04,143.04,,143.04,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:15:59.524, 143.04, [N/A], 143.04, 400.00, 1410, 1593, 38, P0, 100"
1780463759634652651,2026/06/03 05:15:59.654,143.65,143.65,,143.65,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:15:59.654, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 38, P0, 100"
1780463759763226757,2026/06/03 05:15:59.782,113.37,113.37,,113.37,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:15:59.782, 113.37, [N/A], 113.37, 400.00, 1410, 1593, 37, P0, 100"
1780463759890877782,2026/06/03 05:15:59.910,141.77,141.77,,141.77,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:15:59.910, 141.77, [N/A], 141.77, 400.00, 1410, 1593, 38, P0, 100"
1780463760018923685,2026/06/03 05:16:00.038,142.56,142.56,,142.56,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.038, 142.56, [N/A], 142.56, 400.00, 1410, 1593, 38, P0, 100"
1780463760148432868,2026/06/03 05:16:00.168,142.9,142.9,,142.9,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.168, 142.90, [N/A], 142.90, 400.00, 1410, 1593, 38, P0, 100"
1780463760281934058,2026/06/03 05:16:00.301,131.33,131.33,,131.33,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.301, 131.33, [N/A], 131.33, 400.00, 1410, 1593, 38, P0, 100"
1780463760410518781,2026/06/03 05:16:00.430,112.55,112.55,,112.55,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:16:00.430, 112.55, [N/A], 112.55, 400.00, 1410, 1593, 37, P0, 100"
1780463760540852993,2026/06/03 05:16:00.560,110.39,110.39,,110.39,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.560, 110.39, [N/A], 110.39, 400.00, 1410, 1593, 38, P0, 100"
1780463760669749063,2026/06/03 05:16:00.689,142.56,142.56,,142.56,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.689, 142.56, [N/A], 142.56, 400.00, 1410, 1593, 38, P0, 100"
1780463760800807300,2026/06/03 05:16:00.820,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.820, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 100"
1780463760931074673,2026/06/03 05:16:00.950,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:00.950, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 100"
1780463761060677107,2026/06/03 05:16:01.080,117.52,117.52,,117.52,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:01.080, 117.52, [N/A], 117.52, 400.00, 1410, 1593, 38, P0, 100"
1780463761189689903,2026/06/03 05:16:01.209,140.89,140.89,,140.89,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:01.209, 140.89, [N/A], 140.89, 400.00, 1410, 1593, 38, P0, 100"
1780463761318284734,2026/06/03 05:16:01.337,142.71,142.71,,142.71,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:01.337, 142.71, [N/A], 142.71, 400.00, 1410, 1593, 38, P0, 100"
1780463761448326349,2026/06/03 05:16:01.467,142.9,142.9,,142.9,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:01.467, 142.90, [N/A], 142.90, 400.00, 1410, 1593, 38, P0, 100"
1780463761576388130,2026/06/03 05:16:01.596,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:01.596, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 100"
1780463761706573361,2026/06/03 05:16:01.726,112.88,112.88,,112.88,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:16:01.726, 112.88, [N/A], 112.88, 400.00, 1410, 1593, 38, P0, 100"
