sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464442741219010,2026/06/03 05:27:22.762,91.33,91.33,,91.33,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:27:22.762, 91.33, [N/A], 91.33, 400.00, 1410, 1593, 36, P0, 0"
1780464442877862384,2026/06/03 05:27:22.907,86.41,86.41,,86.41,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:27:22.907, 86.41, [N/A], 86.41, 400.00, 1410, 1593, 36, P0, 0"
1780464443025525538,2026/06/03 05:27:23.045,90.11,90.11,,90.11,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:27:23.045, 90.11, [N/A], 90.11, 400.00, 1410, 1593, 36, P0, 0"
1780464443155532908,2026/06/03 05:27:23.175,111.66,111.66,,111.66,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:27:23.175, 111.66, [N/A], 111.66, 400.00, 1410, 1593, 38, P0, 0"
1780464443284900980,2026/06/03 05:27:23.304,145.05,145.05,,145.05,400.0,1410.0,1593.0,38.0,P0,94.0,average_instant,"2026/06/03 05:27:23.304, 145.05, [N/A], 145.05, 400.00, 1410, 1593, 38, P0, 94"
1780464443412824957,2026/06/03 05:27:23.432,145.47,145.47,,145.47,400.0,1410.0,1593.0,38.0,P0,94.0,average_instant,"2026/06/03 05:27:23.432, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 38, P0, 94"
1780464443540846468,2026/06/03 05:27:23.560,144.12,144.12,,144.12,400.0,1410.0,1593.0,38.0,P0,94.0,average_instant,"2026/06/03 05:27:23.560, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 38, P0, 94"
1780464443670181207,2026/06/03 05:27:23.690,127.96,127.96,,127.96,400.0,1410.0,1593.0,38.0,P0,94.0,average_instant,"2026/06/03 05:27:23.690, 127.96, [N/A], 127.96, 400.00, 1410, 1593, 38, P0, 94"
1780464443801406123,2026/06/03 05:27:23.821,144.26,144.26,,144.26,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:27:23.821, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 39, P0, 100"
1780464443932009234,2026/06/03 05:27:23.952,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:27:23.952, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
