sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463916180737693,2026/06/03 05:18:36.200,91.05,91.05,,91.05,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:18:36.200, 91.05, [N/A], 91.05, 400.00, 1410, 1593, 36, P0, 0"
1780463916312470778,2026/06/03 05:18:36.335,88.89,88.89,,88.89,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:18:36.335, 88.89, [N/A], 88.89, 400.00, 1410, 1593, 36, P0, 0"
1780463916449793952,2026/06/03 05:18:36.470,89.78,89.78,,89.78,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:18:36.470, 89.78, [N/A], 89.78, 400.00, 1410, 1593, 36, P0, 0"
1780463916581034253,2026/06/03 05:18:36.601,141.16,141.16,,141.16,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:18:36.601, 141.16, [N/A], 141.16, 400.00, 1410, 1593, 38, P0, 0"
1780463916711601497,2026/06/03 05:18:36.731,143.78,143.78,,143.78,400.0,1410.0,1593.0,38.0,P0,54.0,average_instant,"2026/06/03 05:18:36.731, 143.78, [N/A], 143.78, 400.00, 1410, 1593, 38, P0, 54"
1780463916840405929,2026/06/03 05:18:36.860,145.2,145.2,,145.2,400.0,1410.0,1593.0,38.0,P0,54.0,average_instant,"2026/06/03 05:18:36.860, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 38, P0, 54"
1780463916969299864,2026/06/03 05:18:36.988,139.01,139.01,,139.01,400.0,1410.0,1593.0,38.0,P0,54.0,average_instant,"2026/06/03 05:18:36.988, 139.01, [N/A], 139.01, 400.00, 1410, 1593, 38, P0, 54"
1780463917097832589,2026/06/03 05:18:37.117,111.33,111.33,,111.33,400.0,1410.0,1593.0,38.0,P0,54.0,average_instant,"2026/06/03 05:18:37.117, 111.33, [N/A], 111.33, 400.00, 1410, 1593, 38, P0, 54"
1780463917227471203,2026/06/03 05:18:37.246,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,54.0,average_instant,"2026/06/03 05:18:37.246, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 54"
1780463917356513055,2026/06/03 05:18:37.376,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,54.0,average_instant,"2026/06/03 05:18:37.376, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 54"
1780463917485164133,2026/06/03 05:18:37.504,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,54.0,average_instant,"2026/06/03 05:18:37.504, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 54"
1780463917613269344,2026/06/03 05:18:37.631,133.21,133.21,,133.21,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:18:37.631, 133.21, [N/A], 133.21, 400.00, 1410, 1593, 38, P0, 100"
1780463917740112544,2026/06/03 05:18:37.759,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:37.759, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780463917868934636,2026/06/03 05:18:37.888,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:37.888, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 100"
1780463917998138411,2026/06/03 05:18:38.017,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:38.017, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780463918127726477,2026/06/03 05:18:38.147,117.79,117.79,,117.79,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:18:38.147, 117.79, [N/A], 117.79, 400.00, 1410, 1593, 38, P0, 100"
1780463918256418877,2026/06/03 05:18:38.276,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:38.276, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 100"
1780463918384908872,2026/06/03 05:18:38.405,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:38.405, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780463918514607999,2026/06/03 05:18:38.534,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:38.534, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780463918643586288,2026/06/03 05:18:38.662,135.36,135.36,,135.36,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:38.662, 135.36, [N/A], 135.36, 400.00, 1410, 1593, 39, P0, 100"
1780463918771912127,2026/06/03 05:18:38.792,138.6,138.6,,138.6,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:18:38.792, 138.60, [N/A], 138.60, 400.00, 1410, 1593, 38, P0, 100"
1780463918901879671,2026/06/03 05:18:38.922,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:38.922, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780463919031693136,2026/06/03 05:18:39.051,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:18:39.051, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
