sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464826153197252,2026/06/03 05:33:46.173,84.17,84.17,,84.17,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:33:46.173, 84.17, [N/A], 84.17, 400.00, 1410, 1593, 36, P0, 0"
1780464826285988273,2026/06/03 05:33:46.311,87.35,87.35,,87.35,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:33:46.311, 87.35, [N/A], 87.35, 400.00, 1410, 1593, 36, P0, 0"
1780464826422507263,2026/06/03 05:33:46.442,90.45,90.45,,90.45,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:33:46.442, 90.45, [N/A], 90.45, 400.00, 1410, 1593, 36, P0, 0"
1780464826553506496,2026/06/03 05:33:46.573,133.08,133.08,,133.08,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:33:46.573, 133.08, [N/A], 133.08, 400.00, 1410, 1593, 38, P0, 0"
1780464826681532240,2026/06/03 05:33:46.701,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,0.0,average_instant,"2026/06/03 05:33:46.701, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 0"
1780464826811620991,2026/06/03 05:33:46.830,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,0.0,average_instant,"2026/06/03 05:33:46.830, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 0"
1780464826940092646,2026/06/03 05:33:46.959,143.04,143.04,,143.04,400.0,1410.0,1593.0,39.0,P0,0.0,average_instant,"2026/06/03 05:33:46.959, 143.04, [N/A], 143.04, 400.00, 1410, 1593, 39, P0, 0"
1780464827069412981,2026/06/03 05:33:47.088,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,0.0,average_instant,"2026/06/03 05:33:47.088, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 0"
1780464827198473427,2026/06/03 05:33:47.218,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:47.218, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464827327030815,2026/06/03 05:33:47.346,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:47.346, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780464827456373525,2026/06/03 05:33:47.474,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:47.474, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 100"
1780464827583234182,2026/06/03 05:33:47.602,125.47,125.47,,125.47,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:33:47.602, 125.47, [N/A], 125.47, 400.00, 1410, 1593, 38, P0, 100"
1780464827711308431,2026/06/03 05:33:47.730,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:47.730, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780464827839646015,2026/06/03 05:33:47.859,145.81,145.81,,145.81,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:47.859, 145.81, [N/A], 145.81, 400.00, 1410, 1593, 39, P0, 100"
1780464827968099695,2026/06/03 05:33:47.988,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:47.988, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
1780464828099099577,2026/06/03 05:33:48.118,127.02,127.02,,127.02,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.118, 127.02, [N/A], 127.02, 400.00, 1410, 1593, 39, P0, 100"
1780464828227703111,2026/06/03 05:33:48.247,143.65,143.65,,143.65,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.247, 143.65, [N/A], 143.65, 400.00, 1410, 1593, 39, P0, 100"
1780464828357200929,2026/06/03 05:33:48.377,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.377, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780464828487095170,2026/06/03 05:33:48.506,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.506, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
1780464828616333645,2026/06/03 05:33:48.636,137.18,137.18,,137.18,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.636, 137.18, [N/A], 137.18, 400.00, 1410, 1593, 39, P0, 100"
1780464828744917423,2026/06/03 05:33:48.764,113.21,113.21,,113.21,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.764, 113.21, [N/A], 113.21, 400.00, 1410, 1593, 39, P0, 100"
1780464828874782777,2026/06/03 05:33:48.894,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:48.894, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464829007803926,2026/06/03 05:33:49.027,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.027, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
1780464829136152568,2026/06/03 05:33:49.156,144.87,144.87,,144.87,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.156, 144.87, [N/A], 144.87, 400.00, 1410, 1593, 39, P0, 100"
1780464829266380599,2026/06/03 05:33:49.286,129.51,129.51,,129.51,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.286, 129.51, [N/A], 129.51, 400.00, 1410, 1593, 39, P0, 100"
1780464829395014997,2026/06/03 05:33:49.414,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.414, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464829522409369,2026/06/03 05:33:49.541,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.541, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
1780464829649538572,2026/06/03 05:33:49.668,145.93,145.93,,145.93,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.668, 145.93, [N/A], 145.93, 400.00, 1410, 1593, 39, P0, 100"
1780464829777303760,2026/06/03 05:33:49.798,110.11,110.11,,110.11,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.798, 110.11, [N/A], 110.11, 400.00, 1410, 1593, 39, P0, 100"
1780464829926925063,2026/06/03 05:33:49.945,144.44,144.44,,144.44,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:49.945, 144.44, [N/A], 144.44, 400.00, 1410, 1593, 39, P0, 100"
1780464830055019171,2026/06/03 05:33:50.074,145.66,145.66,,145.66,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:50.074, 145.66, [N/A], 145.66, 400.00, 1410, 1593, 39, P0, 100"
1780464830184605560,2026/06/03 05:33:50.204,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:50.204, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 100"
1780464830316144395,2026/06/03 05:33:50.335,133.21,133.21,,133.21,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:50.335, 133.21, [N/A], 133.21, 400.00, 1410, 1593, 39, P0, 100"
1780464830444556154,2026/06/03 05:33:50.463,142.1,142.1,,142.1,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:50.463, 142.10, [N/A], 142.10, 400.00, 1410, 1593, 39, P0, 100"
1780464830575014252,2026/06/03 05:33:50.594,144.59,144.59,,144.59,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:50.594, 144.59, [N/A], 144.59, 400.00, 1410, 1593, 39, P0, 100"
1780464830705638293,2026/06/03 05:33:50.724,146.08,146.08,,146.08,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:33:50.724, 146.08, [N/A], 146.08, 400.00, 1410, 1593, 39, P0, 100"
