sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463943696866300,2026/06/03 05:19:03.716,91.23,91.23,,91.23,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:19:03.716, 91.23, [N/A], 91.23, 400.00, 1410, 1593, 36, P0, 0"
1780463943830161620,2026/06/03 05:19:03.858,84.26,84.26,,84.26,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:19:03.858, 84.26, [N/A], 84.26, 400.00, 1410, 1593, 36, P0, 0"
1780463943972154023,2026/06/03 05:19:03.993,85.8,85.8,,85.8,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:19:03.993, 85.80, [N/A], 85.80, 400.00, 1410, 1593, 36, P0, 0"
1780463944103029779,2026/06/03 05:19:04.122,113.48,113.48,,113.48,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:19:04.122, 113.48, [N/A], 113.48, 400.00, 1410, 1593, 37, P0, 0"
1780463944231573901,2026/06/03 05:19:04.251,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:04.251, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 66"
1780463944359620691,2026/06/03 05:19:04.379,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:04.379, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 66"
1780463944489451338,2026/06/03 05:19:04.509,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:04.509, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 66"
1780463944619585569,2026/06/03 05:19:04.639,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:04.639, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 66"
1780463944749320842,2026/06/03 05:19:04.769,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:04.769, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 66"
1780463944878183639,2026/06/03 05:19:04.898,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:04.898, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 66"
1780463945007073251,2026/06/03 05:19:05.026,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,66.0,average_instant,"2026/06/03 05:19:05.026, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 66"
1780463945137045592,2026/06/03 05:19:05.156,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.156, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463945265904253,2026/06/03 05:19:05.285,104.26,104.26,,104.26,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.285, 104.26, [N/A], 104.26, 400.00, 1410, 1593, 37, P0, 100"
1780463945394894938,2026/06/03 05:19:05.414,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.414, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463945523235456,2026/06/03 05:19:05.543,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.543, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463945651697605,2026/06/03 05:19:05.671,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.671, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463945779891437,2026/06/03 05:19:05.798,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.798, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463945907426362,2026/06/03 05:19:05.927,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:05.927, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463946036869813,2026/06/03 05:19:06.056,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:06.056, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463946165320896,2026/06/03 05:19:06.185,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:06.185, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463946294708672,2026/06/03 05:19:06.314,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:06.314, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463946423918779,2026/06/03 05:19:06.443,111.33,111.33,,111.33,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:06.443, 111.33, [N/A], 111.33, 400.00, 1410, 1593, 37, P0, 100"
1780463946552825970,2026/06/03 05:19:06.572,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:06.572, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463946682145477,2026/06/03 05:19:06.701,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:06.701, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463946810066098,2026/06/03 05:19:06.829,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:19:06.829, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 99"
1780463946937872681,2026/06/03 05:19:06.956,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:19:06.956, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 99"
1780463947066882828,2026/06/03 05:19:07.086,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:19:07.086, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 99"
1780463947195949225,2026/06/03 05:19:07.215,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,99.0,average_instant,"2026/06/03 05:19:07.215, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 99"
1780463947324425469,2026/06/03 05:19:07.343,113.98,113.98,,113.98,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:07.343, 113.98, [N/A], 113.98, 400.00, 1410, 1593, 37, P0, 100"
1780463947452144208,2026/06/03 05:19:07.471,113.98,113.98,,113.98,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:07.471, 113.98, [N/A], 113.98, 400.00, 1410, 1593, 37, P0, 100"
1780463947580178498,2026/06/03 05:19:07.599,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:07.599, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463947708747992,2026/06/03 05:19:07.727,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:07.727, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463947837372347,2026/06/03 05:19:07.856,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:07.856, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463947964492573,2026/06/03 05:19:07.984,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:07.984, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463948093901764,2026/06/03 05:19:08.114,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:08.114, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463948223008686,2026/06/03 05:19:08.242,113.7,113.7,,113.7,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:08.242, 113.70, [N/A], 113.70, 400.00, 1410, 1593, 37, P0, 100"
1780463948352279348,2026/06/03 05:19:08.371,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:08.371, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
1780463948481143113,2026/06/03 05:19:08.500,113.81,113.81,,113.81,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:08.500, 113.81, [N/A], 113.81, 400.00, 1410, 1593, 37, P0, 100"
1780463948608881874,2026/06/03 05:19:08.628,113.98,113.98,,113.98,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:08.628, 113.98, [N/A], 113.98, 400.00, 1410, 1593, 37, P0, 100"
1780463948737039626,2026/06/03 05:19:08.756,114.09,114.09,,114.09,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:08.756, 114.09, [N/A], 114.09, 400.00, 1410, 1593, 37, P0, 100"
