sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780463981325216768,2026/06/03 05:19:41.346,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:19:41.346, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780463981457988856,2026/06/03 05:19:41.484,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:19:41.484, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780463981595658697,2026/06/03 05:19:41.615,86.41,86.41,,86.41,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:19:41.615, 86.41, [N/A], 86.41, 400.00, 1410, 1593, 36, P0, 0"
1780463981726878723,2026/06/03 05:19:41.746,131.52,131.52,,131.52,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 05:19:41.746, 131.52, [N/A], 131.52, 400.00, 1410, 1593, 37, P0, 0"
1780463981855346228,2026/06/03 05:19:41.876,132.87,132.87,,132.87,400.0,1410.0,1593.0,37.0,P0,53.0,average_instant,"2026/06/03 05:19:41.876, 132.87, [N/A], 132.87, 400.00, 1410, 1593, 37, P0, 53"
1780463981986854375,2026/06/03 05:19:42.005,133.08,133.08,,133.08,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 05:19:42.005, 133.08, [N/A], 133.08, 400.00, 1410, 1593, 38, P0, 53"
1780463982114676293,2026/06/03 05:19:42.134,133.21,133.21,,133.21,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 05:19:42.134, 133.21, [N/A], 133.21, 400.00, 1410, 1593, 38, P0, 53"
1780463982243173650,2026/06/03 05:19:42.262,133.49,133.49,,133.49,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 05:19:42.262, 133.49, [N/A], 133.49, 400.00, 1410, 1593, 38, P0, 53"
1780463982371362587,2026/06/03 05:19:42.391,129.18,129.18,,129.18,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 05:19:42.391, 129.18, [N/A], 129.18, 400.00, 1410, 1593, 38, P0, 53"
1780463982501497194,2026/06/03 05:19:42.520,132.27,132.27,,132.27,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 05:19:42.520, 132.27, [N/A], 132.27, 400.00, 1410, 1593, 38, P0, 53"
1780463982630859181,2026/06/03 05:19:42.650,132.41,132.41,,132.41,400.0,1410.0,1593.0,38.0,P0,53.0,average_instant,"2026/06/03 05:19:42.650, 132.41, [N/A], 132.41, 400.00, 1410, 1593, 38, P0, 53"
1780463982759039190,2026/06/03 05:19:42.778,132.13,132.13,,132.13,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:42.778, 132.13, [N/A], 132.13, 400.00, 1410, 1593, 38, P0, 100"
1780463982889187056,2026/06/03 05:19:42.908,106.74,106.74,,106.74,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 05:19:42.908, 106.74, [N/A], 106.74, 400.00, 1410, 1593, 37, P0, 100"
1780463983017658886,2026/06/03 05:19:43.036,132.27,132.27,,132.27,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.036, 132.27, [N/A], 132.27, 400.00, 1410, 1593, 38, P0, 100"
1780463983146069872,2026/06/03 05:19:43.165,132.27,132.27,,132.27,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.165, 132.27, [N/A], 132.27, 400.00, 1410, 1593, 38, P0, 100"
1780463983276588590,2026/06/03 05:19:43.296,132.41,132.41,,132.41,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.296, 132.41, [N/A], 132.41, 400.00, 1410, 1593, 38, P0, 100"
1780463983405729761,2026/06/03 05:19:43.424,132.54,132.54,,132.54,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.424, 132.54, [N/A], 132.54, 400.00, 1410, 1593, 38, P0, 100"
1780463983534051417,2026/06/03 05:19:43.553,126.75,126.75,,126.75,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.553, 126.75, [N/A], 126.75, 400.00, 1410, 1593, 38, P0, 100"
1780463983662524076,2026/06/03 05:19:43.682,132.27,132.27,,132.27,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.682, 132.27, [N/A], 132.27, 400.00, 1410, 1593, 38, P0, 100"
1780463983791280348,2026/06/03 05:19:43.810,132.54,132.54,,132.54,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:19:43.810, 132.54, [N/A], 132.54, 400.00, 1410, 1593, 38, P0, 100"
