sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780464008823616948,2026/06/03 05:20:08.846,84.59,84.59,,84.59,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:20:08.846, 84.59, [N/A], 84.59, 400.00, 1410, 1593, 36, P0, 0"
1780464008956409049,2026/06/03 05:20:08.982,87.63,87.63,,87.63,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:20:08.982, 87.63, [N/A], 87.63, 400.00, 1410, 1593, 36, P0, 0"
1780464009094443232,2026/06/03 05:20:09.114,89.42,89.42,,89.42,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:20:09.114, 89.42, [N/A], 89.42, 400.00, 1410, 1593, 36, P0, 0"
1780464009227424925,2026/06/03 05:20:09.247,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:20:09.247, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 0"
1780464009355817003,2026/06/03 05:20:09.374,143.92,143.92,,143.92,400.0,1410.0,1593.0,38.0,P0,77.0,average_instant,"2026/06/03 05:20:09.374, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 38, P0, 77"
1780464009484654849,2026/06/03 05:20:09.504,144.26,144.26,,144.26,400.0,1410.0,1593.0,38.0,P0,77.0,average_instant,"2026/06/03 05:20:09.504, 144.26, [N/A], 144.26, 400.00, 1410, 1593, 38, P0, 77"
1780464009613103740,2026/06/03 05:20:09.633,137.79,137.79,,137.79,400.0,1410.0,1593.0,38.0,P0,77.0,average_instant,"2026/06/03 05:20:09.633, 137.79, [N/A], 137.79, 400.00, 1410, 1593, 38, P0, 77"
1780464009742171818,2026/06/03 05:20:09.761,109.17,109.17,,109.17,400.0,1410.0,1593.0,38.0,P0,77.0,average_instant,"2026/06/03 05:20:09.761, 109.17, [N/A], 109.17, 400.00, 1410, 1593, 38, P0, 77"
1780464009871910951,2026/06/03 05:20:09.891,143.32,143.32,,143.32,400.0,1410.0,1593.0,38.0,P0,77.0,average_instant,"2026/06/03 05:20:09.891, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 38, P0, 77"
1780464010001571892,2026/06/03 05:20:10.020,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,77.0,average_instant,"2026/06/03 05:20:10.020, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 77"
1780464010131622669,2026/06/03 05:20:10.151,137.98,137.98,,137.98,400.0,1410.0,1593.0,39.0,P0,77.0,average_instant,"2026/06/03 05:20:10.151, 137.98, [N/A], 137.98, 400.00, 1410, 1593, 39, P0, 77"
1780464010260840504,2026/06/03 05:20:10.280,123.32,123.32,,123.32,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:20:10.280, 123.32, [N/A], 123.32, 400.00, 1410, 1593, 38, P0, 100"
1780464010391463684,2026/06/03 05:20:10.410,119.01,119.01,,119.01,400.0,1410.0,1593.0,38.0,P0,100.0,average_instant,"2026/06/03 05:20:10.410, 119.01, [N/A], 119.01, 400.00, 1410, 1593, 38, P0, 100"
1780464010519278537,2026/06/03 05:20:10.538,143.32,143.32,,143.32,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:20:10.538, 143.32, [N/A], 143.32, 400.00, 1410, 1593, 39, P0, 100"
1780464010647144143,2026/06/03 05:20:10.667,144.12,144.12,,144.12,400.0,1410.0,1593.0,39.0,P0,100.0,average_instant,"2026/06/03 05:20:10.667, 144.12, [N/A], 144.12, 400.00, 1410, 1593, 39, P0, 100"
