sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780465044079342620,2026/06/03 05:37:24.099,83.98,83.98,,83.98,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:37:24.099, 83.98, [N/A], 83.98, 400.00, 1410, 1593, 36, P0, 0"
1780465044210796940,2026/06/03 05:37:24.234,86.13,86.13,,86.13,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:37:24.234, 86.13, [N/A], 86.13, 400.00, 1410, 1593, 36, P0, 0"
1780465044353070051,2026/06/03 05:37:24.373,90.11,90.11,,90.11,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 05:37:24.373, 90.11, [N/A], 90.11, 400.00, 1410, 1593, 36, P0, 0"
1780465044484868472,2026/06/03 05:37:24.504,130.59,130.59,,130.59,400.0,1410.0,1593.0,38.0,P0,0.0,average_instant,"2026/06/03 05:37:24.504, 130.59, [N/A], 130.59, 400.00, 1410, 1593, 38, P0, 0"
1780465044613969948,2026/06/03 05:37:24.633,145.2,145.2,,145.2,400.0,1410.0,1593.0,38.0,P0,58.0,average_instant,"2026/06/03 05:37:24.633, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 38, P0, 58"
1780465044741500431,2026/06/03 05:37:24.760,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,58.0,average_instant,"2026/06/03 05:37:24.760, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 58"
1780465044869504949,2026/06/03 05:37:24.890,144.72,144.72,,144.72,400.0,1410.0,1593.0,39.0,P0,58.0,average_instant,"2026/06/03 05:37:24.890, 144.72, [N/A], 144.72, 400.00, 1410, 1593, 39, P0, 58"
1780465045000565223,2026/06/03 05:37:25.020,143.92,143.92,,143.92,400.0,1410.0,1593.0,39.0,P0,58.0,average_instant,"2026/06/03 05:37:25.020, 143.92, [N/A], 143.92, 400.00, 1410, 1593, 39, P0, 58"
1780465045131186254,2026/06/03 05:37:25.151,145.2,145.2,,145.2,400.0,1410.0,1593.0,39.0,P0,58.0,average_instant,"2026/06/03 05:37:25.151, 145.20, [N/A], 145.20, 400.00, 1410, 1593, 39, P0, 58"
1780465045260883322,2026/06/03 05:37:25.280,145.47,145.47,,145.47,400.0,1410.0,1593.0,39.0,P0,58.0,average_instant,"2026/06/03 05:37:25.280, 145.47, [N/A], 145.47, 400.00, 1410, 1593, 39, P0, 58"
