sample_unix_ns,timestamp_text,power_w,power_draw_w,power_draw_average_w,power_draw_instant_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,query_mode,raw
1780458763959434373,2026/06/03 03:52:43.980,83.57,83.57,,83.57,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:52:43.980, 83.57, [N/A], 83.57, 400.00, 1410, 1593, 36, P0, 0"
1780458764092915691,2026/06/03 03:52:44.118,83.65,83.65,,83.65,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:52:44.118, 83.65, [N/A], 83.65, 400.00, 1410, 1593, 36, P0, 0"
1780458764229152412,2026/06/03 03:52:44.248,85.47,85.47,,85.47,400.0,1410.0,1593.0,36.0,P0,0.0,average_instant,"2026/06/03 03:52:44.248, 85.47, [N/A], 85.47, 400.00, 1410, 1593, 36, P0, 0"
1780458764359257975,2026/06/03 03:52:44.378,124.13,124.13,,124.13,400.0,1410.0,1593.0,37.0,P0,0.0,average_instant,"2026/06/03 03:52:44.378, 124.13, [N/A], 124.13, 400.00, 1410, 1593, 37, P0, 0"
1780458764487934609,2026/06/03 03:52:44.508,124.46,124.46,,124.46,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:44.508, 124.46, [N/A], 124.46, 400.00, 1410, 1593, 37, P0, 61"
1780458764619962512,2026/06/03 03:52:44.639,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:44.639, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 61"
1780458764748705932,2026/06/03 03:52:44.768,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:44.768, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 61"
1780458764877844338,2026/06/03 03:52:44.897,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:44.897, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 61"
1780458765007661759,2026/06/03 03:52:45.027,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:45.027, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 61"
1780458765136073783,2026/06/03 03:52:45.155,124.26,124.26,,124.26,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:45.155, 124.26, [N/A], 124.26, 400.00, 1410, 1593, 37, P0, 61"
1780458765265008383,2026/06/03 03:52:45.284,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,61.0,average_instant,"2026/06/03 03:52:45.284, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 61"
1780458765393508152,2026/06/03 03:52:45.413,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:45.413, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 100"
1780458765522621618,2026/06/03 03:52:45.542,124.46,124.46,,124.46,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:45.542, 124.46, [N/A], 124.46, 400.00, 1410, 1593, 37, P0, 100"
1780458765651268261,2026/06/03 03:52:45.670,124.73,124.73,,124.73,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:45.670, 124.73, [N/A], 124.73, 400.00, 1410, 1593, 37, P0, 100"
1780458765780020341,2026/06/03 03:52:45.799,123.04,123.04,,123.04,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:45.799, 123.04, [N/A], 123.04, 400.00, 1410, 1593, 37, P0, 100"
1780458765910378878,2026/06/03 03:52:45.930,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:45.930, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 100"
1780458766039333231,2026/06/03 03:52:46.058,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:46.058, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 100"
1780458766168982406,2026/06/03 03:52:46.190,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:46.190, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 100"
1780458766299808484,2026/06/03 03:52:46.319,124.59,124.59,,124.59,400.0,1410.0,1593.0,37.0,P0,100.0,average_instant,"2026/06/03 03:52:46.319, 124.59, [N/A], 124.59, 400.00, 1410, 1593, 37, P0, 100"
